date,20-34_Pima,35-44_Pima,45-54_Pima,55-64_Pima,65+_Pima,<20_Pima
1/1/2021,4376,4430,3666,3445,2055,25
1/10/2021,6673,6387,5541,5365,4532,64
1/11/2021,6989,6662,5813,5651,4908,75
1/12/2021,7321,6921,6077,5911,5417,85
1/13/2021,7542,7157,6318,6157,5853,95
1/14/2021,7852,7466,6636,6451,6273,100
1/15/2021,8484,8036,7214,7018,7567,111
1/16/2021,8727,8229,7399,7183,7836,114
1/17/2021,8810,8289,7444,7240,7966,117
1/18/2021,9156,8603,7759,7529,9533,124
1/19/2021,9529,8891,8086,7853,11201,135
1/2/2021,4547,4553,3764,3556,2157,27
1/20/2021,10025,9440,8598,8329,13324,150
1/21/2021,10432,9885,9089,8813,16431,159
1/22/2021,11142,10569,9842,9552,19479,174
1/23/2021,11423,10802,10037,9751,21296,179
1/24/2021,11570,10931,10146,9854,21616,182
1/25/2021,12302,11567,10894,10606,24863,197
1/26/2021,13019,12152,11554,11252,27896,207
1/27/2021,13753,12748,12220,11980,31076,216
1/28/2021,14603,13393,12893,12709,34393,232
1/29/2021,15532,14114,13626,13465,37479,255
1/3/2021,4639,4641,3834,3612,2202,29
1/30/2021,16193,14545,13979,13862,40221,263
1/31/2021,16360,14659,14095,14000,40966,268
1/4/2021,4984,4944,4095,3895,2442,38
1/5/2021,5323,5263,4363,4179,2746,43
1/6/2021,5747,5603,4783,4544,3075,50
1/7/2021,6050,5834,5000,4822,3475,55
1/8/2021,6322,6116,5289,5103,3726,59
1/9/2021,6575,6288,5456,5290,4463,64
12/1/2020,9,4,8,7,14,
12/10/2020,12,5,12,12,20,
12/11/2020,12,6,14,14,22,
12/12/2020,12,6,14,16,23,
12/13/2020,13,6,14,17,23,
12/14/2020,13,9,17,17,24,
12/15/2020,17,12,21,22,30,
12/16/2020,18,14,23,23,31,
12/17/2020,267,321,335,280,115,
12/18/2020,588,678,631,549,229,1
12/19/2020,797,886,775,651,292,1
12/2/2020,10,4,10,7,14,
12/20/2020,799,888,778,654,296,1
12/21/2020,1216,1265,1060,931,424,3
12/22/2020,1618,1656,1396,1214,554,5
12/23/2020,2125,2147,1772,1527,724,6
12/24/2020,2390,2422,1972,1741,812,8
12/25/2020,2391,2422,1972,1743,815,8
12/26/2020,2598,2625,2122,1896,884,9
12/27/2020,2646,2670,2152,1927,899,9
12/28/2020,3114,3114,2508,2256,1082,11
12/29/2020,3579,3572,2856,2645,1324,17
12/3/2020,10,5,11,9,16,
12/30/2020,4022,4039,3302,3069,1597,18
12/31/2020,4345,4395,3613,3384,1841,23
12/4/2020,10,5,12,9,16,
12/5/2020,11,5,12,9,16,
12/6/2020,11,5,12,10,16,
12/7/2020,11,5,12,11,16,
12/8/2020,11,5,12,12,16,
12/9/2020,12,5,12,12,19,
2/1/2021,16991,15204,14671,14621,43167,278
2/10/2021,21369,18313,18198,18854,68853,408
2/11/2021,21717,18565,18432,19173,73034,420
2/12/2021,22086,18859,18729,19603,76833,432
2/13/2021,22302,19004,18886,19811,80095,446
2/14/2021,22372,19035,18946,19862,80574,453
2/15/2021,22535,19144,19064,20001,82416,457
2/16/2021,22739,19274,19245,20226,84629,467
2/17/2021,23047,19488,19452,20498,86750,483
2/18/2021,23271,19644,19597,20700,88667,489
2/19/2021,23522,19787,19781,20892,89643,496
2/2/2021,17665,15771,15332,15288,45564,295
2/20/2021,23800,19976,19945,21070,90378,512
2/21/2021,23834,20008,19989,21110,90633,515
2/22/2021,23974,20077,20065,21223,91627,520
2/23/2021,24132,20178,20175,21378,93185,526
2/24/2021,24442,20370,20360,21638,95115,562
2/25/2021,24645,20536,20514,21908,98007,575
2/26/2021,25017,20793,20799,22428,101427,592
2/27/2021,25210,20951,20977,22682,103838,602
2/28/2021,25310,21035,21052,22817,105872,617
2/3/2021,18244,16263,15859,15917,48643,310
2/4/2021,18805,16691,16307,16502,52052,327
2/5/2021,19554,17232,16957,17338,55906,349
2/6/2021,20050,17506,17262,17708,57631,362
2/7/2021,20124,17552,17315,17789,58235,364
2/8/2021,20504,17803,17604,18136,60986,372
2/9/2021,20901,18032,17887,18467,64236,386
3/1/2021,25540,21216,21251,23207,108606,642
3/10/2021,28756,23453,23695,30962,135445,895
3/11/2021,29262,23832,24147,32578,138938,950
3/12/2021,29931,24260,24629,34070,142346,1012
3/13/2021,30320,24515,24965,35250,143900,1051
3/14/2021,30641,24699,25180,36080,145098,1092
3/15/2021,31027,25034,25501,38390,147317,1139
3/16/2021,31777,25581,26117,40811,149907,1225
3/17/2021,32837,26411,26938,43686,152339,1323
3/18/2021,33859,27159,27742,46518,154570,1407
3/19/2021,35125,28094,28667,49360,156491,1520
3/2/2021,25812,21410,21450,23565,111699,666
3/20/2021,35966,28625,29279,51155,157584,1581
3/21/2021,36627,29207,29915,52598,158306,1670
3/22/2021,37784,29919,30688,54560,160014,1788
3/23/2021,39208,30899,31685,56822,161782,1934
3/24/2021,41021,32109,32923,58885,163438,2228
3/25/2021,43088,33695,34583,61134,165003,2624
3/26/2021,45232,35268,36191,63240,166410,3120
3/27/2021,46502,36158,37098,64443,167138,3490
3/28/2021,47336,36816,37818,64861,167348,3806
3/29/2021,49438,38287,39246,65682,167913,4412
3/3/2021,26220,21701,21745,24192,115671,701
3/30/2021,51765,39851,40788,66718,168897,5068
3/31/2021,54195,41343,42504,67975,169973,5776
3/4/2021,26532,21901,21963,24957,118810,720
3/5/2021,26935,22180,22262,25880,121860,752
3/6/2021,27211,22381,22492,26603,124166,774
3/7/2021,27470,22565,22695,27273,126001,783
3/8/2021,27788,22762,22937,28312,128917,800
3/9/2021,28140,23052,23235,29537,131925,831
4/1/2021,56232,42546,43942,68772,170849,6451
4/10/2021,72731,51821,54118,76092,177531,11523
4/11/2021,73591,52229,54561,76439,177788,11802
4/12/2021,75090,52962,55452,77194,178454,12123
4/13/2021,76284,53550,56038,77716,178922,12389
4/14/2021,77631,54256,56732,78267,179342,12705
4/15/2021,78684,54902,57293,78708,179698,12954
4/16/2021,79847,55569,58023,79276,180162,13323
4/17/2021,80468,55913,58401,79576,180355,13532
4/18/2021,80867,56134,58616,79723,180463,13692
4/19/2021,81487,56538,59029,80151,180818,13888
4/2/2021,58394,43835,45473,69564,171574,7155
4/20/2021,82180,56857,59389,80476,181127,14045
4/21/2021,82948,57328,59838,80865,181455,14209
4/22/2021,83727,57776,60257,81252,181796,14423
4/23/2021,84654,58396,60830,81755,182187,14695
4/24/2021,85293,58734,61247,82099,182447,14937
4/25/2021,85677,58907,61447,82220,182551,15099
4/26/2021,86447,59355,61887,82643,182875,15296
4/27/2021,87230,59792,62323,83018,183183,15511
4/28/2021,88035,60181,62754,83470,183528,15711
4/29/2021,88780,60568,63131,83825,183877,15871
4/3/2021,59808,44641,46360,70131,171918,7685
4/30/2021,89540,60996,63644,84263,184254,16051
4/4/2021,60685,45042,46829,70375,172098,7994
4/5/2021,62737,46181,48146,71374,173069,8640
4/6/2021,64679,47259,49403,72364,174182,9247
4/7/2021,67230,48723,50821,73434,175229,9954
4/8/2021,69403,49902,52087,74473,176195,10544
4/9/2021,71591,51150,53425,75527,177112,11120
5/1/2021,89921,61254,63954,84543,184425,16185
5/10/2021,93609,63397,66150,86653,186266,17219
5/11/2021,93953,63622,66375,86885,186505,17325
5/12/2021,94378,63846,66604,87097,186728,17577
5/13/2021,94825,64132,66853,87338,186944,19220
5/14/2021,95331,64437,67123,87575,187152,20625
5/15/2021,95772,64719,67391,87800,187280,22373
5/16/2021,96128,64916,67597,87951,187376,23410
5/17/2021,96699,65231,67937,88250,187653,24215
5/18/2021,97185,65511,68158,88452,187859,24790
5/19/2021,97635,65753,68414,88664,188047,25385
5/2/2021,90226,61439,64107,84686,184520,16298
5/20/2021,98056,66013,68662,88881,188225,25971
5/21/2021,98574,66332,68953,89161,188428,26905
5/22/2021,98964,66550,69153,89340,188546,27899
5/23/2021,99211,66697,69289,89435,188606,28321
5/24/2021,99645,66979,69509,89603,188759,28867
5/25/2021,100056,67230,69724,89781,188910,29256
5/26/2021,100404,67435,69901,89912,189015,29652
5/27/2021,100716,67600,70071,90049,189142,30053
5/28/2021,101076,67852,70326,90242,189285,30649
5/29/2021,101316,67958,70445,90359,189356,30941
5/3/2021,90739,61719,64379,84965,184745,16421
5/30/2021,101443,68030,70500,90419,189387,31089
5/31/2021,101536,68074,70559,90462,189415,31191
5/4/2021,91215,61973,64667,85238,184996,16552
5/5/2021,91773,62301,64985,85514,185292,16708
5/6/2021,92224,62544,65225,85735,185548,16801
5/7/2021,92745,62858,65571,86087,185847,16949
5/8/2021,93112,63096,65847,86312,185974,17094
5/9/2021,93321,63208,65992,86453,186055,17153
6/1/2021,101932,68260,70753,90615,189568,31714
6/10/2021,104346,69579,71895,91698,190381,34665
6/11/2021,104593,69705,72021,91812,190461,34975
6/12/2021,104776,69801,72123,91872,190493,35179
6/13/2021,104864,69852,72180,91915,190512,35244
6/14/2021,105123,70009,72310,92015,190593,35606
6/15/2021,105337,70124,72395,92095,190663,35833
6/16/2021,105598,70263,72514,92178,190726,36135
6/17/2021,105833,70386,72617,92264,190821,36359
6/18/2021,106099,70536,72761,92365,190926,36714
6/19/2021,106246,70625,72836,92425,190981,36942
6/2/2021,102280,68433,70924,90754,189683,32114
6/20/2021,106317,70674,72865,92459,191003,37038
6/21/2021,106551,70804,72966,92540,191079,37343
6/22/2021,106785,70920,73064,92615,191145,37611
6/23/2021,107008,71043,73176,92701,191237,37880
6/24/2021,107217,71150,73265,92780,191299,38111
6/25/2021,107498,71304,73384,92884,191383,38439
6/26/2021,107682,71401,73474,92959,191420,38607
6/27/2021,107780,71463,73517,92991,191432,38696
6/28/2021,108037,71573,73600,93075,191482,38927
6/29/2021,108246,71685,73698,93133,191536,39146
6/3/2021,102544,68589,71039,90884,189778,32530
6/30/2021,108498,71803,73796,93226,191610,39399
6/4/2021,102948,68795,71219,91057,189903,32972
6/5/2021,103192,68946,71349,91165,189967,33270
6/6/2021,103346,69018,71439,91239,190013,33466
6/7/2021,103615,69158,71558,91349,190099,33785
