Category,Navajo
Total_doses_administered,79907
Total_people_one_dose,44865
Total_people_complete,38109
Total_doses_ordered,44300
total_pouluation,112825
Male-65 years and older,7098
Male-55-64 years,3691
Male-45-54 years,2641
Male-20-44 years,5554
Male-Less than 20 years,3196
Female-65 years and older,7793
Female-55-64 years,3945
Female-45-54 years,2640
Female-20-44 years,4946
Female-Less than 20 years,3326
"Black or African American, non-Hispanic",230
"Asian or Pacific Islander, non-Hispanic",426
Unknown,2289
Hispanic or Latino,2349
Other Race,8491
"White, non-Hispanic",15161
"American Indian or Alaska Native, non-Hispanic",15919
