date,20-34_Greenlee,35-44_Greenlee,45-54_Greenlee,55-64_Greenlee,65+_Greenlee,<20_Greenlee
1/1/2021,15,17,27,20,36,
1/10/2021,22,22,39,33,88,1
1/11/2021,22,22,39,33,88,1
1/12/2021,25,28,44,39,105,1
1/13/2021,28,34,45,42,133,1
1/14/2021,36,41,60,65,143,1
1/15/2021,39,42,64,67,148,1
1/16/2021,39,42,64,67,149,1
1/17/2021,39,42,64,67,149,1
1/18/2021,42,43,65,71,156,1
1/19/2021,46,44,67,71,173,1
1/2/2021,15,17,27,20,36,
1/20/2021,47,47,70,73,190,1
1/21/2021,65,66,100,103,327,1
1/22/2021,78,89,121,133,415,1
1/23/2021,126,143,158,202,558,1
1/24/2021,128,144,160,204,558,1
1/25/2021,137,156,171,211,562,1
1/26/2021,138,156,171,211,563,1
1/27/2021,155,168,182,226,576,1
1/28/2021,205,208,227,282,611,5
1/29/2021,230,236,247,304,628,5
1/3/2021,15,17,27,20,36,
1/30/2021,230,237,247,304,629,5
1/31/2021,230,237,247,304,629,5
1/4/2021,15,17,27,20,36,1
1/5/2021,18,17,29,21,51,1
1/6/2021,19,18,31,25,58,1
1/7/2021,21,21,36,31,80,1
1/8/2021,22,22,39,33,88,1
1/9/2021,22,22,39,33,88,1
12/18/2020,,,2,,,
12/19/2020,,,2,,,
12/20/2020,,,2,,,
12/21/2020,4,4,6,1,,
12/22/2020,7,6,16,10,2,
12/23/2020,9,8,16,11,4,
12/24/2020,9,9,16,12,6,
12/25/2020,9,9,16,12,6,
12/26/2020,9,10,16,12,6,
12/27/2020,9,10,16,12,6,
12/28/2020,9,12,16,12,6,
12/29/2020,10,13,20,12,8,
12/30/2020,12,13,20,12,27,
12/31/2020,15,17,27,20,35,
2/1/2021,231,237,252,304,632,5
2/10/2021,299,291,317,392,725,14
2/11/2021,311,310,326,403,741,16
2/12/2021,336,332,350,433,780,21
2/13/2021,336,332,351,433,784,21
2/14/2021,336,332,351,433,784,21
2/15/2021,337,334,353,436,784,21
2/16/2021,344,340,364,440,787,22
2/17/2021,345,340,366,442,795,23
2/18/2021,347,344,374,446,800,23
2/19/2021,347,344,374,446,801,23
2/2/2021,237,242,260,312,654,5
2/20/2021,348,344,374,446,801,23
2/21/2021,348,344,374,446,801,23
2/22/2021,349,346,374,448,801,23
2/23/2021,349,348,375,448,803,23
2/24/2021,351,349,378,451,805,23
2/25/2021,352,350,382,456,805,23
2/26/2021,361,366,391,473,813,23
2/27/2021,361,366,391,473,813,23
2/28/2021,361,366,391,473,814,23
2/3/2021,237,242,262,320,673,5
2/4/2021,244,248,265,331,681,5
2/5/2021,267,262,292,369,709,7
2/6/2021,268,262,292,369,710,7
2/7/2021,268,262,292,369,710,7
2/8/2021,272,265,296,372,712,7
2/9/2021,273,273,301,382,715,8
3/1/2021,367,368,392,480,817,23
3/10/2021,411,406,421,515,841,32
3/11/2021,416,410,422,520,841,32
3/12/2021,419,420,428,526,846,34
3/13/2021,419,420,428,526,847,34
3/14/2021,419,420,428,526,847,34
3/15/2021,420,422,432,534,863,35
3/16/2021,424,425,432,534,866,35
3/17/2021,430,434,441,542,875,36
3/18/2021,430,435,442,548,878,36
3/19/2021,440,438,447,553,882,38
3/2/2021,377,376,397,484,825,26
3/20/2021,440,438,447,553,883,38
3/21/2021,440,438,447,553,883,38
3/22/2021,441,439,447,553,883,38
3/23/2021,444,441,448,555,883,39
3/24/2021,445,441,449,556,884,39
3/25/2021,451,450,452,562,891,39
3/26/2021,452,450,455,562,891,39
3/27/2021,453,451,456,562,891,40
3/28/2021,455,451,456,564,891,40
3/29/2021,456,452,460,564,891,40
3/3/2021,383,387,403,489,833,26
3/30/2021,458,453,463,567,895,40
3/31/2021,461,454,464,567,895,40
3/4/2021,390,393,406,493,835,26
3/5/2021,396,395,411,499,835,26
3/6/2021,396,395,411,499,835,26
3/7/2021,397,395,411,499,835,26
3/8/2021,400,397,412,502,836,29
3/9/2021,409,405,420,514,840,30
4/1/2021,466,465,473,571,901,44
4/10/2021,486,478,485,586,911,45
4/11/2021,487,478,485,586,911,45
4/12/2021,490,479,490,588,911,46
4/13/2021,490,480,491,589,913,46
4/14/2021,490,484,492,591,913,46
4/15/2021,494,486,497,593,916,46
4/16/2021,498,489,500,593,916,46
4/17/2021,498,489,500,593,916,46
4/18/2021,498,489,500,593,916,46
4/19/2021,498,490,500,593,916,47
4/2/2021,468,470,476,573,901,44
4/20/2021,500,493,501,593,918,47
4/21/2021,501,495,502,593,920,47
4/22/2021,508,502,505,594,923,48
4/23/2021,508,503,505,596,923,48
4/24/2021,508,504,505,597,923,48
4/25/2021,508,504,505,597,923,48
4/26/2021,508,505,505,597,923,48
4/27/2021,510,510,510,600,924,50
4/28/2021,513,510,510,600,924,50
4/29/2021,517,511,510,600,924,50
4/3/2021,468,470,476,573,901,44
4/30/2021,518,513,510,603,926,50
4/4/2021,468,470,476,573,901,44
4/5/2021,469,471,477,574,903,44
4/6/2021,471,471,478,574,903,45
4/7/2021,474,473,479,576,903,45
4/8/2021,480,477,483,583,909,45
4/9/2021,484,478,485,586,911,45
5/1/2021,518,513,510,603,926,51
5/10/2021,524,517,514,607,930,53
5/11/2021,524,517,514,607,930,53
5/12/2021,525,517,514,607,930,55
5/13/2021,529,518,514,607,930,56
5/14/2021,529,518,514,607,930,57
5/15/2021,529,518,514,607,930,57
5/16/2021,530,518,514,607,930,59
5/17/2021,530,518,514,607,930,60
5/18/2021,533,519,515,610,930,60
