date,20-34_Cochise,35-44_Cochise,45-54_Cochise,55-64_Cochise,65+_Cochise,<20_Cochise
1/1/2021,336,320,272,280,202,3
1/10/2021,458,454,382,389,632,6
1/11/2021,470,468,403,406,830,6
1/12/2021,476,473,408,416,1043,6
1/13/2021,495,506,430,440,1353,6
1/14/2021,500,514,443,451,1601,6
1/15/2021,505,521,453,461,2028,6
1/16/2021,521,526,461,473,2384,6
1/17/2021,524,527,464,474,2397,6
1/18/2021,527,532,471,483,2574,6
1/19/2021,544,544,483,498,2779,6
1/2/2021,337,323,275,283,205,3
1/20/2021,553,559,498,521,3156,6
1/21/2021,559,573,511,542,3533,6
1/22/2021,572,581,519,550,3700,6
1/23/2021,598,618,554,584,4058,6
1/24/2021,608,622,561,604,4130,6
1/25/2021,630,641,597,648,4317,6
1/26/2021,652,684,646,706,4533,8
1/27/2021,681,721,688,753,4916,8
1/28/2021,731,759,743,828,5530,9
1/29/2021,773,802,812,897,5897,10
1/3/2021,349,337,286,297,230,3
1/30/2021,775,807,814,902,5915,10
1/31/2021,780,810,818,910,5942,10
1/4/2021,355,346,291,299,251,3
1/5/2021,374,373,305,314,260,3
1/6/2021,395,392,323,339,276,4
1/7/2021,403,398,334,347,306,4
1/8/2021,433,431,363,370,336,5
1/9/2021,451,452,382,387,629,6
12/1/2020,,,,1,1,
12/10/2020,,,,1,1,
12/11/2020,,,,1,1,
12/12/2020,,,,1,1,
12/13/2020,,,,1,1,
12/14/2020,,,,1,1,
12/15/2020,,,1,1,1,
12/16/2020,,,2,1,1,
12/17/2020,,,7,4,4,
12/18/2020,1,2,8,7,4,
12/19/2020,1,4,10,8,5,
12/2/2020,,,,1,1,
12/20/2020,1,4,10,8,5,
12/21/2020,3,5,11,12,7,
12/22/2020,73,79,62,60,18,
12/23/2020,180,178,154,150,43,1
12/24/2020,210,207,179,165,53,1
12/25/2020,210,207,179,165,53,1
12/26/2020,212,212,181,176,54,1
12/27/2020,212,212,181,176,54,1
12/28/2020,228,227,200,196,65,1
12/29/2020,245,246,212,215,72,1
12/3/2020,,,,1,1,
12/30/2020,289,284,246,248,127,1
12/31/2020,334,318,270,279,185,3
12/4/2020,,,,1,1,
12/5/2020,,,,1,1,
12/6/2020,,,,1,1,
12/7/2020,,,,1,1,
12/8/2020,,,,1,1,
12/9/2020,,,,1,1,
2/1/2021,788,826,829,929,6100,10
2/10/2021,1050,1064,1075,1225,8008,19
2/11/2021,1166,1179,1207,1384,9039,23
2/12/2021,1236,1237,1271,1462,9714,29
2/13/2021,1260,1252,1295,1493,9898,30
2/14/2021,1260,1253,1295,1493,9910,30
2/15/2021,1263,1264,1309,1508,10064,30
2/16/2021,1270,1270,1318,1531,10295,32
2/17/2021,1276,1278,1332,1555,10471,32
2/18/2021,1281,1290,1348,1578,10661,32
2/19/2021,1285,1295,1360,1593,10844,33
2/2/2021,795,838,840,946,6241,11
2/20/2021,1290,1301,1369,1600,10856,33
2/21/2021,1291,1301,1372,1604,10862,33
2/22/2021,1293,1305,1378,1612,10897,33
2/23/2021,1295,1305,1379,1613,10942,33
2/24/2021,1327,1327,1407,1636,11173,34
2/25/2021,1367,1350,1458,1738,11915,36
2/26/2021,1403,1380,1496,1817,12368,39
2/27/2021,1463,1436,1556,1905,12680,41
2/28/2021,1465,1438,1558,1907,12709,41
2/3/2021,821,867,865,976,6508,12
2/4/2021,841,885,881,1003,6770,13
2/5/2021,876,925,939,1042,6958,14
