date,pcr_tests,pcr_pos_test,pcr_positivity
2021-10-13 00:00:00,1,0,0
2021-10-12 00:00:00,534,85,0.1591760299625468
2021-10-11 00:00:00,2397,262,0.1093032957863997
2021-10-10 00:00:00,884,161,0.1821266968325792
2021-10-09 00:00:00,1040,159,0.1528846153846154
2021-10-08 00:00:00,1807,261,0.1444382955174322
2021-10-07 00:00:00,1775,229,0.1290140845070423
2021-10-06 00:00:00,1836,219,0.119281045751634
2021-10-05 00:00:00,2175,232,0.1066666666666667
2021-10-04 00:00:00,2373,308,0.1297935103244838
2021-10-03 00:00:00,1002,131,0.1307385229540918
2021-10-02 00:00:00,1109,156,0.1406672678088368
2021-10-01 00:00:00,2373,253,0.1066160977665402
2021-09-30 00:00:00,3071,266,0.0866167372191469
2021-09-29 00:00:00,2275,296,0.1301098901098901
2021-09-28 00:00:00,2161,290,0.1341971309578899
2021-09-27 00:00:00,3008,321,0.1067154255319149
2021-09-26 00:00:00,1014,184,0.1814595660749507
2021-09-25 00:00:00,1193,181,0.1517183570829841
2021-09-24 00:00:00,2180,304,0.1394495412844037
2021-09-23 00:00:00,2271,263,0.115808014090709
2021-09-22 00:00:00,2019,240,0.1188707280832095
2021-09-21 00:00:00,2559,237,0.0926143024618992
2021-09-20 00:00:00,2603,345,0.1325393776411833
2021-09-19 00:00:00,1161,171,0.1472868217054264
2021-09-18 00:00:00,1141,186,0.1630148992112182
2021-09-17 00:00:00,2032,278,0.1368110236220473
2021-09-16 00:00:00,2825,236,0.0835398230088496
2021-09-15 00:00:00,2750,239,0.0869090909090909
2021-09-14 00:00:00,2588,280,0.1081916537867079
2021-09-13 00:00:00,3246,346,0.1065927295132471
2021-09-12 00:00:00,1314,159,0.1210045662100457
2021-09-11 00:00:00,1355,246,0.181549815498155
2021-09-10 00:00:00,2519,365,0.1448987693529178
2021-09-09 00:00:00,2287,309,0.135111499781373
2021-09-08 00:00:00,2605,359,0.1378119001919386
2021-09-07 00:00:00,3300,382,0.1157575757575758
2021-09-06 00:00:00,1513,242,0.1599471249173827
2021-09-05 00:00:00,1157,197,0.1702679343128781
2021-09-04 00:00:00,1367,209,0.1528895391367959
2021-09-03 00:00:00,2345,329,0.1402985074626866
2021-09-02 00:00:00,3245,281,0.0865947611710324
2021-09-01 00:00:00,2495,299,0.1198396793587174
2021-08-31 00:00:00,2238,284,0.126899016979446
2021-08-30 00:00:00,3720,406,0.1091397849462366
