vents_in_use,date,vents_available
,2020-03-26 00:00:00,889
,2020-03-27 00:00:00,1081
,2020-03-28 00:00:00,1142
,2020-03-29 00:00:00,1194
,2020-03-30 00:00:00,1186
,2020-03-31 00:00:00,1183
,2020-04-01 00:00:00,1172
,2020-04-02 00:00:00,1156
,2020-04-03 00:00:00,1185
,2020-04-04 00:00:00,1150
,2020-04-05 00:00:00,1135
,2020-04-06 00:00:00,1125
,2020-04-07 00:00:00,1127
,2020-04-08 00:00:00,1072
,2020-04-09 00:00:00,1117
,2020-04-10 00:00:00,1123
,2020-04-11 00:00:00,1174
,2020-04-12 00:00:00,1195
,2020-04-13 00:00:00,1198
,2020-04-14 00:00:00,1259
,2020-04-15 00:00:00,1249
,2020-04-16 00:00:00,1190
,2020-04-17 00:00:00,1188
,2020-04-18 00:00:00,1196
,2020-04-19 00:00:00,1189
,2020-04-20 00:00:00,1192
,2020-04-21 00:00:00,1186
,2020-04-22 00:00:00,1193
,2020-04-23 00:00:00,1231
,2020-04-24 00:00:00,1231
,2020-04-25 00:00:00,1224
,2020-04-26 00:00:00,1223
,2020-04-27 00:00:00,1226
,2020-04-28 00:00:00,1183
,2020-04-29 00:00:00,1184
,2020-04-30 00:00:00,1213
,2020-05-01 00:00:00,1221
,2020-05-02 00:00:00,1233
,2020-05-03 00:00:00,1215
,2020-05-04 00:00:00,1212
,2020-05-05 00:00:00,1163
,2020-05-06 00:00:00,1190
,2020-05-07 00:00:00,1236
,2020-05-08 00:00:00,1249
,2020-05-09 00:00:00,1192
,2020-05-10 00:00:00,1194
,2020-05-11 00:00:00,1212
,2020-05-12 00:00:00,1224
,2020-05-13 00:00:00,1215
,2020-05-14 00:00:00,1233
,2020-05-15 00:00:00,1217
,2020-05-16 00:00:00,1213
,2020-05-17 00:00:00,1198
,2020-05-18 00:00:00,1213
,2020-05-19 00:00:00,1163
,2020-05-20 00:00:00,1147
,2020-05-21 00:00:00,1157
,2020-05-22 00:00:00,1213
,2020-05-23 00:00:00,1183
,2020-05-24 00:00:00,1182
,2020-05-25 00:00:00,1202
,2020-05-26 00:00:00,1204
,2020-05-27 00:00:00,1211
,2020-05-28 00:00:00,1178
,2020-05-29 00:00:00,1243
,2020-05-30 00:00:00,1244
,2020-05-31 00:00:00,1234
,2020-06-01 00:00:00,1221
,2020-06-02 00:00:00,1181
,2020-06-03 00:00:00,1212
,2020-06-04 00:00:00,1207
,2020-06-05 00:00:00,1220
,2020-06-06 00:00:00,1196
,2020-06-07 00:00:00,1150
,2020-06-08 00:00:00,1192
,2020-06-09 00:00:00,1151
,2020-06-10 00:00:00,1096
,2020-06-11 00:00:00,1083
,2020-06-12 00:00:00,1157
,2020-06-13 00:00:00,1125
,2020-06-14 00:00:00,1114
,2020-06-15 00:00:00,1138
,2020-06-16 00:00:00,1133
,2020-06-17 00:00:00,1085
,2020-06-18 00:00:00,986
,2020-06-19 00:00:00,978
,2020-06-20 00:00:00,1015
,2020-06-21 00:00:00,1009
,2020-06-22 00:00:00,1043
,2020-06-23 00:00:00,967
,2020-06-24 00:00:00,900
,2020-06-25 00:00:00,948
,2020-06-26 00:00:00,951
,2020-06-27 00:00:00,938
,2020-06-28 00:00:00,940
,2020-06-29 00:00:00,945
,2020-06-30 00:00:00,950
,2020-07-01 00:00:00,949
,2020-07-02 00:00:00,917
,2020-07-03 00:00:00,900
,2020-07-04 00:00:00,913
,2020-07-05 00:00:00,906
,2020-07-06 00:00:00,874
,2020-07-07 00:00:00,828
,2020-07-08 00:00:00,834
,2020-07-09 00:00:00,898
,2020-07-10 00:00:00,929
,2020-07-11 00:00:00,950
,2020-07-12 00:00:00,910
,2020-07-13 00:00:00,916
,2020-07-14 00:00:00,945
,2020-07-15 00:00:00,890
,2020-07-16 00:00:00,877
,2020-07-17 00:00:00,940
,2020-07-18 00:00:00,974
,2020-07-19 00:00:00,999
,2020-07-20 00:00:00,978
,2020-07-21 00:00:00,950
,2020-07-22 00:00:00,957
,2020-07-23 00:00:00,979
,2020-07-24 00:00:00,1019
,2020-07-25 00:00:00,1047
,2020-07-26 00:00:00,1040
,2020-07-27 00:00:00,1029
,2020-07-28 00:00:00,987
,2020-07-29 00:00:00,1026
,2020-07-30 00:00:00,1068
,2020-07-31 00:00:00,1091
,2020-08-01 00:00:00,1146
,2020-08-02 00:00:00,1153
,2020-08-03 00:00:00,1149
,2020-08-04 00:00:00,1154
,2020-08-05 00:00:00,1142
,2020-08-06 00:00:00,1180
,2020-08-07 00:00:00,1181
,2020-08-08 00:00:00,1221
,2020-08-09 00:00:00,1246
,2020-08-10 00:00:00,1232
,2020-08-11 00:00:00,1245
,2020-08-12 00:00:00,1227
,2020-08-13 00:00:00,1237
,2020-08-14 00:00:00,1317
,2020-08-15 00:00:00,1317
,2020-08-16 00:00:00,1339
,2020-08-17 00:00:00,1299
,2020-08-18 00:00:00,1290
,2020-08-19 00:00:00,1312
,2020-08-20 00:00:00,1298
,2020-08-21 00:00:00,1338
,2020-08-22 00:00:00,1372
,2020-08-23 00:00:00,1392
,2020-08-24 00:00:00,1379
,2020-08-25 00:00:00,1349
,2020-08-26 00:00:00,1305
,2020-08-27 00:00:00,1311
,2020-08-28 00:00:00,1296
,2020-08-29 00:00:00,1303
,2020-08-30 00:00:00,1346
,2020-08-31 00:00:00,1315
,2020-09-01 00:00:00,1292
,2020-09-02 00:00:00,1272
,2020-09-03 00:00:00,1299
,2020-09-04 00:00:00,1372
,2020-09-05 00:00:00,1367
,2020-09-06 00:00:00,1346
,2020-09-07 00:00:00,1328
,2020-09-08 00:00:00,1341
,2020-09-09 00:00:00,1331
,2020-09-10 00:00:00,1357
,2020-09-11 00:00:00,1355
,2020-09-12 00:00:00,1399
,2020-09-13 00:00:00,1403
,2020-09-14 00:00:00,1414
,2020-09-15 00:00:00,1429
,2020-09-16 00:00:00,1394
,2020-09-17 00:00:00,1380
,2020-09-18 00:00:00,1417
,2020-09-19 00:00:00,1408
,2020-09-20 00:00:00,1450
,2020-09-21 00:00:00,1428
,2020-09-22 00:00:00,1412
,2020-09-23 00:00:00,1422
,2020-09-24 00:00:00,1393
,2020-09-25 00:00:00,1356
,2020-09-26 00:00:00,1398
,2020-09-27 00:00:00,1376
,2020-09-28 00:00:00,1383
,2020-09-29 00:00:00,1397
,2020-09-30 00:00:00,1412
,2020-10-01 00:00:00,1375
,2020-10-02 00:00:00,1399
,2020-10-03 00:00:00,1385
,2020-10-04 00:00:00,1392
,2020-10-05 00:00:00,1425
,2020-10-06 00:00:00,1418
,2020-10-07 00:00:00,1389
,2020-10-08 00:00:00,1384
,2020-10-09 00:00:00,1385
,2020-10-10 00:00:00,1381
,2020-10-11 00:00:00,1394
,2020-10-12 00:00:00,1404
,2020-10-13 00:00:00,1379
,2020-10-14 00:00:00,1399
,2020-10-15 00:00:00,1364
,2020-10-16 00:00:00,1364
,2020-10-17 00:00:00,1363
,2020-10-18 00:00:00,1390
,2020-10-19 00:00:00,1391
,2020-10-20 00:00:00,1390
,2020-10-21 00:00:00,1402
,2020-10-22 00:00:00,1397
,2020-10-23 00:00:00,1344
,2020-10-24 00:00:00,1290
,2020-10-25 00:00:00,1255
,2020-10-26 00:00:00,1273
,2020-10-27 00:00:00,1283
,2020-10-28 00:00:00,1306
,2020-10-29 00:00:00,1300
,2020-10-30 00:00:00,1298
,2020-10-31 00:00:00,1313
,2020-11-01 00:00:00,1310
,2020-11-02 00:00:00,1311
,2020-11-03 00:00:00,1292
,2020-11-04 00:00:00,1324
,2020-11-05 00:00:00,1306
,2020-11-06 00:00:00,1297
,2020-11-07 00:00:00,1306
,2020-11-08 00:00:00,1295
,2020-11-09 00:00:00,1252
,2020-11-10 00:00:00,1265
,2020-11-11 00:00:00,1289
,2020-11-12 00:00:00,1264
,2020-11-13 00:00:00,1271
,2020-11-14 00:00:00,1290
,2020-11-15 00:00:00,1273
,2020-11-16 00:00:00,1283
,2020-11-17 00:00:00,1276
,2020-11-18 00:00:00,1255
,2020-11-19 00:00:00,1238
,2020-11-20 00:00:00,1272
,2020-11-21 00:00:00,1265
,2020-11-22 00:00:00,1257
,2020-11-23 00:00:00,1233
,2020-11-24 00:00:00,1191
,2020-11-25 00:00:00,1190
,2020-11-26 00:00:00,1184
,2020-11-27 00:00:00,1209
,2020-11-28 00:00:00,1155
,2020-11-29 00:00:00,1173
,2020-11-30 00:00:00,1163
,2020-12-01 00:00:00,1132
,2020-12-02 00:00:00,1141
,2020-12-03 00:00:00,1126
,2020-12-04 00:00:00,1098
,2020-12-05 00:00:00,1066
,2020-12-06 00:00:00,1084
,2020-12-07 00:00:00,1040
,2020-12-08 00:00:00,1055
,2020-12-09 00:00:00,1078
,2020-12-10 00:00:00,1050
,2020-12-11 00:00:00,1060
,2020-12-12 00:00:00,1038
,2020-12-13 00:00:00,1019
,2020-12-14 00:00:00,1051
,2020-12-15 00:00:00,1016
,2020-12-16 00:00:00,1045
,2020-12-17 00:00:00,1013
,2020-12-18 00:00:00,986
,2020-12-19 00:00:00,1026
,2020-12-20 00:00:00,1010
,2020-12-21 00:00:00,988
,2020-12-22 00:00:00,1013
,2020-12-23 00:00:00,988
,2020-12-24 00:00:00,970
,2020-12-25 00:00:00,1030
,2020-12-26 00:00:00,988
,2020-12-27 00:00:00,968
,2020-12-28 00:00:00,924
,2020-12-29 00:00:00,903
,2020-12-30 00:00:00,925
,2020-12-31 00:00:00,898
,2021-01-01 00:00:00,914
,2021-01-02 00:00:00,888
,2021-01-03 00:00:00,880
,2021-01-04 00:00:00,924
,2021-01-05 00:00:00,903
,2021-01-06 00:00:00,879
,2021-01-07 00:00:00,865
,2021-01-08 00:00:00,881
,2021-01-09 00:00:00,892
,2021-01-10 00:00:00,899
,2021-01-11 00:00:00,918
,2021-01-12 00:00:00,925
,2021-01-13 00:00:00,1212
,2021-01-14 00:00:00,1710
,2021-01-15 00:00:00,1715
,2021-01-16 00:00:00,1197
,2021-01-17 00:00:00,1193
,2021-01-18 00:00:00,1182
,2021-01-19 00:00:00,1209
,2021-01-20 00:00:00,1246
,2021-01-21 00:00:00,1256
,2021-01-22 00:00:00,1264
,2021-01-23 00:00:00,1288
,2021-01-24 00:00:00,1268
,2021-01-25 00:00:00,1272
,2021-01-26 00:00:00,1265
,2021-01-27 00:00:00,1286
,2021-01-28 00:00:00,1277
,2021-01-29 00:00:00,1312
,2021-01-30 00:00:00,1279
,2021-01-31 00:00:00,1274
,2021-02-01 00:00:00,1290
,2021-02-02 00:00:00,1306
,2021-02-03 00:00:00,1324
,2021-02-04 00:00:00,1360
,2021-02-05 00:00:00,1410
,2021-02-06 00:00:00,1436
,2021-02-07 00:00:00,2024
,2021-02-08 00:00:00,1435
,2021-02-09 00:00:00,1485
,2021-02-10 00:00:00,1534
,2021-02-11 00:00:00,1525
,2021-02-12 00:00:00,1578
,2021-02-13 00:00:00,1577
,2021-02-14 00:00:00,1597
,2021-02-15 00:00:00,1602
,2021-02-16 00:00:00,1624
,2021-02-17 00:00:00,2334
,2021-02-18 00:00:00,1646
,2021-02-19 00:00:00,2372
,2021-02-20 00:00:00,1674
,2021-02-21 00:00:00,1703
,2021-02-22 00:00:00,1735
,2021-02-23 00:00:00,1715
,2021-02-24 00:00:00,1731
,2021-02-25 00:00:00,1715
,2021-02-26 00:00:00,1724
,2021-02-27 00:00:00,1727
,2021-02-28 00:00:00,1726
,2021-03-01 00:00:00,1697
,2021-03-02 00:00:00,1703
,2021-03-03 00:00:00,1697
,2021-03-04 00:00:00,1730
,2021-03-05 00:00:00,1793
,2021-03-06 00:00:00,1743
,2021-03-07 00:00:00,1733
,2021-03-08 00:00:00,1798
,2021-03-09 00:00:00,1778
,2021-03-10 00:00:00,1774
,2021-03-11 00:00:00,1790
,2021-03-12 00:00:00,1815
,2021-03-13 00:00:00,1829
,2021-03-14 00:00:00,1806
,2021-03-15 00:00:00,1873
,2021-03-16 00:00:00,1871
,2021-03-17 00:00:00,1883
,2021-03-18 00:00:00,1859
,2021-03-19 00:00:00,1870
,2021-03-20 00:00:00,1861
,2021-03-21 00:00:00,1838
,2021-03-22 00:00:00,1811
,2021-03-23 00:00:00,1867
,2021-03-24 00:00:00,1885
,2021-03-25 00:00:00,1881
,2021-03-26 00:00:00,1863
,2021-03-27 00:00:00,1870
,2021-03-28 00:00:00,1880
,2021-03-30 00:00:00,1887
,2021-03-31 00:00:00,1881
,2021-04-01 00:00:00,1868
,2021-04-02 00:00:00,1852
,2021-04-03 00:00:00,1865
,2021-04-04 00:00:00,1888
,2021-04-05 00:00:00,1856
,2021-04-06 00:00:00,1859
,2021-04-07 00:00:00,1839
,2021-04-08 00:00:00,1865
,2021-04-09 00:00:00,1922
,2021-04-10 00:00:00,1897
,2021-04-11 00:00:00,1901
,2021-04-12 00:00:00,1885
,2021-04-13 00:00:00,1883
,2021-04-14 00:00:00,1873
,2021-04-15 00:00:00,1859
,2021-04-16 00:00:00,1909
,2021-04-17 00:00:00,1863
,2021-04-18 00:00:00,1873
,2021-04-19 00:00:00,1867
,2021-04-20 00:00:00,1849
,2021-04-21 00:00:00,1848
,2021-04-22 00:00:00,1843
,2021-04-23 00:00:00,1827
,2021-04-24 00:00:00,1823
,2021-04-25 00:00:00,1808
,2021-04-26 00:00:00,1834
,2021-04-27 00:00:00,1817
,2021-04-28 00:00:00,1802
,2021-04-29 00:00:00,1799
,2021-04-30 00:00:00,1805
,2021-05-01 00:00:00,1811
,2021-05-02 00:00:00,1819
,2021-05-03 00:00:00,1810
,2021-05-04 00:00:00,1810
,2021-05-05 00:00:00,1801
,2021-05-06 00:00:00,1822
,2021-05-07 00:00:00,1790
,2021-05-08 00:00:00,1781
,2021-05-09 00:00:00,1804
,2021-05-10 00:00:00,1811
,2021-05-11 00:00:00,1823
,2021-05-12 00:00:00,1830
,2021-05-13 00:00:00,1839
,2021-05-14 00:00:00,1846
,2021-05-15 00:00:00,1847
,2021-05-16 00:00:00,1857
,2021-05-17 00:00:00,1844
,2021-05-18 00:00:00,1828
,2021-05-19 00:00:00,1833
,2021-05-20 00:00:00,1858
,2021-05-21 00:00:00,1846
,2021-05-22 00:00:00,1991
,2021-05-23 00:00:00,1989
,2021-05-24 00:00:00,1830
,2021-05-25 00:00:00,1823
,2021-05-26 00:00:00,1837
,2021-05-27 00:00:00,1818
,2021-05-28 00:00:00,1816
,2021-05-29 00:00:00,1809
,2021-05-30 00:00:00,1794
,2021-05-31 00:00:00,1813
,2021-06-01 00:00:00,1806
,2021-06-02 00:00:00,1817
,2021-06-03 00:00:00,1812
,2021-06-04 00:00:00,1814
,2021-06-05 00:00:00,1828
,2021-06-06 00:00:00,1837
,2021-06-07 00:00:00,1866
,2021-06-08 00:00:00,1869
,2021-06-09 00:00:00,1851
,2021-06-10 00:00:00,1848
,2021-06-11 00:00:00,1855
,2021-06-12 00:00:00,1849
,2021-06-13 00:00:00,1841
,2021-06-14 00:00:00,1842
,2021-06-15 00:00:00,1822
,2021-06-16 00:00:00,1836
,2021-06-17 00:00:00,1842
,2021-06-18 00:00:00,1821
,2021-06-19 00:00:00,1820
,2021-06-20 00:00:00,1846
,2021-06-21 00:00:00,1857
,2021-06-22 00:00:00,1826
,2021-06-23 00:00:00,1833
,2021-06-24 00:00:00,1836
,2021-06-25 00:00:00,1826
,2021-06-26 00:00:00,1837
,2021-06-27 00:00:00,1822
,2021-06-28 00:00:00,1821
,2021-06-29 00:00:00,1795
,2021-06-30 00:00:00,1800
,2021-07-01 00:00:00,1810
,2021-07-02 00:00:00,1791
,2021-07-03 00:00:00,1805
,2021-07-04 00:00:00,1809
,2021-07-05 00:00:00,1797
,2021-07-06 00:00:00,1824
,2021-07-07 00:00:00,1809
,2021-07-08 00:00:00,1804
,2021-07-09 00:00:00,1795
,2021-07-10 00:00:00,1820
,2021-07-11 00:00:00,1822
,2021-07-12 00:00:00,1832
,2021-07-13 00:00:00,1808
