Category,Apache
Total_doses_administered,36202
Total_people_one_dose,20194
Total_people_complete,12879
total_pouluation,20194
Male-65 years and older,2117
Male-55-64 years,1447
Male-45-54 years,1104
Male-20-44 years,2631
Male-Less than 20 years,2673
Female-65 years and older,2442
Female-55-64 years,1516
Female-45-54 years,1095
Female-20-44 years,2417
Female-Less than 20 years,2744
"Black or African American, non-Hispanic",48
"Asian or Pacific Islander, non-Hispanic",108
Hispanic or Latino,465
Unknown,1163
Other Race,1231
"White, non-Hispanic",3187
"American Indian or Alaska Native, non-Hispanic",13992
