date,La Paz_cume,La Paz
1/11/2021,10,
1/12/2021,29,19
1/13/2021,42,13
1/14/2021,45,3
1/15/2021,47,2
1/16/2021,64,17
1/17/2021,69,5
1/18/2021,70,1
1/19/2021,72,2
1/20/2021,103,31
1/21/2021,158,55
1/22/2021,162,4
1/23/2021,169,7
1/24/2021,329,160
1/25/2021,337,8
1/26/2021,342,5
1/27/2021,345,3
1/28/2021,347,2
1/29/2021,359,12
1/30/2021,384,25
1/31/2021,461,77
1/4/2021,469,8
1/5/2021,474,5
1/6/2021,479,5
1/7/2021,480,1
10/1/2021,513,33
10/10/2021,539,26
10/11/2021,912,373
10/12/2021,1325,413
10/13/2021,1350,25
10/14/2021,1357,7
10/15/2021,1366,9
10/16/2021,1392,26
10/17/2021,1421,29
10/18/2021,1890,469
10/19/2021,2040,150
10/2/2021,2081,41
10/20/2021,2085,4
10/21/2021,2090,5
10/22/2021,2129,39
10/23/2021,2172,43
10/24/2021,2513,341
10/3/2021,2697,184
10/4/2021,2714,17
10/5/2021,2724,10
10/6/2021,2738,14
10/7/2021,2748,10
10/8/2021,2761,13
10/9/2021,2847,86
12/21/2020,3141,294
12/22/2020,3151,10
12/23/2020,3158,7
12/28/2020,3168,10
12/29/2020,3196,28
12/30/2020,3233,37
12/31/2020,3554,321
2/1/2021,3979,425
2/10/2021,4011,32
2/11/2021,4022,11
2/12/2021,4033,11
2/13/2021,4088,55
2/14/2021,4151,63
2/15/2021,4646,495
2/16/2021,5144,498
2/17/2021,5187,43
2/18/2021,5200,13
2/19/2021,5210,10
2/2/2021,5262,52
2/20/2021,5343,81
2/21/2021,5755,412
2/22/2021,6130,375
2/23/2021,6189,59
2/24/2021,6211,22
2/25/2021,6221,10
2/26/2021,6274,53
2/27/2021,6325,51
2/28/2021,6657,332
2/3/2021,6992,335
2/4/2021,7028,36
2/5/2021,7039,11
2/6/2021,7048,9
2/7/2021,7099,51
2/8/2021,7152,53
2/9/2021,7468,316
3/1/2021,7826,358
3/10/2021,7844,18
3/11/2021,7854,10
3/12/2021,7859,5
3/13/2021,7895,36
3/14/2021,8044,149
3/15/2021,8444,400
3/16/2021,8495,51
3/17/2021,8525,30
3/18/2021,8536,11
3/19/2021,8540,4
3/2/2021,8588,48
3/20/2021,8674,86
3/21/2021,8903,229
3/22/2021,9171,268
3/23/2021,9278,107
3/24/2021,9289,11
3/25/2021,9306,17
3/26/2021,9359,53
3/27/2021,9413,54
3/28/2021,9745,332
3/29/2021,10091,346
3/3/2021,10124,33
3/30/2021,10128,4
3/31/2021,10129,1
3/4/2021,10179,50
3/5/2021,10256,77
3/6/2021,10364,108
3/7/2021,10693,329
3/8/2021,10729,36
3/9/2021,10741,12
4/1/2021,10743,2
4/10/2021,10774,31
4/11/2021,10811,37
4/12/2021,11139,328
4/13/2021,11192,53
4/14/2021,11266,74
4/15/2021,11298,32
4/16/2021,11311,13
4/17/2021,11340,29
4/18/2021,11400,60
4/19/2021,11579,179
4/2/2021,11737,158
4/20/2021,11755,18
4/21/2021,11762,7
4/22/2021,11765,3
4/23/2021,11786,21
4/24/2021,11811,25
4/25/2021,11887,76
4/26/2021,11911,24
4/27/2021,11932,21
4/28/2021,11936,4
4/29/2021,11937,1
4/3/2021,11976,39
4/30/2021,12007,31
4/4/2021,12169,162
4/5/2021,12200,31
4/6/2021,12239,39
4/7/2021,12249,10
4/8/2021,12255,6
4/9/2021,12271,16
5/1/2021,12304,33
5/10/2021,12352,48
5/11/2021,12370,18
5/12/2021,12386,16
5/13/2021,12391,5
5/14/2021,12395,4
5/15/2021,12396,1
5/16/2021,12443,47
5/17/2021,12499,56
5/18/2021,12548,49
5/19/2021,12562,14
5/2/2021,12568,6
5/20/2021,12571,3
5/21/2021,12584,13
5/22/2021,12609,25
5/23/2021,12654,45
5/24/2021,12659,5
5/25/2021,12674,15
5/26/2021,12676,2
5/27/2021,12683,7
5/28/2021,12702,19
5/29/2021,12728,26
5/3/2021,12755,27
5/30/2021,12770,15
5/31/2021,12785,15
5/4/2021,12789,4
5/5/2021,12796,7
5/6/2021,12818,22
5/7/2021,12839,21
5/8/2021,12851,12
5/9/2021,12863,12
6/1/2021,12870,7
6/10/2021,12875,5
6/11/2021,12884,9
6/12/2021,12923,39
6/13/2021,12936,13
6/14/2021,12945,9
6/15/2021,12951,6
6/16/2021,12954,3
6/17/2021,12955,1
6/18/2021,12958,3
6/19/2021,12971,13
6/2/2021,12998,27
6/21/2021,13028,30
6/22/2021,13035,7
6/23/2021,13040,5
6/24/2021,13044,4
6/25/2021,13065,21
6/26/2021,13083,18
6/27/2021,13097,14
6/28/2021,13106,9
6/29/2021,13112,6
6/3/2021,13116,4
6/30/2021,13118,2
6/4/2021,13127,9
6/5/2021,13149,22
6/6/2021,13183,34
6/7/2021,13199,16
6/8/2021,13215,16
6/9/2021,13218,3
7/1/2021,13222,4
7/10/2021,13235,13
7/11/2021,13257,22
7/12/2021,13279,22
7/13/2021,13335,56
7/14/2021,13345,10
7/15/2021,13349,4
7/16/2021,13351,2
7/17/2021,13364,13
7/18/2021,13387,23
7/19/2021,13421,34
7/2/2021,13450,29
7/20/2021,13467,17
7/21/2021,13479,12
7/22/2021,13481,2
7/23/2021,13500,19
7/24/2021,13520,20
7/25/2021,13558,38
7/26/2021,13592,34
7/27/2021,13619,27
7/28/2021,13631,12
7/29/2021,13635,4
7/3/2021,13647,12
7/30/2021,13676,29
7/31/2021,13715,39
7/4/2021,13733,18
7/5/2021,13757,24
7/6/2021,13767,10
7/7/2021,13769,2
7/8/2021,13792,23
7/9/2021,13810,18
8/1/2021,13842,32
8/10/2021,13906,64
8/11/2021,13922,16
8/12/2021,13938,16
8/13/2021,13941,3
8/14/2021,13959,18
8/15/2021,13981,22
8/16/2021,14025,44
8/17/2021,14039,14
8/18/2021,14053,14
8/19/2021,14056,3
8/2/2021,14062,6
8/20/2021,14063,1
8/21/2021,14083,20
8/22/2021,14115,32
8/23/2021,14139,24
8/24/2021,14159,20
8/25/2021,14174,15
8/26/2021,14178,4
8/27/2021,14198,20
8/28/2021,14247,49
8/29/2021,14279,32
8/3/2021,14301,22
8/30/2021,14325,24
8/31/2021,14335,10
8/4/2021,14336,1
8/5/2021,14358,22
8/6/2021,14381,23
8/7/2021,14408,27
8/8/2021,14429,21
8/9/2021,14448,19
9/1/2021,14453,5
9/10/2021,14454,1
9/11/2021,14470,16
9/12/2021,14482,12
9/13/2021,14525,43
9/14/2021,14534,9
9/15/2021,14543,9
9/16/2021,14549,6
9/17/2021,14551,2
9/18/2021,14569,18
9/19/2021,14593,24
9/2/2021,14624,31
9/20/2021,14681,57
9/21/2021,14695,14
9/22/2021,14704,9
9/23/2021,14705,1
9/24/2021,14727,22
9/25/2021,14759,32
9/26/2021,14788,29
9/27/2021,14799,11
9/28/2021,14805,6
9/29/2021,14816,11
9/3/2021,14826,10
9/30/2021,14844,18
9/4/2021,14862,18
9/5/2021,14878,16
9/6/2021,14918,40
9/7/2021,14944,26
9/8/2021,14959,15
9/9/2021,14965,6
