date,pcr_tests_APACHE,pcr_pos_test_APACHE,pcr_positivity_APACHE
2021-10-25 00:00:00,1,0,0
2021-10-24 00:00:00,67,9,0.1343283582089552
2021-10-23 00:00:00,97,24,0.2474226804123712
2021-10-22 00:00:00,170,24,0.1411764705882353
2021-10-21 00:00:00,167,22,0.1317365269461078
2021-10-20 00:00:00,132,14,0.1060606060606061
2021-10-19 00:00:00,225,25,0.1111111111111111
2021-10-18 00:00:00,304,46,0.1513157894736842
2021-10-17 00:00:00,92,17,0.1847826086956522
2021-10-16 00:00:00,99,18,0.1818181818181818
2021-10-15 00:00:00,205,28,0.1365853658536586
2021-10-14 00:00:00,205,23,0.1121951219512195
2021-10-13 00:00:00,226,39,0.1725663716814159
2021-10-12 00:00:00,217,23,0.1059907834101383
2021-10-11 00:00:00,253,36,0.1422924901185771
2021-10-10 00:00:00,87,15,0.1724137931034483
2021-10-09 00:00:00,74,20,0.2702702702702703
2021-10-08 00:00:00,161,9,0.0559006211180124
2021-10-07 00:00:00,194,32,0.1649484536082474
2021-10-06 00:00:00,194,35,0.1804123711340206
2021-10-05 00:00:00,153,18,0.1176470588235294
2021-10-04 00:00:00,483,29,0.0600414078674948
2021-10-03 00:00:00,71,9,0.1267605633802817
2021-10-02 00:00:00,99,9,0.0909090909090909
2021-10-01 00:00:00,165,17,0.103030303030303
2021-09-30 00:00:00,169,21,0.1242603550295858
2021-09-29 00:00:00,205,6,0.0292682926829268
2021-09-28 00:00:00,197,23,0.116751269035533
2021-09-27 00:00:00,251,26,0.1035856573705179
2021-09-26 00:00:00,77,4,0.051948051948052
2021-09-25 00:00:00,77,6,0.0779220779220779
2021-09-24 00:00:00,135,16,0.1185185185185185
2021-09-23 00:00:00,158,13,0.0822784810126582
2021-09-22 00:00:00,188,29,0.1542553191489362
2021-09-21 00:00:00,193,14,0.0725388601036269
2021-09-20 00:00:00,345,25,0.072463768115942
2021-09-19 00:00:00,85,10,0.1176470588235294
2021-09-18 00:00:00,107,13,0.1214953271028038
2021-09-17 00:00:00,136,10,0.0735294117647059
2021-09-16 00:00:00,179,26,0.1452513966480447
2021-09-15 00:00:00,163,13,0.0797546012269939
2021-09-14 00:00:00,223,19,0.0852017937219731
2021-09-13 00:00:00,249,24,0.0963855421686747
2021-09-12 00:00:00,82,4,0.0487804878048781
2021-09-11 00:00:00,76,9,0.118421052631579
2021-09-10 00:00:00,159,11,0.0691823899371069
2021-09-09 00:00:00,199,8,0.0402010050251256
2021-09-08 00:00:00,270,28,0.1037037037037037
2021-09-07 00:00:00,276,29,0.1050724637681159
2021-09-06 00:00:00,123,14,0.1138211382113821
2021-09-05 00:00:00,98,6,0.0612244897959184
2021-09-04 00:00:00,71,12,0.1690140845070423
2021-09-03 00:00:00,175,13,0.0742857142857143
2021-09-02 00:00:00,213,18,0.0845070422535211
2021-09-01 00:00:00,226,20,0.0884955752212389
2021-08-31 00:00:00,329,23,0.0699088145896657
2021-08-30 00:00:00,368,43,0.1168478260869565
2021-08-29 00:00:00,114,13,0.1140350877192983
2021-08-28 00:00:00,109,14,0.1284403669724771
2021-08-27 00:00:00,284,19,0.0669014084507042
2021-08-26 00:00:00,545,13,0.0238532110091743
2021-08-25 00:00:00,261,12,0.0459770114942529
2021-08-24 00:00:00,323,38,0.1176470588235294
2021-08-23 00:00:00,369,37,0.1002710027100271
2021-08-22 00:00:00,102,13,0.1274509803921569
2021-08-21 00:00:00,106,10,0.0943396226415094
2021-08-20 00:00:00,259,19,0.0733590733590734
2021-08-19 00:00:00,289,30,0.1038062283737024
2021-08-18 00:00:00,306,18,0.0588235294117647
2021-08-17 00:00:00,306,39,0.1274509803921569
2021-08-16 00:00:00,419,33,0.0787589498806683
2021-08-15 00:00:00,125,13,0.104
2021-08-14 00:00:00,135,12,0.0888888888888889
2021-08-13 00:00:00,227,10,0.0440528634361234
2021-08-12 00:00:00,372,29,0.0779569892473118
2021-08-11 00:00:00,339,37,0.1091445427728614
2021-08-10 00:00:00,213,17,0.07981220657277
2021-08-09 00:00:00,272,21,0.0772058823529412
2021-08-08 00:00:00,97,12,0.1237113402061856
2021-08-07 00:00:00,63,4,0.0634920634920635
2021-08-06 00:00:00,191,19,0.0994764397905759
2021-08-05 00:00:00,165,14,0.0848484848484849
2021-08-04 00:00:00,178,22,0.1235955056179775
2021-08-03 00:00:00,122,14,0.1147540983606558
2021-08-02 00:00:00,153,14,0.0915032679738562
2021-08-01 00:00:00,45,6,0.1333333333333333
2021-07-31 00:00:00,41,2,0.0487804878048781
2021-07-30 00:00:00,132,12,0.0909090909090909
2021-07-29 00:00:00,65,9,0.1384615384615385
2021-07-28 00:00:00,96,14,0.1458333333333334
2021-07-27 00:00:00,105,22,0.2095238095238095
2021-07-26 00:00:00,75,11,0.1466666666666667
2021-07-25 00:00:00,24,4,0.1666666666666667
2021-07-24 00:00:00,42,3,0.0714285714285714
2021-07-23 00:00:00,76,4,0.0526315789473684
2021-07-22 00:00:00,75,11,0.1466666666666667
2021-07-21 00:00:00,95,12,0.1263157894736842
2021-07-20 00:00:00,70,5,0.0714285714285714
2021-07-19 00:00:00,73,10,0.136986301369863
2021-07-18 00:00:00,32,4,0.125
2021-07-17 00:00:00,39,3,0.0769230769230769
2021-07-16 00:00:00,60,12,0.2
2021-07-15 00:00:00,70,4,0.0571428571428571
2021-07-14 00:00:00,68,5,0.0735294117647059
2021-07-13 00:00:00,82,6,0.0731707317073171
2021-07-12 00:00:00,65,3,0.0461538461538462
2021-07-11 00:00:00,17,1,0.0588235294117647
2021-07-10 00:00:00,33,1,0.0303030303030303
2021-07-09 00:00:00,49,2,0.0408163265306122
2021-07-08 00:00:00,71,0,0
2021-07-07 00:00:00,63,2,0.0317460317460317
2021-07-06 00:00:00,78,9,0.1153846153846154
2021-07-05 00:00:00,50,1,0.02
2021-07-04 00:00:00,37,4,0.1081081081081081
2021-07-03 00:00:00,27,1,0.037037037037037
2021-07-02 00:00:00,51,2,0.0392156862745098
2021-07-01 00:00:00,59,1,0.0169491525423729
2021-06-30 00:00:00,34,3,0.0882352941176471
2021-06-29 00:00:00,41,0,0
2021-06-28 00:00:00,49,1,0.0204081632653061
2021-06-27 00:00:00,30,0,0
2021-06-26 00:00:00,17,0,0
2021-06-25 00:00:00,28,3,0.1071428571428571
2021-06-24 00:00:00,38,5,0.1315789473684211
2021-06-23 00:00:00,36,2,0.0555555555555556
2021-06-22 00:00:00,60,2,0.0333333333333333
2021-06-21 00:00:00,37,2,0.0540540540540541
2021-06-20 00:00:00,21,0,0
2021-06-19 00:00:00,26,0,0
2021-06-18 00:00:00,34,0,0
2021-06-17 00:00:00,24,2,0.0833333333333333
2021-06-16 00:00:00,71,7,0.0985915492957746
2021-06-15 00:00:00,22,0,0
2021-06-14 00:00:00,48,4,0.0833333333333333
2021-06-13 00:00:00,24,2,0.0833333333333333
2021-06-12 00:00:00,31,1,0.032258064516129
2021-06-11 00:00:00,34,1,0.0294117647058824
2021-06-10 00:00:00,32,1,0.03125
2021-06-09 00:00:00,32,2,0.0625
2021-06-08 00:00:00,37,1,0.027027027027027
2021-06-07 00:00:00,57,1,0.0175438596491228
2021-06-06 00:00:00,12,0,0
2021-06-05 00:00:00,15,0,0
2021-06-04 00:00:00,38,1,0.0263157894736842
2021-06-03 00:00:00,42,0,0
2021-06-02 00:00:00,63,4,0.0634920634920635
2021-06-01 00:00:00,82,3,0.0365853658536585
2021-05-31 00:00:00,14,1,0.0714285714285714
2021-05-30 00:00:00,21,1,0.0476190476190476
2021-05-29 00:00:00,22,2,0.0909090909090909
2021-05-28 00:00:00,25,0,0
2021-05-27 00:00:00,27,1,0.037037037037037
2021-05-26 00:00:00,57,1,0.0175438596491228
2021-05-25 00:00:00,69,1,0.0144927536231884
2021-05-24 00:00:00,58,3,0.0517241379310345
2021-05-23 00:00:00,27,0,0
2021-05-22 00:00:00,21,0,0
2021-05-21 00:00:00,52,0,0
2021-05-20 00:00:00,42,1,0.0238095238095238
2021-05-19 00:00:00,59,0,0
2021-05-18 00:00:00,64,3,0.046875
2021-05-17 00:00:00,52,0,0
2021-05-16 00:00:00,28,1,0.0357142857142857
2021-05-15 00:00:00,15,0,0
2021-05-14 00:00:00,48,1,0.0208333333333333
2021-05-13 00:00:00,61,2,0.0327868852459016
2021-05-12 00:00:00,66,4,0.0606060606060606
2021-05-11 00:00:00,65,2,0.0307692307692308
2021-05-10 00:00:00,106,6,0.0566037735849057
2021-05-09 00:00:00,22,3,0.1363636363636364
2021-05-08 00:00:00,14,2,0.1428571428571429
2021-05-07 00:00:00,61,4,0.0655737704918033
2021-05-06 00:00:00,45,2,0.0444444444444444
2021-05-05 00:00:00,65,2,0.0307692307692308
2021-05-04 00:00:00,79,0,0
2021-05-03 00:00:00,88,3,0.0340909090909091
2021-05-02 00:00:00,12,1,0.0833333333333333
2021-05-01 00:00:00,18,2,0.1111111111111111
2021-04-30 00:00:00,76,1,0.0131578947368421
2021-04-29 00:00:00,44,3,0.0681818181818182
2021-04-28 00:00:00,41,0,0
2021-04-27 00:00:00,153,2,0.0130718954248366
