date,pcr_tests_YUMA,pcr_pos_test_YUMA,pcr_positivity_YUMA
2021-10-28 00:00:00,3,0,0
2021-10-27 00:00:00,231,18,0.0779220779220779
2021-10-26 00:00:00,370,40,0.1081081081081081
2021-10-25 00:00:00,636,40,0.0628930817610063
2021-10-24 00:00:00,241,22,0.0912863070539419
2021-10-23 00:00:00,210,32,0.1523809523809524
2021-10-22 00:00:00,516,30,0.0581395348837209
2021-10-21 00:00:00,571,41,0.0718038528896673
2021-10-20 00:00:00,429,30,0.0699300699300699
2021-10-19 00:00:00,470,43,0.0914893617021277
2021-10-18 00:00:00,662,29,0.0438066465256798
2021-10-17 00:00:00,206,14,0.0679611650485437
2021-10-16 00:00:00,168,23,0.1369047619047619
2021-10-15 00:00:00,611,25,0.0409165302782324
2021-10-14 00:00:00,479,31,0.0647181628392484
2021-10-13 00:00:00,391,23,0.0588235294117647
2021-10-12 00:00:00,378,25,0.0661375661375661
2021-10-11 00:00:00,528,26,0.0492424242424242
2021-10-10 00:00:00,209,16,0.076555023923445
2021-10-09 00:00:00,253,21,0.08300395256917
2021-10-08 00:00:00,544,41,0.0753676470588235
2021-10-07 00:00:00,507,32,0.0631163708086785
2021-10-06 00:00:00,477,39,0.0817610062893082
2021-10-05 00:00:00,424,32,0.0754716981132076
2021-10-04 00:00:00,647,48,0.0741885625965997
2021-10-03 00:00:00,176,14,0.0795454545454546
2021-10-02 00:00:00,188,22,0.1170212765957447
2021-10-01 00:00:00,589,39,0.066213921901528
2021-09-30 00:00:00,451,46,0.1019955654101996
2021-09-29 00:00:00,396,40,0.101010101010101
2021-09-28 00:00:00,643,49,0.0762052877138414
2021-09-27 00:00:00,694,49,0.0706051873198847
2021-09-26 00:00:00,157,27,0.1719745222929936
2021-09-25 00:00:00,215,32,0.1488372093023256
2021-09-24 00:00:00,588,51,0.086734693877551
2021-09-23 00:00:00,496,34,0.0685483870967742
2021-09-22 00:00:00,456,46,0.1008771929824561
2021-09-21 00:00:00,634,34,0.0536277602523659
2021-09-20 00:00:00,976,44,0.0450819672131148
2021-09-19 00:00:00,241,16,0.0663900414937759
2021-09-18 00:00:00,249,20,0.0803212851405623
2021-09-17 00:00:00,640,32,0.05
2021-09-16 00:00:00,577,29,0.0502599653379549
2021-09-15 00:00:00,482,30,0.0622406639004149
2021-09-14 00:00:00,620,45,0.0725806451612903
2021-09-13 00:00:00,778,55,0.070694087403599
2021-09-12 00:00:00,270,25,0.0925925925925926
2021-09-11 00:00:00,285,37,0.1298245614035088
2021-09-10 00:00:00,573,45,0.0785340314136126
2021-09-09 00:00:00,671,41,0.0611028315946349
2021-09-08 00:00:00,685,60,0.0875912408759124
2021-09-07 00:00:00,929,84,0.0904198062432723
2021-09-06 00:00:00,234,21,0.0897435897435898
2021-09-05 00:00:00,273,33,0.1208791208791209
2021-09-04 00:00:00,322,28,0.0869565217391304
2021-09-03 00:00:00,896,44,0.0491071428571429
2021-09-02 00:00:00,725,50,0.0689655172413793
2021-09-01 00:00:00,545,54,0.0990825688073395
2021-08-31 00:00:00,687,55,0.0800582241630277
2021-08-30 00:00:00,1010,68,0.0673267326732673
2021-08-29 00:00:00,219,26,0.1187214611872146
2021-08-28 00:00:00,325,29,0.0892307692307692
2021-08-27 00:00:00,768,63,0.08203125
2021-08-26 00:00:00,577,60,0.1039861351819757
2021-08-25 00:00:00,678,56,0.0825958702064897
2021-08-24 00:00:00,793,72,0.0907944514501892
2021-08-23 00:00:00,1042,92,0.0882917466410749
2021-08-22 00:00:00,247,21,0.0850202429149798
2021-08-21 00:00:00,312,33,0.1057692307692308
