date,Arizona_cume,Arizona
10/30/2021,219,
10/29/2021,238,19
10/28/2021,259,21
10/27/2021,267,8
10/26/2021,271,4
10/25/2021,275,4
10/24/2021,295,20
10/23/2021,307,12
10/22/2021,326,19
10/21/2021,347,21
10/20/2021,364,17
10/19/2021,376,12
10/18/2021,385,9
10/17/2021,408,23
10/16/2021,493,85
10/15/2021,1128,635
10/14/2021,4384,3256
10/13/2021,8107,3723
10/12/2021,10680,2573
10/11/2021,11754,1074
10/10/2021,17326,5572
10/9/2021,25169,7843
10/8/2021,35054,9885
10/7/2021,38934,3880
10/6/2021,39079,145
10/5/2021,45635,6556
10/4/2021,48307,2672
10/3/2021,57815,9508
10/2/2021,71135,13320
10/1/2021,86292,15157
9/30/2021,94367,8075
9/29/2021,96849,2482
9/28/2021,104580,7731
9/27/2021,107832,3252
9/26/2021,116784,8952
9/25/2021,126046,9262
9/24/2021,138289,12243
9/23/2021,151175,12886
9/22/2021,163382,12207
9/21/2021,171379,7997
9/20/2021,174691,3312
9/19/2021,190684,15993
9/18/2021,214116,23432
9/17/2021,239677,25561
9/16/2021,264674,24997
9/15/2021,290161,25487
9/14/2021,306051,15890
9/13/2021,315469,9418
9/12/2021,334694,19225
9/11/2021,362134,27440
9/10/2021,394655,32521
9/9/2021,430196,35541
9/8/2021,468770,38574
9/7/2021,497683,28913
9/6/2021,514008,16325
9/5/2021,544167,30159
9/4/2021,581496,37329
9/3/2021,621898,40402
9/2/2021,662422,40524
9/1/2021,702838,40416
8/31/2021,729327,26489
8/30/2021,741124,11797
8/29/2021,775026,33902
8/28/2021,814714,39688
8/27/2021,859329,44615
8/26/2021,906921,47592
8/25/2021,951830,44909
8/24/2021,991072,39242
8/23/2021,1007590,16518
8/22/2021,1047145,39555
8/21/2021,1092045,44900
8/20/2021,1143830,51785
8/19/2021,1196330,52500
8/18/2021,1259005,62675
8/17/2021,1305585,46580
8/16/2021,1323154,17569
8/15/2021,1355330,32176
8/14/2021,1400712,45382
8/13/2021,1448709,47997
8/12/2021,1494724,46015
8/11/2021,1538498,43774
8/10/2021,1574355,35857
8/9/2021,1589713,15358
8/8/2021,1619042,29329
8/7/2021,1664070,45028
8/6/2021,1721989,57919
8/5/2021,1783348,61359
8/4/2021,1851304,67956
8/3/2021,1903590,52286
8/2/2021,1929928,26338
8/1/2021,1981013,51085
7/31/2021,2032999,51986
7/30/2021,2092734,59735
7/29/2021,2152269,59535
7/28/2021,2212901,60632
7/27/2021,2259141,46240
7/26/2021,2285554,26413
7/25/2021,2337918,52364
7/24/2021,2395947,58029
7/23/2021,2465109,69162
7/22/2021,2537704,72595
7/21/2021,2612402,74698
7/20/2021,2665706,53304
7/19/2021,2694848,29142
7/18/2021,2744173,49325
7/17/2021,2800482,56309
7/16/2021,2864873,64391
7/15/2021,2930505,65632
7/14/2021,2992313,61808
7/13/2021,3040505,48192
7/12/2021,3072645,32140
7/11/2021,3117783,45138
7/10/2021,3168052,50269
7/9/2021,3233081,65029
7/8/2021,3306280,73199
7/7/2021,3378463,72183
7/6/2021,3432736,54273
7/5/2021,3471674,38938
7/4/2021,3534656,62982
7/3/2021,3603580,68924
7/2/2021,3682606,79026
7/1/2021,3763048,80442
6/30/2021,3833578,70530
6/29/2021,3883981,50403
6/28/2021,3905325,21344
6/27/2021,3965017,59692
6/26/2021,4032364,67347
6/25/2021,4108842,76478
6/24/2021,4186850,78008
6/23/2021,4258675,71825
6/22/2021,4308556,49881
6/21/2021,4339863,31307
6/20/2021,4393221,53358
6/19/2021,4444077,50856
6/18/2021,4504889,60812
6/17/2021,4570126,65237
6/16/2021,4633878,63752
6/15/2021,4677143,43265
6/14/2021,4707273,30130
6/13/2021,4760671,53398
6/12/2021,4816139,55468
6/11/2021,4878925,62786
6/10/2021,4942142,63217
6/9/2021,5001157,59015
6/8/2021,5041300,40143
6/7/2021,5067178,25878
6/6/2021,5114372,47194
6/5/2021,5164207,49835
6/4/2021,5214620,50413
6/3/2021,5261114,46494
6/2/2021,5307056,45942
6/1/2021,5335149,28093
5/31/2021,5356362,21213
5/30/2021,5386887,30525
5/29/2021,5426523,39636
5/28/2021,5462212,35689
5/27/2021,5500245,38033
5/26/2021,5539066,38821
5/25/2021,5565941,26875
5/24/2021,5578863,12922
5/23/2021,5605175,26312
5/22/2021,5631696,26521
5/21/2021,5662542,30846
5/20/2021,5702331,39789
5/19/2021,5742498,40167
5/18/2021,5773534,31036
5/17/2021,5790761,17227
5/16/2021,5823341,32580
5/15/2021,5851320,27979
5/14/2021,5887707,36387
5/13/2021,5918685,30978
5/12/2021,5952740,34055
5/11/2021,5978888,26148
5/10/2021,5989781,10893
5/9/2021,6012508,22727
5/8/2021,6034184,21676
5/7/2021,6057673,23489
5/6/2021,6079282,21609
5/5/2021,6103390,24108
5/4/2021,6116668,13278
5/3/2021,6124103,7435
5/2/2021,6128603,4500
5/1/2021,6149698,21095
4/30/2021,6170148,20450
4/29/2021,6193611,23463
4/28/2021,6219946,26335
4/27/2021,6240619,20673
4/26/2021,6250339,9720
4/25/2021,6270393,20054
4/24/2021,6289469,19076
4/23/2021,6309956,20487
4/22/2021,6330613,20657
4/21/2021,6356135,25522
4/20/2021,6373019,16884
4/19/2021,6381047,8028
4/18/2021,6398741,17694
4/17/2021,6415045,16304
4/16/2021,6431666,16621
4/15/2021,6447801,16135
4/14/2021,6466784,18983
4/13/2021,6477929,11145
4/12/2021,6483674,5745
4/11/2021,6495301,11627
4/10/2021,6509292,13991
4/9/2021,6524475,15183
4/8/2021,6538749,14274
4/7/2021,6555041,16292
