date,20-34_Gila,35-44_Gila,45-54_Gila,55-64_Gila,65+_Gila,<20_Gila
1/1/2021,158,151,165,210,201,6
1/10/2021,305,339,413,533,1024,16
1/11/2021,320,355,431,565,1101,16
1/12/2021,328,359,441,579,1136,16
1/13/2021,333,365,451,586,1173,16
1/14/2021,343,380,471,617,1318,16
1/15/2021,400,425,513,672,1353,22
1/16/2021,400,426,514,673,1355,22
1/17/2021,400,426,514,673,1358,22
1/18/2021,403,434,520,696,1425,22
1/19/2021,415,437,530,711,1479,23
1/2/2021,174,167,188,247,302,9
1/20/2021,425,446,551,744,1581,24
1/21/2021,440,458,561,777,1790,24
1/22/2021,455,467,568,789,1853,25
1/23/2021,459,472,570,795,1967,25
1/24/2021,459,472,571,796,1976,25
1/25/2021,474,480,582,815,2041,25
1/26/2021,480,483,582,817,2055,25
1/27/2021,493,500,592,827,2228,29
1/28/2021,513,526,626,882,2474,29
1/29/2021,538,545,656,916,2588,33
1/3/2021,175,167,188,249,302,9
1/30/2021,570,557,667,932,2708,41
1/31/2021,570,557,667,933,2712,41
1/4/2021,189,184,220,288,350,9
1/5/2021,211,216,278,349,484,10
1/6/2021,222,242,316,407,619,12
1/7/2021,269,307,358,470,826,15
1/8/2021,300,338,406,531,1005,16
1/9/2021,305,339,413,533,1024,16
10/1/2021,2631,1909,2527,4602,11471,1166
10/10/2021,2652,1923,2538,4619,11495,1178
10/11/2021,2653,1925,2540,4619,11500,1181
10/12/2021,2657,1927,2541,4621,11506,1182
10/13/2021,2662,1930,2542,4623,11514,1184
10/14/2021,2667,1933,2547,4631,11518,1186
10/15/2021,2674,1935,2551,4638,11519,1186
10/16/2021,2675,1935,2551,4639,11519,1186
10/17/2021,2677,1935,2551,4639,11521,1186
10/18/2021,2681,1936,2552,4642,11526,1186
10/19/2021,2684,1940,2553,4646,11526,1187
10/2/2021,2631,1911,2528,4603,11472,1166
10/20/2021,2685,1940,2559,4650,11529,1187
10/21/2021,2687,1943,2563,4655,11539,1188
10/22/2021,2690,1946,2565,4658,11549,1190
10/23/2021,2692,1947,2567,4660,11554,1194
10/24/2021,2692,1948,2568,4660,11556,1194
10/25/2021,2694,1948,2570,4664,11562,1195
10/26/2021,2697,1949,2573,4670,11567,1197
10/27/2021,2700,1949,2574,4676,11575,1197
