date,pcr_tests_COCHISE,pcr_pos_test_COCHISE,pcr_positivity_COCHISE
2021-11-01 00:00:00,4,0,0
2021-10-31 00:00:00,37,6,0.1621621621621622
2021-10-30 00:00:00,122,25,0.2049180327868853
2021-10-29 00:00:00,318,42,0.1320754716981132
2021-10-28 00:00:00,400,53,0.1325
2021-10-27 00:00:00,513,62,0.1208576998050682
2021-10-26 00:00:00,607,70,0.1153212520593081
2021-10-25 00:00:00,640,82,0.128125
2021-10-24 00:00:00,139,14,0.1007194244604317
2021-10-23 00:00:00,185,36,0.1945945945945946
2021-10-22 00:00:00,410,48,0.1170731707317073
2021-10-21 00:00:00,805,62,0.0770186335403727
2021-10-20 00:00:00,521,56,0.1074856046065259
2021-10-19 00:00:00,682,49,0.0718475073313783
2021-10-18 00:00:00,668,88,0.1317365269461078
2021-10-17 00:00:00,194,28,0.1443298969072165
2021-10-16 00:00:00,239,24,0.100418410041841
2021-10-15 00:00:00,497,51,0.10261569416499
2021-10-14 00:00:00,539,45,0.0834879406307978
2021-10-13 00:00:00,575,58,0.1008695652173913
2021-10-12 00:00:00,457,67,0.1466083150984683
2021-10-11 00:00:00,732,82,0.1120218579234973
2021-10-10 00:00:00,153,17,0.1111111111111111
2021-10-09 00:00:00,151,14,0.0927152317880795
2021-10-08 00:00:00,589,88,0.1494057724957555
2021-10-07 00:00:00,751,57,0.0758988015978695
2021-10-06 00:00:00,594,72,0.1212121212121212
2021-10-05 00:00:00,649,39,0.0600924499229584
2021-10-04 00:00:00,706,85,0.1203966005665723
2021-10-03 00:00:00,128,17,0.1328125
2021-10-02 00:00:00,131,17,0.1297709923664122
2021-10-01 00:00:00,486,60,0.1234567901234568
2021-09-30 00:00:00,471,54,0.1146496815286624
2021-09-29 00:00:00,736,90,0.1222826086956522
2021-09-28 00:00:00,704,39,0.0553977272727273
2021-09-27 00:00:00,633,76,0.1200631911532386
2021-09-26 00:00:00,117,14,0.1196581196581197
2021-09-25 00:00:00,163,30,0.1840490797546012
2021-09-24 00:00:00,519,68,0.1310211946050096
2021-09-23 00:00:00,585,47,0.0803418803418804
2021-09-22 00:00:00,499,52,0.1042084168336673
2021-09-21 00:00:00,718,47,0.0654596100278552
2021-09-20 00:00:00,574,61,0.1062717770034843
2021-09-19 00:00:00,145,23,0.1586206896551724
2021-09-18 00:00:00,165,16,0.096969696969697
2021-09-17 00:00:00,653,47,0.0719754977029097
2021-09-16 00:00:00,474,38,0.080168776371308
2021-09-15 00:00:00,504,35,0.0694444444444445
2021-09-14 00:00:00,817,49,0.0599755201958384
2021-09-13 00:00:00,794,72,0.0906801007556675
2021-09-12 00:00:00,149,24,0.1610738255033557
2021-09-11 00:00:00,158,26,0.1645569620253165
2021-09-10 00:00:00,555,51,0.0918918918918919
2021-09-09 00:00:00,455,40,0.0879120879120879
