date,20-34_Yavapai,35-44_Yavapai,45-54_Yavapai,55-64_Yavapai,65+_Yavapai,<20_Yavapai
1/1/2021,310,414,437,645,422,8
1/10/2021,566,701,803,1122,943,12
1/11/2021,575,709,812,1138,970,13
1/12/2021,594,734,841,1185,1060,13
1/13/2021,638,782,928,1278,1244,14
1/14/2021,671,827,983,1350,1357,16
1/15/2021,686,838,995,1370,1405,16
1/16/2021,708,869,1039,1417,1550,18
1/17/2021,710,871,1042,1422,1566,19
1/18/2021,717,874,1055,1442,1715,20
1/19/2021,750,928,1107,1518,1868,22
1/2/2021,330,447,461,677,432,8
1/20/2021,792,978,1172,1612,2144,22
1/21/2021,915,1135,1348,1853,2828,23
1/22/2021,1051,1270,1522,2109,3757,25
1/23/2021,1092,1325,1576,2215,4894,28
1/24/2021,1108,1342,1600,2292,6085,29
1/25/2021,1131,1366,1635,2367,6730,29
1/26/2021,1142,1378,1664,2413,7086,29
1/27/2021,1215,1431,1736,2599,8339,30
1/28/2021,1265,1501,1844,2802,9723,37
1/29/2021,1344,1559,1940,2978,10951,42
1/3/2021,330,449,461,678,433,8
1/30/2021,1393,1585,1997,3064,11585,43
1/31/2021,1430,1612,2047,3149,12285,46
1/4/2021,339,454,470,690,439,8
1/5/2021,346,462,485,710,460,8
1/6/2021,354,469,497,734,495,9
1/7/2021,438,567,639,871,693,10
1/8/2021,532,671,765,1081,896,12
1/9/2021,565,700,802,1122,940,12
10/1/2021,10894,7942,10417,19788,54003,4611
10/10/2021,11038,8012,10494,19866,54127,4654
10/11/2021,11054,8023,10497,19881,54156,4660
10/12/2021,11064,8026,10504,19888,54167,4670
10/13/2021,11079,8031,10511,19898,54179,4684
10/14/2021,11096,8044,10521,19915,54203,4687
10/15/2021,11116,8051,10529,19927,54223,4694
10/16/2021,11127,8056,10534,19933,54232,4704
10/17/2021,11141,8064,10545,19937,54238,4708
10/18/2021,11157,8071,10550,19945,54253,4713
10/19/2021,11177,8080,10555,19955,54264,4722
10/2/2021,10913,7948,10425,19796,54016,4617
10/20/2021,11194,8087,10559,19965,54290,4724
10/21/2021,11214,8095,10569,19981,54302,4730
10/22/2021,11229,8102,10580,20002,54345,4736
10/23/2021,11230,8104,10591,20012,54383,4738
10/24/2021,11235,8109,10595,20016,54402,4742
10/25/2021,11249,8116,10605,20028,54480,4748
10/26/2021,11255,8126,10615,20043,54566,4752
10/27/2021,11270,8130,10626,20059,54653,4756
10/28/2021,11293,8138,10635,20075,54738,4762
10/29/2021,11311,8150,10648,20080,54820,4768
10/3/2021,10921,7949,10426,19798,54019,4620
10/30/2021,11324,8152,10651,20087,54837,4769
10/31/2021,11328,8157,10652,20091,54854,4770
10/4/2021,10939,7958,10443,19810,54035,4623
10/5/2021,10960,7967,10452,19825,54061,4627
10/6/2021,10977,7978,10460,19833,54081,4629
10/7/2021,10991,7991,10469,19842,54093,4631
10/8/2021,11011,8000,10482,19857,54116,4649
10/9/2021,11026,8009,10490,19862,54123,4653
11/1/2021,11338,8166,10660,20105,54907,4774
11/2/2021,11348,8174,10663,20110,54938,4774
11/3/2021,11351,8181,10671,20118,54951,4779
12/1/2020,,,,,1,
12/10/2020,1,,,,1,
12/11/2020,1,,,,1,
12/12/2020,1,,,,2,
12/13/2020,1,,,,2,
12/14/2020,1,,,,2,
12/15/2020,1,,,,2,
12/16/2020,1,1,1,,2,
12/17/2020,1,1,2,,4,
12/18/2020,1,1,2,,4,
12/19/2020,2,1,2,,6,
12/2/2020,,,,,1,
12/20/2020,2,1,2,3,6,
12/21/2020,2,3,2,4,6,
12/22/2020,34,73,103,118,55,
