date,ed_used,ed_empty
2020-03-26,560,1161
2020-03-27,698,1242
2020-03-28,810,1238
2020-03-29,703,1313
2020-03-30,911,1219
2020-03-31,916,1271
2020-04-01,845,1378
2020-04-02,768,1421
2020-04-03,762,1493
2020-04-04,634,1571
2020-04-05,814,1408
2020-04-06,760,1498
2020-04-07,798,1467
2020-04-08,736,1523
2020-04-09,659,1621
2020-04-10,643,1615
2020-04-11,625,1638
2020-04-12,618,1654
2020-04-13,662,1601
2020-04-14,613,1652
2020-04-15,581,1678
2020-04-16,590,1674
2020-04-17,624,1607
2020-04-18,603,1637
2020-04-19,626,1632
2020-04-20,639,1578
2020-04-21,698,1601
2020-04-22,692,1605
2020-04-23,703,1609
2020-04-24,749,1570
2020-04-25,732,1588
2020-04-26,736,1594
2020-04-27,778,1548
2020-04-28,880,1440
2020-04-29,807,1518
2020-04-30,857,1494
2020-05-01,783,1538
2020-05-02,819,1514
2020-05-03,821,1524
2020-05-04,845,1493
2020-05-05,761,1580
2020-05-06,813,1526
2020-05-07,857,1470
2020-05-08,893,1448
2020-05-09,799,1514
2020-05-10,770,1543
2020-05-11,851,1469
2020-05-12,965,1377
2020-05-13,790,1538
2020-05-14,840,1492
2020-05-15,814,1515
2020-05-16,875,1456
2020-05-17,882,1450
2020-05-18,825,1499
2020-05-19,870,1443
2020-05-20,862,1446
2020-05-21,859,1419
2020-05-22,802,1472
2020-05-23,892,1422
2020-05-24,895,1421
2020-05-25,946,1370
2020-05-26,889,1427
2020-05-27,915,1401
2020-05-28,885,1431
2020-05-29,940,1376
2020-05-30,946,1370
2020-05-31,898,1416
2020-06-01,997,1325
2020-06-02,985,1339
2020-06-03,999,1326
2020-06-04,787,1403
2020-06-05,766,1424
2020-06-06,793,1397
2020-06-07,774,1428
2020-06-08,956,1348
2020-06-09,892,1407
2020-06-10,817,1439
2020-06-11,894,1398
2020-06-12,905,1396
2020-06-13,963,1329
2020-06-14,945,1344
2020-06-15,894,1398
2020-06-16,946,1346
2020-06-17,980,1321
2020-06-18,1099,1194
2020-06-19,1022,1279
2020-06-20,988,1313
2020-06-21,1032,1269
2020-06-22,1044,1265
2020-06-23,1054,1247
2020-06-24,1033,1270
2020-06-25,954,1349
2020-06-26,946,1357
2020-06-27,960,1343
2020-06-28,950,1353
2020-06-29,944,1359
2020-06-30,1031,1272
2020-07-01,1112,1199
2020-07-02,1058,1253
2020-07-03,1037,1280
2020-07-04,956,1358
2020-07-05,985,1321
2020-07-06,1153,1153
2020-07-07,1131,1175
2020-07-08,1026,1280
2020-07-09,1081,1220
2020-07-10,918,1384
2020-07-11,1059,1243
2020-07-12,1016,1286
2020-07-13,1111,1197
2020-07-14,1105,1201
2020-07-15,1067,1242
2020-07-16,1003,1317
2020-07-17,1009,1316
2020-07-18,911,1414
2020-07-19,964,1354
2020-07-20,997,1321
2020-07-21,1055,1270
2020-07-22,980,1344
2020-07-23,939,1384
2020-07-24,951,1372
2020-07-25,1003,1317
2020-07-26,1001,1324
2020-07-27,971,1354
2020-07-28,989,1321
2020-07-29,1006,1319
2020-07-30,1003,1322
2020-07-31,1012,1322
2020-08-01,1007,1327
2020-08-02,920,1406
2020-08-03,1003,1331
2020-08-04,997,1339
2020-08-05,997,1330
2020-08-06,953,1374
2020-08-07,913,1414
2020-08-08,840,1487
2020-08-09,905,1422
2020-08-10,936,1391
2020-08-11,887,1439
2020-08-12,899,1428
2020-08-13,951,1371
2020-08-14,950,1377
2020-08-15,905,1422
2020-08-16,863,1464
2020-08-17,905,1422
2020-08-18,937,1390
2020-08-19,949,1370
2020-08-20,900,1415
2020-08-21,923,1400
2020-08-22,907,1416
2020-08-23,910,1408
2020-08-24,895,1423
2020-08-25,888,1430
2020-08-26,975,1343
2020-08-27,976,1338
2020-08-28,933,1385
2020-08-29,975,1343
2020-08-30,951,1371
2020-08-31,958,1357
2020-09-01,969,1340
2020-09-02,988,1332
2020-09-03,963,1352
2020-09-04,930,1378
2020-09-05,951,1364
2020-09-06,923,1391
2020-09-07,935,1381
2020-09-08,909,1408
2020-09-09,998,1319
2020-09-10,962,1347
2020-09-11,891,1431
2020-09-12,893,1429
2020-09-13,888,1434
2020-09-14,892,1430
2020-09-15,935,1377
2020-09-16,920,1385
2020-09-17,929,1383
2020-09-18,899,1413
2020-09-19,908,1401
2020-09-20,934,1378
2020-09-21,952,1360
2020-09-22,959,1353
2020-09-23,993,1314
2020-09-24,961,1343
2020-09-25,937,1363
2020-09-26,934,1366
2020-09-27,980,1344
2020-09-28,959,1367
2020-09-29,963,1350
2020-09-30,921,1392
2020-10-01,945,1368
2020-10-02,877,1436
2020-10-03,925,1384
2020-10-04,890,1423
2020-10-05,948,1355
2020-10-06,962,1341
2020-10-07,960,1343
2020-10-08,994,1309
2020-10-09,988,1320
2020-10-10,968,1354
2020-10-11,969,1353
2020-10-12,1018,1290
2020-10-13,1050,1272
2020-10-14,1022,1300
2020-10-15,969,1362
2020-10-16,980,1412
2020-10-17,952,1373
2020-10-18,979,1321
2020-10-19,986,1308
2020-10-20,1011,1292
2020-10-21,1000,1288
2020-10-22,1003,1298
2020-10-23,1077,1230
2020-10-24,1045,1277
2020-10-25,997,1338
2020-10-26,992,1343
2020-10-27,954,1381
2020-10-28,958,1399
2020-10-29,998,1359
2020-10-30,972,1385
2020-10-31,1065,1294
2020-11-01,1019,1340
2020-11-02,1021,1333
