date,Yavapai_cume,Yavapai
2020-12-01,1,
2020-12-06,2,1
2020-12-12,3,1
2020-12-16,6,3
2020-12-17,9,3
2020-12-19,12,3
2020-12-20,15,3
2020-12-21,18,3
2020-12-22,384,366
2020-12-23,824,440
2020-12-24,874,50
2020-12-25,890,16
2020-12-26,928,38
2020-12-27,942,14
2020-12-28,1018,76
2020-12-29,1322,304
2020-12-30,2072,750
2020-12-31,2214,142
2021-01-01,2243,29
2021-01-02,2363,120
2021-01-03,2368,5
2021-01-04,2411,43
2021-01-05,2483,72
2021-01-06,2572,89
2021-01-07,3234,662
2021-01-08,3973,739
2021-01-09,4158,185
2021-01-10,4167,9
2021-01-11,4245,78
2021-01-12,4466,221
2021-01-13,4931,465
2021-01-14,5257,326
2021-01-15,5368,111
2021-01-16,5666,298
2021-01-17,5697,31
2021-01-18,5901,204
2021-01-19,6641,740
2021-01-20,7584,943
2021-01-21,9009,1425
2021-01-22,10683,1674
2021-01-23,12099,1416
2021-01-24,13434,1335
2021-01-25,14287,853
2021-01-26,14784,497
2021-01-27,16536,1752
2021-01-28,18499,1963
2021-01-29,20273,1774
2021-01-30,21224,951
2021-01-31,22138,914
2021-02-01,24091,1953
2021-02-02,26304,2213
2021-02-03,28776,2472
2021-02-04,30699,1923
2021-02-05,32559,1860
2021-02-06,33813,1254
2021-02-07,34819,1006
2021-02-08,36358,1539
2021-02-09,37912,1554
2021-02-10,40024,2112
2021-02-11,41672,1648
2021-02-12,43226,1554
2021-02-13,44517,1291
2021-02-14,45519,1002
2021-02-15,46295,776
2021-02-16,47758,1463
2021-02-17,48719,961
2021-02-18,49306,587
2021-02-19,49877,571
2021-02-20,50162,285
2021-02-21,50378,216
2021-02-22,50676,298
2021-02-23,52105,1429
2021-02-24,55088,2983
2021-02-25,57888,2800
2021-02-26,61035,3147
2021-02-27,62211,1176
2021-02-28,63360,1149
2021-03-01,65923,2563
2021-03-02,68202,2279
2021-03-03,70878,2676
2021-03-04,72556,1678
2021-03-05,74553,1997
2021-03-06,76190,1637
2021-03-07,77768,1578
2021-03-08,80299,2531
2021-03-09,83130,2831
2021-03-10,86015,2885
2021-03-11,88032,2017
2021-03-12,89866,1834
2021-03-13,91620,1754
2021-03-14,93308,1688
2021-03-15,95349,2041
2021-03-16,97528,2179
2021-03-17,99352,1824
2021-03-18,100631,1279
2021-03-19,101891,1260
2021-03-20,102858,967
2021-03-21,103141,283
2021-03-22,104252,1111
2021-03-23,105364,1112
2021-03-24,106765,1401
2021-03-25,108197,1432
2021-03-26,109666,1469
2021-03-27,110532,866
2021-03-28,110742,210
2021-03-29,111765,1023
2021-03-30,112851,1086
2021-03-31,114006,1155
2021-04-01,115371,1365
2021-04-02,116709,1338
2021-04-03,117520,811
2021-04-04,117731,211
2021-04-05,119113,1382
2021-04-06,120727,1614
2021-04-07,122261,1534
2021-04-08,124075,1814
2021-04-09,125984,1909
2021-04-10,126791,807
2021-04-11,127460,669
2021-04-12,128722,1262
2021-04-13,129531,809
2021-04-14,131079,1548
2021-04-15,132779,1700
2021-04-16,134282,1503
2021-04-17,135946,1664
2021-04-18,136703,757
2021-04-19,138275,1572
2021-04-20,139148,873
2021-04-21,140437,1289
2021-04-22,141934,1497
2021-04-23,143396,1462
2021-04-24,144624,1228
2021-04-25,145125,501
2021-04-26,146302,1177
2021-04-27,147149,847
2021-04-28,148239,1090
2021-04-29,149083,844
2021-04-30,150063,980
2021-05-01,150663,600
2021-05-02,150880,217
2021-05-03,151612,732
2021-05-04,152496,884
2021-05-05,153136,640
2021-05-06,153735,599
2021-05-07,154338,603
2021-05-08,154798,460
2021-05-09,154957,159
2021-05-10,155555,598
2021-05-11,156075,520
2021-05-12,156780,705
2021-05-13,157331,551
2021-05-14,158061,730
2021-05-15,158523,462
2021-05-16,158705,182
2021-05-17,159136,431
2021-05-18,159637,501
2021-05-19,160214,577
2021-05-20,160887,673
2021-05-21,161397,510
2021-05-22,161669,272
2021-05-23,161854,185
2021-05-24,162243,389
2021-05-25,162627,384
2021-05-26,163040,413
2021-05-27,163406,366
2021-05-28,163836,430
2021-05-29,164031,195
2021-05-30,164174,143
2021-05-31,164273,99
2021-06-01,164674,401
2021-06-02,165073,399
2021-06-03,165492,419
2021-06-04,165932,440
2021-06-05,166136,204
2021-06-06,166276,140
2021-06-07,166566,290
2021-06-08,166903,337
2021-06-09,167224,321
2021-06-10,167531,307
2021-06-11,167884,353
2021-06-12,168097,213
2021-06-13,168215,118
2021-06-14,168464,249
2021-06-15,168759,295
2021-06-16,169058,299
2021-06-17,169306,248
2021-06-18,169634,328
2021-06-19,169769,135
2021-06-20,169846,77
2021-06-21,170026,180
2021-06-22,170272,246
2021-06-23,170545,273
2021-06-24,170754,209
2021-06-25,171026,272
2021-06-26,171146,120
2021-06-27,171227,81
2021-06-28,171422,195
2021-06-29,171610,188
2021-06-30,171871,261
2021-07-01,172104,233
2021-07-02,172364,260
2021-07-03,172490,126
2021-07-04,172505,15
2021-07-05,172654,149
2021-07-06,172850,196
2021-07-07,173091,241
2021-07-08,173278,187
2021-07-09,173506,228
2021-07-10,173636,130
2021-07-11,173695,59
2021-07-12,173847,152
2021-07-13,174009,162
2021-07-14,174179,170
2021-07-15,174357,178
2021-07-16,174659,302
2021-07-17,174826,167
2021-07-18,174926,100
2021-07-19,175158,232
2021-07-20,175405,247
2021-07-21,175726,321
2021-07-22,176009,283
2021-07-23,176312,303
2021-07-24,176557,245
2021-07-25,176703,146
2021-07-26,176970,267
2021-07-27,177270,300
2021-07-28,177561,291
2021-07-29,177810,249
2021-07-30,178285,475
2021-07-31,178509,224
2021-08-01,178647,138
2021-08-02,178910,263
2021-08-03,179194,284
2021-08-04,179485,291
2021-08-05,179791,306
2021-08-06,180198,407
2021-08-07,180469,271
2021-08-08,180624,155
2021-08-09,180932,308
2021-08-10,181180,248
2021-08-11,181443,263
2021-08-12,181816,373
2021-08-13,182317,501
2021-08-14,182639,322
2021-08-15,182818,179
2021-08-16,183187,369
2021-08-17,183573,386
2021-08-18,183961,388
2021-08-19,184336,375
2021-08-20,184831,495
2021-08-21,185086,255
2021-08-22,185243,157
2021-08-23,185559,316
2021-08-24,185891,332
2021-08-25,186307,416
2021-08-26,186659,352
2021-08-27,187155,496
2021-08-28,187396,241
2021-08-29,187571,175
2021-08-30,187886,315
2021-08-31,188178,292
2021-09-01,188526,348
2021-09-02,188768,242
2021-09-03,189204,436
2021-09-04,189435,231
2021-09-05,189577,142
2021-09-06,189636,59
2021-09-07,189924,288
2021-09-08,190231,307
2021-09-09,190474,243
2021-09-10,190961,487
2021-09-11,191153,192
2021-09-12,191303,150
2021-09-13,191557,254
2021-09-14,191803,246
2021-09-15,192000,197
2021-09-16,192242,242
2021-09-17,192600,358
2021-09-18,192772,172
2021-09-19,192869,97
2021-09-20,193037,168
2021-09-21,193247,210
2021-09-22,193508,261
2021-09-23,193749,241
2021-09-24,194127,378
2021-09-25,194337,210
2021-09-26,194419,82
2021-09-27,194672,253
2021-09-28,194881,209
2021-09-29,195138,257
2021-09-30,195396,258
2021-10-01,195702,306
2021-10-02,195837,135
2021-10-03,195891,54
2021-10-04,196099,208
2021-10-05,196315,216
2021-10-06,196543,228
2021-10-07,196701,158
2021-10-08,196960,259
2021-10-09,197078,118
2021-10-10,197149,71
2021-10-11,197348,199
2021-10-12,197486,138
2021-10-13,197684,198
2021-10-14,197907,223
2021-10-15,198151,244
2021-10-16,198254,103
2021-10-17,198339,85
2021-10-18,198524,185
2021-10-19,198705,181
2021-10-20,198911,206
2021-10-21,199107,196
2021-10-22,199885,778
2021-10-23,200334,449
2021-10-24,200630,296
2021-10-25,201625,995
2021-10-26,202602,977
2021-10-27,203668,1066
2021-10-28,204812,1144
2021-10-29,205877,1065
2021-10-30,206204,327
2021-10-31,206429,225
2021-11-01,207170,741
2021-11-02,207964,794
2021-11-03,208892,928
2021-11-04,209776,884
2021-11-05,210856,1080
2021-11-06,211319,463
2021-11-07,211642,323
2021-11-08,212623,981
2021-11-09,213096,473
