date,pcr_tests_GREENLEE,pcr_pos_test_GREENLEE,pcr_positivity_GREENLEE
2021-11-12 00:00:00,1,0,0
2021-11-11 00:00:00,9,0,0
2021-11-10 00:00:00,10,0,0
2021-11-09 00:00:00,11,4,0.3636363636363637
2021-11-08 00:00:00,3,2,0.6666666666666666
2021-11-07 00:00:00,3,0,0
2021-11-06 00:00:00,2,0,0
2021-11-05 00:00:00,5,1,0.2
2021-11-04 00:00:00,5,2,0.4
2021-11-03 00:00:00,13,2,0.1538461538461539
2021-11-02 00:00:00,5,0,0
2021-11-01 00:00:00,3,0,0
2021-10-31 00:00:00,3,0,0
2021-10-30 00:00:00,1,0,0
2021-10-29 00:00:00,3,1,0.3333333333333333
2021-10-28 00:00:00,5,1,0.2
2021-10-26 00:00:00,6,3,0.5
2021-10-25 00:00:00,5,0,0
2021-10-24 00:00:00,1,0,0
2021-10-22 00:00:00,3,0,0
2021-10-21 00:00:00,5,1,0.2
2021-10-20 00:00:00,8,0,0
2021-10-19 00:00:00,3,0,0
2021-10-18 00:00:00,6,0,0
2021-10-16 00:00:00,4,0,0
2021-10-15 00:00:00,9,1,0.1111111111111111
2021-10-14 00:00:00,10,1,0.1
2021-10-13 00:00:00,15,3,0.2
2021-10-12 00:00:00,12,2,0.1666666666666667
2021-10-11 00:00:00,5,0,0
2021-10-10 00:00:00,1,0,0
2021-10-09 00:00:00,4,0,0
2021-10-08 00:00:00,5,0,0
2021-10-07 00:00:00,6,0,0
2021-10-06 00:00:00,6,0,0
2021-10-05 00:00:00,6,1,0.1666666666666667
2021-10-04 00:00:00,5,0,0
2021-10-03 00:00:00,5,1,0.2
2021-10-02 00:00:00,3,0,0
2021-10-01 00:00:00,15,0,0
2021-09-30 00:00:00,7,0,0
2021-09-29 00:00:00,2,1,0.5
2021-09-28 00:00:00,7,3,0.4285714285714286
2021-09-27 00:00:00,9,4,0.4444444444444444
2021-09-26 00:00:00,2,0,0
2021-09-25 00:00:00,3,0,0
2021-09-24 00:00:00,6,2,0.3333333333333333
