date,Navajo_cume,Navajo
2020-12-02,1,
2020-12-04,2,1
2020-12-06,3,1
2020-12-07,4,1
2020-12-10,5,1
2020-12-14,6,1
2020-12-15,8,2
2020-12-16,34,26
2020-12-17,108,74
2020-12-18,176,68
2020-12-19,178,2
2020-12-20,180,2
2020-12-21,187,7
2020-12-22,265,78
2020-12-23,430,165
2020-12-24,537,107
2020-12-25,541,4
2020-12-26,542,1
2020-12-27,543,1
2020-12-28,885,342
2020-12-29,1262,377
2020-12-30,1631,369
2020-12-31,1978,347
2021-01-01,2071,93
2021-01-02,2073,2
2021-01-03,2077,4
2021-01-04,2326,249
2021-01-05,2745,419
2021-01-06,3233,488
2021-01-07,3932,699
2021-01-08,4324,392
2021-01-09,4335,11
2021-01-10,4337,2
2021-01-11,4737,400
2021-01-12,5186,449
2021-01-13,5519,333
2021-01-14,5940,421
2021-01-15,6406,466
2021-01-16,6423,17
2021-01-17,6432,9
2021-01-18,6611,179
2021-01-19,7064,453
2021-01-20,7587,523
2021-01-21,8279,692
2021-01-22,8734,455
2021-01-23,8968,234
2021-01-24,8990,22
2021-01-25,9567,577
2021-01-26,10126,559
2021-01-27,10873,747
2021-01-28,11962,1089
2021-01-29,12650,688
2021-01-30,12790,140
2021-01-31,12806,16
2021-02-01,13529,723
2021-02-02,14281,752
2021-02-03,15379,1098
2021-02-04,16289,910
2021-02-05,16962,673
2021-02-06,17693,731
2021-02-07,17708,15
2021-02-08,18460,752
2021-02-09,19334,874
2021-02-10,20182,848
2021-02-11,21235,1053
2021-02-12,22133,898
2021-02-13,22768,635
2021-02-14,22827,59
2021-02-15,23048,221
2021-02-16,23945,897
2021-02-17,24970,1025
2021-02-18,25775,805
2021-02-19,26320,545
2021-02-20,26454,134
2021-02-21,26496,42
2021-02-22,26912,416
2021-02-23,27565,653
2021-02-24,28174,609
2021-02-25,29115,941
2021-02-26,29892,777
2021-02-27,30317,425
2021-02-28,30352,35
2021-03-01,31011,659
2021-03-02,31615,604
2021-03-03,32412,797
2021-03-04,33151,739
2021-03-05,33642,491
2021-03-06,34329,687
2021-03-07,34370,41
2021-03-08,34835,465
2021-03-09,35376,541
2021-03-10,36399,1023
2021-03-11,37462,1063
2021-03-12,38183,721
2021-03-13,38797,614
2021-03-14,38867,70
2021-03-15,39464,597
2021-03-16,40072,608
2021-03-17,40831,759
2021-03-18,41783,952
2021-03-19,42287,504
2021-03-20,42440,153
2021-03-21,42503,63
2021-03-22,42974,471
2021-03-23,43711,737
2021-03-24,44501,790
2021-03-25,45362,861
2021-03-26,45952,590
2021-03-27,46107,155
2021-03-28,46167,60
2021-03-29,46639,472
2021-03-30,47071,432
2021-03-31,47875,804
2021-04-01,48340,465
2021-04-02,48727,387
2021-04-03,48926,199
2021-04-04,48961,35
2021-04-05,49313,352
2021-04-06,49754,441
2021-04-07,50179,425
2021-04-08,50869,690
2021-04-09,51261,392
2021-04-10,51456,195
2021-04-11,51527,71
2021-04-12,52068,541
2021-04-13,52448,380
2021-04-14,52922,474
2021-04-15,53451,529
2021-04-16,53830,379
2021-04-17,53923,93
2021-04-18,53974,51
2021-04-19,54374,400
2021-04-20,54691,317
2021-04-21,55048,357
2021-04-22,55394,346
2021-04-23,55695,301
2021-04-24,55844,149
2021-04-25,55877,33
2021-04-26,56139,262
2021-04-27,56428,289
2021-04-28,56738,310
2021-04-29,57109,371
2021-04-30,57341,232
2021-05-01,57419,78
2021-05-02,57436,17
2021-05-03,57605,169
2021-05-04,57871,266
2021-05-05,58057,186
2021-05-06,58385,328
2021-05-07,58545,160
2021-05-08,58603,58
2021-05-09,58620,17
2021-05-10,58805,185
2021-05-11,58988,183
2021-05-12,59186,198
2021-05-13,59518,332
2021-05-14,59990,472
2021-05-15,60059,69
2021-05-16,60109,50
2021-05-17,60418,309
2021-05-18,60749,331
2021-05-19,61158,409
2021-05-20,61508,350
2021-05-21,61772,264
2021-05-22,62053,281
2021-05-23,62102,49
2021-05-24,62319,217
2021-05-25,62587,268
2021-05-26,62795,208
2021-05-27,63015,220
2021-05-28,63160,145
2021-05-29,63194,34
2021-05-30,63216,22
2021-05-31,63247,31
2021-06-01,63467,220
2021-06-02,63603,136
2021-06-03,63835,232
2021-06-04,64155,320
2021-06-05,64190,35
2021-06-06,64229,39
2021-06-07,64443,214
2021-06-08,64620,177
2021-06-09,64978,358
2021-06-10,65223,245
