date,20-34_Santa Cruz,35-44_Santa Cruz,45-54_Santa Cruz,55-64_Santa Cruz,65+_Santa Cruz,<20_Santa Cruz
1/1/2021,110,96,57,65,56,1
1/10/2021,265,214,159,160,188,4
1/11/2021,281,235,185,177,204,4
1/12/2021,300,251,208,204,249,5
1/13/2021,309,260,214,213,417,5
1/14/2021,320,272,223,224,579,5
1/15/2021,336,285,234,233,745,6
1/16/2021,342,287,234,233,750,6
1/17/2021,343,288,234,235,754,6
1/18/2021,345,293,236,239,761,6
1/19/2021,350,302,238,244,804,6
1/2/2021,111,96,57,66,57,1
1/20/2021,370,317,259,264,1132,8
1/21/2021,386,338,277,281,1448,8
1/22/2021,417,369,315,308,1863,9
1/23/2021,423,374,316,310,1871,9
1/24/2021,423,376,316,312,1873,9
1/25/2021,439,386,332,331,1899,9
1/26/2021,463,403,347,353,2199,11
1/27/2021,483,423,362,377,2265,13
1/28/2021,507,449,403,451,2555,13
1/29/2021,562,512,495,526,2722,14
1/3/2021,113,98,57,67,58,1
1/30/2021,584,526,509,546,2732,14
1/31/2021,596,533,514,558,2742,14
1/4/2021,132,114,67,81,64,1
1/5/2021,159,124,85,93,74,1
1/6/2021,189,157,108,115,83,2
1/7/2021,213,176,125,130,168,3
1/8/2021,262,211,156,158,187,3
1/9/2021,265,212,158,159,188,3
10/1/2021,10225,6380,6419,6268,9649,6318
10/10/2021,10270,6409,6433,6287,9667,6391
10/11/2021,10273,6416,6439,6290,9671,6393
10/12/2021,10285,6417,6441,6291,9673,6426
10/13/2021,10290,6422,6445,6295,9674,6430
10/14/2021,10298,6431,6451,6300,9679,6441
10/15/2021,10317,6437,6458,6303,9682,6447
10/16/2021,10326,6438,6458,6303,9683,6454
10/17/2021,10331,6439,6458,6303,9683,6457
10/18/2021,10339,6445,6462,6306,9688,6461
10/19/2021,10360,6454,6469,6311,9693,6473
10/2/2021,10227,6381,6420,6270,9650,6320
10/20/2021,10364,6455,6472,6312,9694,6481
10/21/2021,10375,6457,6475,6314,9696,6486
