date,20-34_Apache,35-44_Apache,45-54_Apache,55-64_Apache,65+_Apache,<20_Apache
1/1/2021,154,143,183,216,246,3
1/10/2021,192,193,256,335,683,10
1/11/2021,196,200,266,351,787,11
1/12/2021,205,211,280,381,916,11
1/13/2021,208,223,304,412,1014,13
1/14/2021,225,246,324,467,1255,16
1/15/2021,233,250,341,495,1343,21
1/16/2021,233,250,342,498,1357,21
1/17/2021,233,250,343,498,1357,21
1/18/2021,240,257,355,508,1384,21
1/19/2021,250,266,368,534,1466,22
1/2/2021,154,145,184,216,247,3
1/20/2021,267,281,396,570,1546,61
1/21/2021,284,303,427,645,1674,112
1/22/2021,321,341,471,723,1784,126
1/23/2021,323,342,472,726,1802,128
1/24/2021,323,342,472,727,1804,128
1/25/2021,327,356,477,739,1865,128
1/26/2021,336,366,488,762,1952,134
1/27/2021,350,377,504,785,2037,149
1/28/2021,378,400,558,887,2158,156
1/29/2021,392,416,581,913,2195,163
1/3/2021,154,145,184,216,247,3
1/30/2021,394,416,581,914,2196,170
1/31/2021,394,417,581,933,2199,174
1/4/2021,157,147,189,220,269,3
1/5/2021,161,152,196,235,318,6
1/6/2021,171,167,210,263,491,10
1/7/2021,179,184,236,316,634,10
1/8/2021,192,193,256,334,676,10
1/9/2021,192,193,256,335,682,10
10/1/2021,2970,1984,2095,2845,4371,5385
10/10/2021,3038,2050,2175,2963,4570,5408
10/11/2021,3039,2055,2180,2967,4583,5409
10/12/2021,3054,2063,2186,2978,4613,5412
10/13/2021,3071,2077,2213,3014,4651,5415
10/14/2021,3079,2089,2228,3023,4673,5417
10/15/2021,3087,2100,2246,3032,4704,5419
10/16/2021,3094,2108,2248,3040,4721,5419
10/17/2021,3096,2111,2250,3042,4722,5419
10/18/2021,3100,2117,2263,3050,4750,5426
10/19/2021,3115,2127,2270,3062,4770,5428
10/2/2021,2976,1991,2101,2856,4385,5386
10/20/2021,3130,2143,2283,3081,4803,5430
10/21/2021,3135,2151,2299,3092,4812,5433
10/22/2021,3144,2159,2308,3102,4832,5440
10/23/2021,3149,2164,2319,3116,4854,5441
10/24/2021,3154,2171,2320,3118,4860,5442
10/25/2021,3163,2176,2333,3131,4878,5446
10/26/2021,3174,2180,2344,3147,4902,5451
10/27/2021,3182,2197,2354,3161,4915,5461
10/28/2021,3193,2206,2363,3183,4934,5465
10/29/2021,3205,2213,2372,3203,4954,5466
10/3/2021,2980,1995,2108,2864,4396,5386
10/30/2021,3208,2217,2376,3212,4959,5467
10/31/2021,3222,2220,2380,3216,4964,5467
10/4/2021,2988,2000,2111,2873,4420,5395
10/5/2021,3000,2012,2131,2896,4452,5396
10/6/2021,3005,2017,2143,2906,4478,5400
10/7/2021,3015,2027,2154,2925,4505,5402
10/8/2021,3024,2039,2167,2945,4548,5408
10/9/2021,3033,2044,2175,2962,4567,5408
11/1/2021,3234,2232,2392,3235,4993,5471
11/10/2021,3330,2297,2477,3364,5149,5987
11/11/2021,3346,2306,2491,3380,5157,6077
11/12/2021,3352,2314,2504,3385,5175,6290
11/13/2021,3367,2324,2512,3398,5198,6326
11/14/2021,3391,2330,2528,3407,5210,6373
11/15/2021,3397,2333,2541,3420,5225,6446
11/16/2021,3413,2347,2556,3436,5239,6554
11/17/2021,3421,2357,2567,3450,5255,6640
11/18/2021,3436,2369,2577,3457,5280,6708
