date,20-34_Yuma,35-44_Yuma,45-54_Yuma,55-64_Yuma,65+_Yuma,<20_Yuma
1/1/2021,930,872,648,483,238,6
1/10/2021,1272,1212,937,715,515,9
1/11/2021,1332,1300,1002,752,858,9
1/12/2021,1394,1369,1078,805,1182,10
1/13/2021,1479,1443,1154,867,1518,10
1/14/2021,1498,1462,1182,891,1606,10
1/15/2021,1527,1477,1202,920,1696,10
1/16/2021,1531,1478,1206,921,1701,10
1/17/2021,1533,1481,1207,922,1705,10
1/18/2021,1541,1488,1216,926,1723,10
1/19/2021,1584,1514,1247,955,1837,15
1/2/2021,932,873,648,485,239,6
1/20/2021,1598,1522,1256,967,1868,16
1/21/2021,1718,1709,1434,1067,2388,19
1/22/2021,1825,1804,1519,1147,3055,20
1/23/2021,1854,1843,1544,1178,3091,21
1/24/2021,1855,1845,1547,1181,3102,21
1/25/2021,1888,1919,1610,1232,3259,21
1/26/2021,2018,2060,1750,1369,3416,29
1/27/2021,2158,2213,1867,1466,3624,29
1/28/2021,2312,2363,2054,1685,4325,30
1/29/2021,2468,2492,2221,1827,5413,32
1/3/2021,934,873,648,485,239,6
1/30/2021,2506,2525,2258,1900,6274,32
1/31/2021,2507,2526,2258,1901,6291,32
1/4/2021,988,930,688,516,278,6
1/5/2021,1075,1025,754,562,313,6
1/6/2021,1188,1138,851,629,383,9
1/7/2021,1232,1179,908,668,414,9
1/8/2021,1265,1208,933,709,504,9
1/9/2021,1267,1209,937,713,509,9
10/1/2021,30681,17845,17829,19796,31988,15730
10/10/2021,31090,18020,17939,19865,32068,15927
10/11/2021,31139,18050,17957,19885,32077,15958
10/12/2021,31169,18074,17966,19890,32082,15985
10/13/2021,31204,18092,17978,19897,32088,16006
10/14/2021,31273,18114,18008,19913,32100,16034
10/15/2021,31336,18137,18028,19928,32109,16056
10/16/2021,31363,18149,18038,19940,32113,16069
10/17/2021,31377,18156,18042,19942,32113,16077
10/18/2021,31427,18190,18060,19957,32125,16126
10/19/2021,31463,18207,18072,19979,32140,16154
10/2/2021,30702,17853,17840,19802,31993,15754
10/20/2021,31490,18219,18084,19992,32148,16178
10/21/2021,31539,18244,18104,20009,32165,16190
10/22/2021,31635,18289,18128,20027,32195,16230
10/23/2021,31690,18310,18137,20042,32212,16245
10/24/2021,31706,18327,18149,20050,32219,16251
10/25/2021,31771,18355,18167,20063,32260,16280
10/26/2021,31825,18391,18181,20090,32303,16294
10/27/2021,31866,18416,18215,20107,32347,16313
10/28/2021,31923,18453,18242,20139,32387,16339
10/29/2021,32019,18486,18258,20161,32424,16359
10/3/2021,30709,17856,17845,19803,31995,15762
10/30/2021,32072,18502,18265,20167,32433,16373
10/31/2021,32081,18505,18270,20170,32436,16376
10/4/2021,30750,17875,17864,19812,32004,15785
10/5/2021,30901,17911,17882,19825,32019,15816
10/6/2021,30954,17949,17897,19835,32033,15852
10/7/2021,30993,17959,17911,19844,32039,15882
10/8/2021,31039,17991,17923,19854,32053,15907
10/9/2021,31075,18010,17930,19858,32062,15920
11/1/2021,32145,18533,18290,20191,32481,16444
11/10/2021,32604,18767,18480,20422,32830,19323
11/11/2021,32648,18785,18496,20442,32850,19485
11/12/2021,32717,18815,18519,20470,32896,19764
11/13/2021,32772,18845,18531,20485,32903,20343
11/14/2021,32794,18868,18544,20499,32912,20397
11/15/2021,32889,18922,18578,20523,32973,20751
11/16/2021,32940,18958,18610,20560,33032,20924
11/17/2021,33007,18997,18636,20593,33100,21173
11/18/2021,33110,19049,18676,20625,33161,21413
