date,20-34_Coconino,35-44_Coconino,45-54_Coconino,55-64_Coconino,65+_Coconino,<20_Coconino
1/1/2021,633,738,577,448,359,3
1/10/2021,1143,1158,952,801,722,13
1/11/2021,1214,1241,1031,853,790,14
1/12/2021,1320,1325,1106,936,991,15
1/13/2021,1380,1391,1189,1011,1253,16
1/14/2021,1480,1478,1282,1098,1525,16
1/15/2021,1595,1572,1363,1189,2274,16
1/16/2021,1606,1588,1378,1213,2377,16
1/17/2021,1612,1596,1386,1217,2384,16
1/18/2021,1680,1669,1441,1271,2448,17
1/19/2021,1769,1733,1507,1349,2707,18
1/2/2021,659,754,585,463,369,3
1/20/2021,2016,2009,1831,1638,2925,23
1/21/2021,2163,2124,1932,1736,3140,24
1/22/2021,2257,2202,2029,1848,3482,25
1/23/2021,2301,2236,2063,1884,3685,28
1/24/2021,2307,2239,2063,1885,3704,28
1/25/2021,2356,2290,2126,1985,4014,29
1/26/2021,2417,2345,2182,2062,4380,31
1/27/2021,2670,2489,2331,2222,4763,33
1/28/2021,2863,2614,2465,2383,5167,39
1/29/2021,2960,2698,2544,2492,5509,43
1/3/2021,659,755,585,464,371,3
1/30/2021,3021,2741,2573,2531,5627,50
1/31/2021,3031,2743,2574,2535,5653,50
1/4/2021,728,831,645,533,433,4
1/5/2021,813,905,698,597,503,8
1/6/2021,893,957,752,650,570,9
1/7/2021,1009,1044,839,717,670,9
1/8/2021,1129,1150,940,781,712,13
1/9/2021,1143,1157,950,798,720,13
10/1/2021,22464,11838,11049,12785,19240,8283
10/10/2021,22599,11890,11105,12816,19287,8353
10/11/2021,22608,11895,11111,12818,19293,8357
10/12/2021,22614,11899,11113,12818,19294,8366
10/13/2021,22631,11903,11123,12822,19307,8374
10/14/2021,22645,11905,11124,12833,19314,8382
10/15/2021,22660,11912,11134,12836,19321,8389
10/16/2021,22675,11912,11136,12841,19322,8394
10/17/2021,22694,11915,11139,12841,19323,8402
10/18/2021,22706,11924,11143,12846,19331,8406
10/19/2021,22725,11928,11145,12851,19335,8412
10/2/2021,22476,11839,11050,12785,19245,8288
