date,20-34,35-44,45-54,55-64,65+,<20
1/1/2021,20781,22999,21161,18484,13325,178
1/10/2021,34298,35259,33417,30341,30932,399
1/11/2021,36218,37081,35392,32042,35302,454
1/12/2021,38987,39769,38208,34596,43168,549
1/13/2021,41731,42702,41361,37354,52189,629
1/14/2021,44479,45760,44620,40408,61819,690
1/15/2021,47943,49020,48037,43571,71275,787
1/16/2021,49720,50593,49714,45194,76701,825
1/17/2021,50815,51610,50790,46283,80206,855
1/18/2021,52458,53130,52541,48030,88267,892
1/19/2021,54503,55001,54600,50232,98442,980
1/2/2021,22666,24710,22727,19906,14448,203
1/20/2021,57030,57565,57652,53451,110924,1090
1/21/2021,59831,60514,61150,57106,126892,1227
1/22/2021,64297,64679,65771,62038,142784,1363
1/23/2021,67551,67432,68844,65230,153399,1499
1/24/2021,69052,68817,70360,66918,161101,1550
1/25/2021,71409,70972,72954,69868,174838,1619
1/26/2021,74311,73483,75849,73102,192235,1712
1/27/2021,77428,76134,78822,76535,211278,1803
1/28/2021,80520,78791,81887,80288,232725,1930
1/29/2021,84374,81961,85293,84081,252852,2106
1/3/2021,23546,25454,23390,20454,14829,220
1/30/2021,87156,84090,87636,86540,264330,2269
1/31/2021,88065,84818,88501,87586,270394,2306
1/4/2021,25248,27111,25014,21977,16854,240
1/5/2021,27021,28784,26612,23569,19079,268
1/6/2021,29199,30721,28676,25634,22278,326
1/7/2021,30993,32376,30459,27451,25713,357
1/8/2021,32700,33970,32137,29134,28232,375
1/9/2021,33776,34816,32984,29931,30431,394
10/1/2021,817667,559068,576826,659045,1183486,367110
10/10/2021,827273,564137,580914,662354,1188418,371727
10/11/2021,828611,564905,581486,662861,1189240,372399
10/12/2021,829376,565274,581787,663097,1189644,372824
10/13/2021,830424,565838,582271,663485,1190291,373313
10/14/2021,831747,566491,582855,663980,1191045,373827
10/15/2021,833301,567244,583533,664503,1191664,374409
10/16/2021,834277,567667,583898,664808,1191935,375675
10/17/2021,834997,567963,584119,664967,1192106,375936
10/18/2021,836262,568679,584692,665468,1192832,376424
10/19/2021,837347,569298,585153,665940,1193486,376951
10/2/2021,818645,559557,577276,659393,1183882,367650
10/20/2021,838412,569855,585595,666376,1194130,377472
10/21/2021,839536,570466,586127,666826,1194756,377912
10/22/2021,840961,571306,586814,667444,1196049,378531
10/23/2021,841799,571773,587245,667842,1196833,378919
10/24/2021,842265,572056,587473,668094,1197345,379157
10/25/2021,843487,572733,588073,668710,1198993,379623
10/26/2021,844706,573452,588685,669304,1200579,380235
10/27/2021,845996,574187,589379,670000,1202169,380952
10/28/2021,847300,574897,589966,670680,1203704,381417
10/29/2021,848585,575684,590651,671379,1204985,381973
10/3/2021,819163,559799,577454,659544,1184093,367897
10/30/2021,849271,576056,590957,671715,1205514,382254
10/31/2021,849645,576263,591149,671886,1205878,382374
10/4/2021,820556,560468,578058,659974,1184954,368524
10/5/2021,822035,561194,578595,660439,1185856,369133
10/6/2021,823436,561968,579191,660882,1186558,369776
10/7/2021,824433,562573,579663,661314,1187132,370315
10/8/2021,825741,563305,580230,661783,1187748,371005
10/9/2021,826712,563836,580663,662141,1188123,371494
11/1/2021,850802,576891,591708,672485,1207207,382832
11/10/2021,861351,582588,596741,677617,1217263,416076
11/11/2021,862557,583212,597340,678224,1218541,421059
11/12/2021,863975,584033,598052,678901,1219737,426648
11/13/2021,864942,584646,598528,679409,1220351,434376
11/14/2021,865615,585049,598895,679744,1220809,436983
11/15/2021,867048,585877,599639,680522,1222210,441114
11/16/2021,868527,586707,600403,681304,1223741,445064
11/17/2021,869830,587466,601029,682094,1225306,449840
11/18/2021,871342,588241,601703,682893,1226772,453883
11/19/2021,873008,589233,602523,683752,1227998,458637
11/2/2021,852120,577586,592311,673086,1208534,383335
11/20/2021,874060,589919,603124,684312,1228568,465055
11/21/2021,874825,590309,603512,684732,1228962,466747
11/22/2021,876226,591100,604252,685723,1230193,469784
11/23/2021,877983,591953,605088,686708,1231451,473330
11/24/2021,879398,592813,605824,687565,1232507,477414
11/25/2021,879419,592820,605826,687569,1232527,477425
11/26/2021,880516,593469,606398,688282,1233214,479608
11/27/2021,881264,593946,606797,688767,1233687,481148
11/28/2021,881914,594331,607142,689190,1234071,482009
11/29/2021,883155,595110,607840,690060,1235302,484847
11/3/2021,853239,578164,592832,673612,1209590,384164
11/30/2021,884559,595942,608649,690996,1236603,488027
11/4/2021,854348,578752,593364,674177,1210837,386382
11/5/2021,855877,579549,594133,674888,1212083,389975
11/6/2021,856807,580078,594588,675317,1212807,395490
11/7/2021,857494,580470,594898,675610,1213250,398072
11/8/2021,858851,581234,595531,676355,1214671,403037
11/9/2021,860179,581942,596160,677041,1216127,407523
12/1/2020,61,52,62,39,56,1
12/1/2021,886132,596889,609461,692090,1238088,490837
12/10/2020,83,75,91,73,100,3
12/10/2021,897595,603363,615575,699827,1248337,512950
12/11/2020,85,79,95,79,102,3
12/11/2021,898395,603884,616037,700319,1248829,515113
12/12/2020,87,79,98,84,107,3
12/12/2021,898997,604263,616372,700633,1249232,516203
12/13/2020,89,80,101,87,110,3
12/13/2021,900222,604875,616917,701441,1250430,517993
12/14/2020,91,86,104,89,121,3
12/14/2021,901287,605405,617466,702091,1251420,519800
12/15/2020,110,104,124,114,134,3
12/15/2021,902549,606055,618102,702863,1252596,521664
12/16/2020,220,267,304,249,199,3
12/16/2021,903907,606734,618718,703723,1253882,523548
12/17/2020,840,1111,1139,928,482,7
12/17/2021,904421,607009,619009,704048,1254351,524827
12/18/2020,1676,2141,2003,1606,808,8
12/19/2020,2272,2863,2593,2035,1023,13
12/2/2020,64,56,65,45,65,2
12/2/2021,887486,597694,610236,693140,1239444,493093
12/20/2020,2485,3135,2863,2260,1132,15
12/21/2020,3822,4565,4134,3257,1642,22
12/22/2020,5615,6618,5951,4718,2326,29
12/23/2020,7822,9184,8244,6565,3270,42
12/24/2020,8764,10171,9057,7308,3640,45
12/25/2020,8801,10207,9086,7333,3659,45
12/26/2020,10271,11945,10526,8621,4235,57
12/27/2020,10881,12594,11144,9128,4496,65
12/28/2020,12961,14792,13164,10991,5774,84
12/29/2020,15745,17740,15900,13508,7998,120
12/3/2020,70,58,73,51,69,2
12/3/2021,888941,598530,611028,694104,1240674,496118
12/30/2020,18833,21051,19145,16503,10396,150
12/31/2020,20500,22727,20807,18094,11922,168
12/4/2020,70,61,75,54,72,2
12/4/2021,889830,599066,611499,694688,1241210,498681
12/5/2020,72,61,75,54,74,2
12/5/2021,890531,599470,611852,695070,1241639,499721
12/6/2020,73,61,76,55,75,2
12/6/2021,891865,600214,612586,696023,1242998,501533
12/7/2020,76,64,81,61,80,3
12/7/2021,893333,600989,613327,696988,1244295,503960
12/8/2020,78,66,83,66,86,3
12/8/2021,894820,601779,614092,697923,1245666,507180
12/9/2020,80,69,88,67,95,3
12/9/2021,896216,602584,614856,698975,1247243,510109
2/1/2021,90048,86622,90432,90065,287011,2403
2/10/2021,109667,102639,108776,113776,452250,4100
2/11/2021,112389,104893,111100,116922,475089,4428
2/12/2021,115672,107559,113961,120597,502469,4706
2/13/2021,119326,110384,116978,123917,521957,5070
2/14/2021,120255,111085,117891,125054,529384,5109
2/15/2021,121387,112078,118950,126483,543659,5171
2/16/2021,123265,113424,120453,128489,560504,5317
2/17/2021,125683,115296,122284,130753,577254,5913
2/18/2021,127164,116503,123541,132490,593424,6018
2/19/2021,129097,117989,125083,134396,605515,6411
2/2/2021,92140,88488,92515,92771,305455,2494
2/20/2021,131867,120011,127045,136579,615481,6727
2/21/2021,132553,120635,127720,137397,621431,6775
2/22/2021,133567,121434,128508,138446,629281,6862
2/23/2021,135262,122699,129963,140379,641228,7019
2/24/2021,137556,124541,131894,143027,658254,7225
2/25/2021,139674,126279,133718,145528,677404,7732
2/26/2021,142375,128431,135917,148699,695795,7977
2/27/2021,144408,130136,137646,151135,708144,8182
2/28/2021,145236,130763,138449,152694,716010,8237
2/3/2021,94604,90576,94874,95758,326523,2634
2/4/2021,97140,92627,97446,98948,346533,2785
2/5/2021,99843,94923,99999,102209,364289,2920
2/6/2021,102618,97018,102517,105288,380992,3552
2/7/2021,103290,97622,103148,106076,388956,3582
2/8/2021,105134,99093,104795,108292,406804,3718
2/9/2021,107027,100733,106598,110834,426957,3874
3/1/2021,146955,132194,140107,155410,728031,8452
3/10/2021,166331,146954,156483,236216,835824,10621
3/11/2021,169989,149861,159523,250941,850891,10909
3/12/2021,173748,152570,162654,264211,864044,11173
3/13/2021,176233,154572,164971,275140,871771,11378
3/14/2021,177991,156011,166527,283228,876981,11498
3/15/2021,180548,158105,169062,296044,886366,11716
3/16/2021,184410,161082,172548,308928,896735,12083
3/17/2021,189810,165193,177148,323774,909800,12508
3/18/2021,194854,169232,181984,337908,921856,12877
3/19/2021,201014,173812,187133,351267,932314,13382
3/2/2021,148879,133649,141686,158655,741179,8720
3/20/2021,205353,177273,191411,360595,939882,13732
3/21/2021,208570,180069,194602,367021,943844,14038
3/22/2021,213855,184428,199494,375750,951166,14578
3/23/2021,220842,189843,205321,385413,958627,15366
3/24/2021,231012,197690,213791,394921,966308,17200
3/25/2021,242735,206533,223382,404294,974102,19183
3/26/2021,253273,214509,232012,412663,980158,21222
3/27/2021,261809,221036,238900,417754,983345,23443
3/28/2021,268492,226023,244358,420480,985121,25337
3/29/2021,280038,234414,253685,424833,988462,27949
3/3/2021,150808,135165,143447,163826,756537,8996
3/30/2021,292574,243326,263549,430102,992659,30793
3/31/2021,306260,252836,274763,436334,997750,34099
3/4/2021,152850,136866,145260,173783,770985,9271
3/5/2021,155836,139012,147596,184958,783762,9601
3/6/2021,157718,140360,149063,193437,792674,9891
3/7/2021,158944,141310,150086,200144,798414,9970
3/8/2021,160749,142667,151605,211259,809717,10112
3/9/2021,163318,144746,153909,222955,822028,10322
4/1/2021,319376,261892,285847,442122,1003119,37136
4/10/2021,405041,317112,347908,484411,1038795,56936
4/11/2021,409707,319933,351018,486466,1040297,58530
4/12/2021,417529,324847,356777,490881,1044365,60187
4/13/2021,424193,328789,361216,494325,1047404,61729
4/14/2021,431650,333242,365897,497618,1050105,63364
4/15/2021,439701,338724,371051,501317,1053078,64873
4/16/2021,446686,343328,375838,504748,1055783,66364
4/17/2021,451367,346539,379494,507253,1057762,67804
4/18/2021,454072,348167,381310,508495,1058673,68739
4/19/2021,459182,351501,384822,511373,1061225,70034
4/2/2021,330310,269412,294562,447010,1007042,39926
4/20/2021,464087,354582,388225,513982,1063681,71251
4/21/2021,470400,358698,392381,517091,1066456,72662
4/22/2021,476435,362581,396309,520041,1069039,73912
4/23/2021,482411,366606,400284,523103,1071384,75432
4/24/2021,486151,368902,402814,525054,1072920,76896
4/25/2021,488570,370297,404317,526062,1073652,77865
4/26/2021,492968,373134,407304,528479,1075727,79202
4/27/2021,497626,376044,410490,531018,1078013,80313
4/28/2021,502560,378919,413676,533680,1080524,81509
4/29/2021,507224,381646,416540,536155,1082957,82522
4/3/2021,337571,274282,300239,450182,1009325,42042
4/30/2021,512345,384619,419882,538991,1085432,83737
4/4/2021,341304,276386,302679,451452,1010180,43082
4/5/2021,350667,282180,309389,456337,1014560,45250
4/6/2021,361226,288698,317135,462095,1020093,47613
4/7/2021,373562,297206,325978,468234,1025385,49951
4/8/2021,385146,304747,334184,474537,1031029,52126
4/9/2021,396829,311851,342251,480529,1035928,54653
5/1/2021,515323,386420,421926,540686,1086597,84668
5/10/2021,541791,401654,437680,554258,1098837,91453
5/11/2021,544788,403233,439353,555792,1100307,92263
5/12/2021,547861,404993,441152,557294,1101772,93697
5/13/2021,551213,406963,443108,558841,1103121,101389
5/14/2021,555164,409327,445434,560673,1104658,109504
5/15/2021,557860,411041,447174,562047,1105522,119247
5/16/2021,559760,412119,448256,562834,1106067,123757
5/17/2021,563316,414149,450436,564525,1107621,128691
5/18/2021,566733,416083,452364,566114,1109139,132810
5/19/2021,570352,418070,454455,567847,1110651,138278
5/2/2021,517348,387611,423138,541599,1087232,85303
5/20/2021,573573,419982,456290,569391,1112011,142476
5/21/2021,577187,422145,458445,571032,1113306,148641
5/22/2021,579978,423722,460117,572242,1114056,154743
5/23/2021,581615,424650,460987,572886,1114440,156891
5/24/2021,584401,426201,462504,574175,1115531,160056
5/25/2021,586983,427716,463989,575426,1116554,162816
5/26/2021,589804,429220,465427,576521,1117533,165915
5/27/2021,592330,430639,466795,577648,1118450,169000
5/28/2021,595092,432233,468402,578912,1119428,172438
5/29/2021,596837,433196,469429,579679,1119902,174421
5/3/2021,520494,389307,424987,543301,1088864,86030
5/30/2021,597918,433819,470026,580131,1120132,175443
5/31/2021,598437,434132,470317,580362,1120294,175898
5/4/2021,524384,391537,427275,545334,1090899,86868
5/5/2021,528190,393764,429553,547217,1092631,87748
5/6/2021,531941,395928,431712,549111,1094427,88653
5/7/2021,535510,398119,433940,551032,1096141,89672
5/8/2021,537853,399476,435455,552269,1097047,90452
5/9/2021,539268,400279,436302,552958,1097497,90896
6/1/2021,601020,435568,471717,581373,1121229,178558
6/10/2021,618337,445281,480880,588541,1127081,198275
6/11/2021,620668,446726,482190,589459,1127754,201570
6/12/2021,622059,447645,483079,589964,1128015,203482
6/13/2021,622675,447992,483455,590224,1128158,203895
6/14/2021,624369,448921,484321,590918,1128646,205787
6/15/2021,626033,449884,485117,591541,1129108,207649
6/16/2021,627889,450867,486004,592184,1129592,209634
6/17/2021,629580,451890,486846,592880,1130141,211465
6/18/2021,631724,453057,487924,593692,1130752,213375
6/19/2021,632841,453762,488545,594149,1131037,214542
6/2/2021,603222,436801,473008,582342,1122078,181363
6/20/2021,633506,454127,488845,594416,1131159,215073
6/21/2021,635157,454976,489690,595021,1131653,216744
6/22/2021,637180,455960,490465,595583,1132188,218330
6/23/2021,639353,457109,491303,596202,1132772,220120
6/24/2021,641641,458288,492113,596830,1133307,221751
6/25/2021,643603,459427,493128,597617,1133920,223526
6/26/2021,644826,460111,493803,598126,1134193,224496
6/27/2021,645584,460582,494210,598429,1134311,225205
6/28/2021,647197,461430,495050,599034,1134786,226859
6/29/2021,648836,462277,495815,599615,1135258,228407
6/3/2021,605459,438039,474163,583280,1122892,183940
6/30/2021,650848,463411,496639,600294,1135818,230108
6/4/2021,608021,439557,475583,584365,1123747,186690
6/5/2021,609746,440602,476557,585090,1124221,188911
6/6/2021,610713,441076,477062,585431,1124425,189929
6/7/2021,612580,442120,478023,586201,1125060,192005
6/8/2021,614526,443093,478935,587006,1125695,194071
6/9/2021,616427,444162,479832,587748,1126384,196248
7/1/2021,652912,464447,497450,600859,1136360,231676
7/10/2021,665187,471430,504034,605796,1139840,244334
7/11/2021,665948,471839,504390,606028,1139989,245108
7/12/2021,667423,472646,505155,606569,1140439,246916
7/13/2021,668870,473368,505810,607065,1140847,248590
7/14/2021,670484,474226,506581,607607,1141273,250258
7/15/2021,672145,475154,507300,608130,1141706,251911
7/16/2021,674023,476324,508356,608966,1142273,254054
7/17/2021,675230,477059,509094,609492,1142593,255249
7/18/2021,676121,477580,509540,609820,1142762,256097
7/19/2021,677833,478637,510498,610626,1143372,258297
7/2/2021,654747,465494,498399,601632,1136925,233408
7/20/2021,679568,479601,511530,611319,1144012,260450
7/21/2021,681500,480751,512563,612121,1144718,262777
7/22/2021,683421,481988,513659,613056,1145494,265036
7/23/2021,685742,483628,515211,614269,1146257,267605
7/24/2021,687502,484746,516384,615110,1146691,269139
7/25/2021,688945,485577,517075,615588,1146959,270391
7/26/2021,691324,486997,518311,616583,1147771,272908
7/27/2021,693689,488412,519560,617536,1148581,275632
7/28/2021,696196,489821,520820,618490,1149386,278450
7/29/2021,698622,491213,522008,619343,1150170,281330
7/3/2021,655894,466187,499047,602134,1137206,234401
7/30/2021,701691,493260,523781,620524,1151070,285037
7/31/2021,704146,494687,525018,621331,1151498,287254
7/4/2021,656122,466309,499165,602216,1137259,234550
7/5/2021,657523,467021,499888,602776,1137595,235778
7/6/2021,658915,467736,500603,603326,1138073,237306
7/7/2021,660488,468597,501327,603938,1138554,238974
7/8/2021,662031,469461,502095,604529,1139044,240476
7/9/2021,663890,470611,503225,605287,1139547,242594
8/1/2021,705709,495592,525782,621861,1151801,288525
8/10/2021,729543,509881,537523,630365,1158277,308432
8/11/2021,732058,511364,538624,631206,1158941,310504
8/12/2021,734840,512914,539929,632110,1159735,312550
8/13/2021,738380,515051,541624,633256,1160564,315559
8/14/2021,740374,516389,542687,633940,1161003,317754
8/15/2021,741631,517095,543280,634294,1161212,318632
8/16/2021,744151,518583,544421,635150,1161939,320364
8/17/2021,746620,519969,545488,635951,1162611,322040
8/18/2021,749033,521281,546556,636701,1163307,323685
8/19/2021,750996,522518,547541,637404,1163898,325128
8/2/2021,708421,497276,527111,622920,1152629,291159
8/20/2021,753310,524003,548710,638267,1164496,327237
8/21/2021,754812,524958,549571,638767,1164785,328866
8/22/2021,755857,525577,550010,639073,1164983,329660
8/23/2021,758126,526865,551080,639883,1165621,331071
8/24/2021,760493,528141,552122,640638,1166215,332437
8/25/2021,762722,529368,553138,641407,1166829,333838
8/26/2021,764987,530625,554143,642145,1167411,335120
8/27/2021,767458,532024,555321,642966,1168080,337020
8/28/2021,768857,532926,556089,643454,1168388,338392
8/29/2021,769801,533451,556522,643702,1168576,338928
8/3/2021,711027,498797,528389,623881,1153479,293434
8/30/2021,771657,534552,557346,644347,1169047,339988
8/31/2021,773305,535475,558046,644888,1169524,340879
8/4/2021,713784,500447,529753,624871,1154327,295736
8/5/2021,716647,502142,531170,625898,1155140,297756
8/6/2021,720169,504387,533075,627165,1156034,300860
8/7/2021,722448,505773,534259,627970,1156492,303351
8/8/2021,723899,506635,534975,628451,1156751,304496
8/9/2021,726699,508247,536283,629428,1157576,306608
9/1/2021,775109,536518,558869,645526,1170037,342080
