date,20-34_Navajo,35-44_Navajo,45-54_Navajo,55-64_Navajo,65+_Navajo,<20_Navajo
1/1/2021,225,279,299,351,930,6
1/10/2021,371,474,507,606,2237,31
1/11/2021,410,522,575,659,2478,34
1/12/2021,437,549,639,730,2728,35
1/13/2021,456,573,666,804,2925,36
1/14/2021,489,621,706,892,3148,44
1/15/2021,524,669,766,978,3416,45
1/16/2021,528,670,767,980,3424,45
1/17/2021,530,671,767,981,3426,45
1/18/2021,543,682,795,1009,3449,45
1/19/2021,574,709,838,1090,3605,46
1/2/2021,225,280,299,351,931,6
1/20/2021,602,753,899,1196,3766,52
1/21/2021,704,842,1015,1368,3980,67
1/22/2021,776,899,1069,1475,4110,80
1/23/2021,781,902,1072,1480,4235,114
1/24/2021,782,903,1072,1481,4247,116
1/25/2021,795,917,1099,1531,4364,117
1/26/2021,830,938,1130,1586,4506,119
1/27/2021,859,966,1172,1636,4678,132
1/28/2021,1011,1058,1287,1772,4899,182
1/29/2021,1094,1105,1363,1879,5141,238
1/3/2021,225,280,299,352,933,6
1/30/2021,1105,1125,1413,1908,5162,238
1/31/2021,1105,1126,1416,1909,5171,238
1/4/2021,241,300,318,385,1069,6
1/5/2021,283,335,358,422,1301,6
1/6/2021,294,359,379,453,1650,25
1/7/2021,333,428,468,552,2027,30
1/8/2021,370,473,506,601,2234,31
1/9/2021,371,474,506,606,2237,31
10/1/2021,5922,4515,4997,7221,14861,6385
10/10/2021,5963,4552,5023,7244,14898,6427
10/11/2021,5973,4559,5024,7252,14910,6440
10/12/2021,5982,4561,5027,7256,14915,6445
10/13/2021,5993,4563,5032,7260,14924,6458
10/14/2021,6006,4568,5036,7266,14934,6463
10/15/2021,6014,4576,5039,7273,14942,6473
10/16/2021,6018,4576,5040,7277,14944,6474
10/17/2021,6019,4576,5041,7277,14944,6474
10/18/2021,6029,4580,5042,7283,14954,6478
10/19/2021,6040,4586,5045,7293,14965,6486
10/2/2021,5924,4517,4999,7226,14869,6385
10/20/2021,6046,4588,5047,7300,14983,6497
10/21/2021,6052,4596,5050,7303,14996,6503
10/22/2021,6073,4606,5060,7308,15009,6513
10/23/2021,6075,4608,5061,7308,15014,6516
10/24/2021,6076,4609,5061,7310,15019,6518
10/25/2021,6085,4613,5066,7319,15038,6521
10/26/2021,6091,4620,5075,7323,15061,6528
10/27/2021,6103,4625,5081,7334,15077,6541
10/28/2021,6123,4642,5099,7355,15107,6547
10/29/2021,6138,4653,5107,7370,15126,6562
10/3/2021,5925,4517,4999,7226,14869,6385
10/30/2021,6143,4656,5109,7373,15130,6565
10/31/2021,6146,4656,5109,7373,15132,6565
10/4/2021,5932,4522,5001,7230,14875,6394
10/5/2021,5939,4526,5004,7234,14882,6402
10/6/2021,5945,4534,5010,7235,14889,6407
10/7/2021,5950,4538,5014,7239,14895,6416
10/8/2021,5957,4548,5022,7242,14898,6427
10/9/2021,5961,4550,5023,7244,14898,6427
11/1/2021,6154,4660,5116,7378,15141,6566
11/10/2021,6208,4696,5167,7433,15255,7504
11/11/2021,6215,4703,5169,7441,15264,7529
11/12/2021,6223,4707,5177,7446,15272,7675
11/13/2021,6228,4709,5178,7453,15277,7686
11/14/2021,6232,4710,5179,7457,15280,7691
11/15/2021,6251,4720,5188,7470,15298,7745
11/16/2021,6263,4723,5192,7476,15315,7780
11/17/2021,6283,4735,5208,7488,15322,7886
11/18/2021,6290,4737,5210,7491,15335,7906
11/19/2021,6305,4745,5224,7505,15345,7999
11/2/2021,6163,4666,5121,7385,15157,6569
11/20/2021,6316,4749,5228,7512,15353,8061
11/21/2021,6316,4749,5231,7514,15359,8063
11/22/2021,6326,4761,5244,7519,15369,8126
11/23/2021,6340,4766,5247,7525,15376,8150
11/24/2021,6347,4771,5252,7532,15382,8173
11/25/2021,6347,4771,5252,7532,15382,8173
11/26/2021,6354,4780,5258,7533,15388,8199
11/27/2021,6359,4780,5260,7536,15389,8209
11/28/2021,6364,4782,5260,7539,15392,8215
11/29/2021,6380,4791,5275,7549,15413,8246
11/3/2021,6168,4670,5129,7395,15174,6577
11/30/2021,6396,4808,5297,7558,15424,8288
11/4/2021,6176,4672,5134,7404,15190,6599
11/5/2021,6181,4674,5145,7409,15203,6659
11/6/2021,6185,4679,5154,7414,15223,6724
11/7/2021,6185,4684,5156,7415,15228,6737
11/8/2021,6193,4687,5162,7422,15239,6850
11/9/2021,6199,4692,5165,7428,15249,6946
12/1/2021,6400,4814,5301,7566,15432,8360
12/10/2020,1,,1,2,1,1
12/10/2021,6492,4858,5354,7632,15506,8568
12/11/2020,1,,1,2,1,1
12/11/2021,6498,4863,5356,7640,15511,8600
12/12/2020,1,,1,2,1,1
12/12/2021,6502,4863,5359,7640,15516,8609
12/13/2020,1,,1,2,1,1
12/13/2021,6522,4879,5369,7645,15529,8628
12/14/2020,1,,1,3,1,1
12/14/2021,6533,4889,5379,7658,15540,8687
12/15/2020,2,1,3,3,1,1
12/15/2021,6538,4891,5385,7663,15549,8715
12/16/2020,9,5,12,9,2,1
12/16/2021,6546,4894,5392,7671,15555,8725
12/17/2020,16,24,35,27,9,1
12/17/2021,6552,4899,5398,7677,15559,8738
12/18/2020,26,41,50,41,24,1
12/18/2021,6555,4902,5402,7681,15565,8748
12/19/2020,27,41,50,42,24,1
12/19/2021,6557,4903,5404,7682,15568,8748
12/2/2020,,,,,,1
12/2/2021,6408,4820,5310,7576,15440,8378
12/20/2020,27,41,50,44,24,1
12/21/2020,28,41,50,46,28,2
12/22/2020,31,52,67,56,66,2
12/23/2020,61,82,92,88,115,2
12/24/2020,74,100,106,104,161,2
12/25/2020,76,101,107,104,161,2
12/26/2020,76,101,108,105,161,2
12/27/2020,77,101,108,105,161,2
12/28/2020,114,153,166,181,279,2
12/29/2020,135,198,222,243,469,3
12/3/2020,,,,,,1
12/3/2021,6424,4827,5314,7589,15450,8448
12/30/2020,176,239,265,296,660,4
12/31/2020,221,276,299,347,848,6
12/4/2020,,,,1,,1
12/4/2021,6441,4832,5323,7597,15474,8489
12/5/2020,,,,1,,1
12/5/2021,6444,4836,5326,7598,15476,8492
12/6/2020,,,1,1,,1
12/6/2021,6454,4841,5332,7606,15482,8504
12/7/2020,1,,1,1,,1
12/7/2021,6462,4844,5336,7611,15483,8517
12/8/2020,1,,1,1,,1
12/8/2021,6469,4849,5344,7619,15488,8532
12/9/2020,1,,1,1,,1
12/9/2021,6478,4853,5348,7625,15498,8550
2/1/2021,1133,1158,1455,2001,5439,251
2/10/2021,1369,1422,1871,2680,7162,447
2/11/2021,1491,1507,1947,2782,7425,486
2/12/2021,1555,1558,1994,2857,7678,501
2/13/2021,1763,1662,2087,2935,7786,533
2/14/2021,1766,1663,2089,2942,7816,535
2/15/2021,1773,1669,2095,2957,7906,536
2/16/2021,1801,1692,2127,2993,8191,558
2/17/2021,1851,1735,2177,3041,8433,641
2/18/2021,1888,1763,2212,3099,8639,660
2/19/2021,1938,1793,2247,3148,8723,675
2/2/2021,1151,1177,1485,2035,5682,258
2/20/2021,1972,1810,2261,3163,8744,695
2/21/2021,1977,1811,2263,3164,8756,698
2/22/2021,2032,1851,2303,3200,8813,709
2/23/2021,2103,1892,2336,3267,8941,743
2/24/2021,2141,1913,2356,3312,9068,752
2/25/2021,2187,1963,2406,3388,9358,882
2/26/2021,2248,2004,2455,3421,9479,964
2/27/2021,2263,2014,2463,3437,9519,966
2/28/2021,2266,2014,2467,3441,9525,968
2/3/2021,1176,1206,1521,2103,5995,261
2/4/2021,1195,1235,1568,2159,6215,281
2/5/2021,1210,1253,1600,2286,6377,288
2/6/2021,1268,1318,1751,2537,6490,388
2/7/2021,1268,1318,1752,2537,6498,389
2/8/2021,1297,1360,1792,2564,6695,402
2/9/2021,1307,1383,1820,2615,6905,413
3/1/2021,2307,2036,2491,3469,9619,977
3/10/2021,2559,2194,2706,3979,10586,1133
3/11/2021,2593,2228,2726,4099,10783,1140
3/12/2021,2623,2239,2743,4173,10886,1144
3/13/2021,2633,2242,2751,4193,10919,1147
3/14/2021,2633,2243,2752,4201,10934,1148
