date,20-34,35-44,45-54,55-64,65+,<20,20-34_Apache,35-44_Apache,45-54_Apache,55-64_Apache,65+_Apache,<20_Apache,20-34_Coconino,35-44_Coconino,45-54_Coconino,55-64_Coconino,65+_Coconino,<20_Coconino,20-34_Cochise,35-44_Cochise,45-54_Cochise,55-64_Cochise,65+_Cochise,<20_Cochise,20-34_Graham,35-44_Graham,45-54_Graham,55-64_Graham,65+_Graham,<20_Graham,20-34_Greenlee,35-44_Greenlee,45-54_Greenlee,55-64_Greenlee,65+_Greenlee,<20_Greenlee,20-34_Gila,35-44_Gila,45-54_Gila,55-64_Gila,65+_Gila,<20_Gila,20-34_La Paz,35-44_La Paz,45-54_La Paz,55-64_La Paz,65+_La Paz,<20_La Paz,20-34_Maricopa,35-44_Maricopa,45-54_Maricopa,55-64_Maricopa,65+_Maricopa,<20_Maricopa,20-34_Mohave,35-44_Mohave,45-54_Mohave,55-64_Mohave,65+_Mohave,<20_Mohave,20-34_Navajo,35-44_Navajo,45-54_Navajo,55-64_Navajo,65+_Navajo,<20_Navajo,20-34_Pinal,35-44_Pinal,45-54_Pinal,55-64_Pinal,65+_Pinal,<20_Pinal,20-34_Pima,35-44_Pima,45-54_Pima,55-64_Pima,65+_Pima,<20_Pima,20-34_Yavapai,35-44_Yavapai,45-54_Yavapai,55-64_Yavapai,65+_Yavapai,<20_Yavapai,20-34_Santa Cruz,35-44_Santa Cruz,45-54_Santa Cruz,55-64_Santa Cruz,65+_Santa Cruz,<20_Santa Cruz,20-34_Yuma,35-44_Yuma,45-54_Yuma,55-64_Yuma,65+_Yuma,<20_Yuma
1/1/2021,20753,23010,21192,18506,13390,178,166.0,154.0,194.0,242.0,281.0,3.0,632.0,737.0,580.0,449.0,361.0,3.0,333.0,322.0,274.0,286.0,209.0,2.0,176.0,181.0,163.0,193.0,245.0,5.0,15.0,18.0,26.0,21.0,36.0,,160.0,151.0,164.0,208.0,205.0,4.0,11.0,6.0,21.0,15.0,16.0,,11610,13054,12236,9858,6085,100,292.0,381.0,440.0,498.0,362.0,7.0,225.0,280.0,298.0,352.0,930.0,6.0,627.0,989.0,951.0,757.0,543.0,6.0,4299.0,4500.0,3797.0,3575.0,2440.0,25.0,311.0,411.0,433.0,646.0,437,6.0,109.0,97.0,58.0,69.0,60.0,2.0,928.0,865.0,654.0,486.0,244.0,5.0
1/10/2021,34251,35272,33445,30379,31039,397,233.0,233.0,313.0,420.0,878.0,10.0,1142.0,1157.0,954.0,802.0,725.0,13.0,451.0,460.0,386.0,396.0,646.0,4.0,271.0,299.0,302.0,316.0,530.0,6.0,22.0,23.0,38.0,34.0,88.0,1.0,306.0,339.0,412.0,527.0,1033.0,14.0,28.0,20.0,42.0,38.0,32.0,,19765,20080,19096,16038,11890,198,441.0,549.0,649.0,747.0,835.0,11.0,371.0,474.0,507.0,606.0,2239.0,31.0,1163.0,1721.0,1746.0,1485.0,2306.0,14.0,6560.0,6494.0,5678.0,5520.0,5082.0,54.0,565.0,698.0,798.0,1119.0,972,10.0,264.0,214.0,162.0,163.0,194.0,5.0,1269.0,1205.0,945.0,719.0,522.0,8.0
1/11/2021,36170,37087,35428,32076,35419,452,245.0,247.0,328.0,445.0,1391.0,11.0,1213.0,1240.0,1033.0,854.0,793.0,14.0,463.0,475.0,409.0,414.0,844.0,4.0,278.0,311.0,310.0,330.0,577.0,6.0,22.0,23.0,38.0,34.0,88.0,1.0,320.0,356.0,430.0,558.0,1111.0,14.0,28.0,20.0,42.0,39.0,35.0,,20996,21186,20324,17014,13728,230,458.0,563.0,680.0,785.0,934.0,11.0,410.0,522.0,575.0,658.0,2481.0,34.0,1211.0,1802.0,1833.0,1552.0,2486.0,19.0,6871.0,6773.0,5948.0,5802.0,5481.0,64.0,574.0,706.0,807.0,1135.0,1000,11.0,280.0,235.0,187.0,181.0,210.0,5.0,1329.0,1293.0,1010.0,756.0,865.0,8.0
1/12/2021,38933,39777,38245,34630,43296,547,256.0,262.0,350.0,482.0,1666.0,11.0,1319.0,1324.0,1108.0,937.0,994.0,15.0,469.0,483.0,417.0,424.0,1060.0,5.0,287.0,318.0,324.0,358.0,643.0,9.0,25.0,29.0,43.0,40.0,105.0,1.0,328.0,360.0,439.0,573.0,1146.0,14.0,28.0,20.0,44.0,40.0,41.0,,22966,23159,22339,18698,18545,309,478.0,586.0,709.0,833.0,1097.0,11.0,437.0,549.0,639.0,727.0,2733.0,35.0,1299.0,1918.0,1956.0,1651.0,2768.0,19.0,7198.0,7036.0,6212.0,6064.0,6015.0,72.0,593.0,730.0,837.0,1181.0,1091,11.0,300.0,250.0,210.0,209.0,255.0,5.0,1389.0,1363.0,1086.0,810.0,1189.0,9.0
1/13/2021,41674,42711,41394,37392,52325,626,267.0,286.0,388.0,533.0,1862.0,13.0,1379.0,1390.0,1191.0,1012.0,1256.0,16.0,488.0,517.0,440.0,451.0,1376.0,5.0,298.0,327.0,336.0,375.0,741.0,9.0,28.0,35.0,44.0,43.0,133.0,1.0,333.0,366.0,449.0,580.0,1183.0,14.0,56.0,48.0,81.0,83.0,65.0,,24965,25281,24557,20373,24098,371,496.0,617.0,748.0,881.0,1266.0,12.0,455.0,574.0,666.0,800.0,2932.0,36.0,1409.0,2055.0,2105.0,1828.0,3176.0,22.0,7416.0,7272.0,6456.0,6315.0,6477.0,79.0,637.0,778.0,924.0,1275.0,1281,12.0,309.0,259.0,217.0,220.0,424.0,5.0,1474.0,1436.0,1162.0,873.0,1525.0,9.0
1/14/2021,44417,45769,44652,40448,61969,686,306.0,322.0,416.0,604.0,2214.0,16.0,1478.0,1478.0,1283.0,1100.0,1528.0,16.0,493.0,525.0,453.0,463.0,1626.0,5.0,313.0,359.0,362.0,422.0,866.0,10.0,36.0,42.0,58.0,67.0,143.0,1.0,343.0,381.0,468.0,611.0,1329.0,14.0,57.0,48.0,81.0,84.0,70.0,1.0,26893,27403,26830,22283,30126,407,530.0,646.0,797.0,949.0,1468.0,13.0,488.0,622.0,706.0,887.0,3156.0,44.0,1508.0,2236.0,2265.0,1977.0,3700.0,23.0,7717.0,7580.0,6776.0,6612.0,6914.0,84.0,670.0,823.0,979.0,1347.0,1397,14.0,320.0,272.0,226.0,232.0,586.0,5.0,1492.0,1457.0,1190.0,897.0,1613.0,9.0
1/15/2021,47875,49027,48075,43607,71436,782,326.0,342.0,449.0,646.0,2398.0,21.0,1592.0,1573.0,1364.0,1191.0,2277.0,16.0,498.0,532.0,463.0,474.0,2052.0,5.0,422.0,474.0,470.0,548.0,997.0,26.0,39.0,43.0,62.0,69.0,148.0,1.0,399.0,426.0,511.0,665.0,1365.0,20.0,59.0,48.0,81.0,84.0,73.0,1.0,29083,29412,28954,24075,35031,463,555.0,690.0,834.0,1017.0,1702.0,14.0,523.0,670.0,766.0,973.0,3424.0,45.0,1628.0,2393.0,2445.0,2112.0,4081.0,24.0,8327.0,8158.0,7359.0,7172.0,8250.0,92.0,685.0,834.0,991.0,1367.0,1446,14.0,337.0,285.0,237.0,241.0,752.0,5.0,1521.0,1473.0,1211.0,926.0,1703.0,9.0
1/16/2021,49649,50597,49755,45228,76871,819,326.0,342.0,450.0,649.0,2412.0,21.0,1603.0,1589.0,1379.0,1214.0,2381.0,16.0,513.0,538.0,471.0,486.0,2409.0,5.0,425.0,474.0,471.0,548.0,1052.0,26.0,39.0,43.0,62.0,69.0,149.0,1.0,399.0,427.0,512.0,666.0,1367.0,20.0,59.0,49.0,81.0,85.0,74.0,1.0,30442,30599,30226,25250,38215,491,566.0,707.0,850.0,1056.0,1970.0,15.0,527.0,671.0,767.0,975.0,3432.0,45.0,1686.0,2482.0,2546.0,2204.0,4698.0,27.0,8566.0,8354.0,7541.0,7339.0,8534.0,94.0,706.0,866.0,1035.0,1413.0,1593,16.0,343.0,287.0,237.0,241.0,757.0,5.0,1525.0,1474.0,1215.0,927.0,1708.0,9.0
1/17/2021,50744,51612,50833,46316,80381,849,326.0,342.0,451.0,649.0,2412.0,21.0,1609.0,1597.0,1387.0,1218.0,2388.0,16.0,516.0,539.0,474.0,488.0,2423.0,5.0,426.0,474.0,471.0,548.0,1054.0,26.0,39.0,43.0,62.0,69.0,149.0,1.0,399.0,427.0,512.0,666.0,1370.0,20.0,59.0,49.0,81.0,85.0,76.0,1.0,31401,31495,31187,26216,41358,515,567.0,710.0,850.0,1058.0,1995.0,15.0,529.0,672.0,767.0,976.0,3434.0,45.0,1705.0,2512.0,2590.0,2240.0,4753.0,27.0,8648.0,8413.0,7587.0,7396.0,8672.0,98.0,708.0,868.0,1039.0,1418.0,1609,17.0,344.0,288.0,237.0,243.0,761.0,5.0,1527.0,1477.0,1216.0,928.0,1712.0,9.0
1/18/2021,52387,53130,52581,48067,88444,885,333.0,349.0,463.0,659.0,2439.0,21.0,1677.0,1670.0,1442.0,1272.0,2452.0,17.0,519.0,544.0,481.0,497.0,2600.0,5.0,438.0,479.0,484.0,560.0,1132.0,26.0,42.0,44.0,63.0,73.0,156.0,1.0,402.0,435.0,516.0,691.0,1437.0,20.0,60.0,50.0,81.0,88.0,83.0,1.0,32442,32428,32335,27343,46545,543,585.0,729.0,877.0,1093.0,2231.0,15.0,542.0,683.0,795.0,1004.0,3457.0,45.0,1769.0,2625.0,2663.0,2332.0,4975.0,28.0,8991.0,8717.0,7911.0,7685.0,10249.0,103.0,715.0,871.0,1052.0,1438.0,1759,18.0,346.0,293.0,239.0,247.0,768.0,5.0,1535.0,1484.0,1226.0,932.0,1730.0,9.0
