date,20-34_Pinal,35-44_Pinal,45-54_Pinal,55-64_Pinal,65+_Pinal,<20_Pinal
1/1/2021,625,985,955,758,543,6
1/1/2022,41433,33192,34376,39595,80851,25878
1/10/2021,1166,1717,1760,1490,2312,14
1/11/2021,1214,1798,1847,1557,2492,19
1/12/2021,1301,1914,1971,1656,2774,19
1/13/2021,1413,2052,2120,1833,3183,21
1/14/2021,1512,2234,2280,1983,3707,22
1/15/2021,1632,2391,2460,2118,4087,23
1/16/2021,1690,2480,2561,2210,4705,26
1/17/2021,1709,2509,2606,2246,4760,26
1/18/2021,1776,2621,2685,2344,4983,27
1/19/2021,1848,2696,2768,2430,5490,30
1/2/2021,706,1103,1084,864,624,7
1/2/2022,41438,33196,34383,39601,80864,25894
1/20/2021,1924,2822,2876,2554,6264,35
1/21/2021,2017,2954,3047,2723,7014,39
1/22/2021,2165,3122,3231,2915,7775,42
1/23/2021,2246,3290,3393,3072,8369,45
1/24/2021,2282,3323,3454,3103,8530,47
1/25/2021,2361,3396,3544,3230,9130,49
1/26/2021,2434,3479,3642,3347,9704,50
1/27/2021,2546,3606,3801,3537,10432,51
1/28/2021,2624,3719,3921,3688,11451,51
1/29/2021,2737,3842,4061,3872,12461,59
1/3/2021,734,1148,1130,888,647,7
1/30/2021,2808,3931,4197,4029,13250,62
1/31/2021,2844,3953,4229,4058,13404,64
1/4/2021,797,1247,1223,977,877,8
1/5/2021,891,1359,1313,1073,1112,9
1/6/2021,1007,1485,1452,1200,1380,11
1/7/2021,1070,1573,1564,1307,1717,13
1/8/2021,1124,1657,1699,1442,2154,14
1/9/2021,1156,1702,1744,1479,2291,14
10/1/2021,35835,29780,31561,36811,76028,17978
10/10/2021,36509,30197,31851,37007,76276,18326
10/11/2021,36611,30265,31899,37036,76315,18386
10/12/2021,36671,30296,31925,37052,76336,18407
10/13/2021,36751,30338,31957,37067,76356,18436
10/14/2021,36828,30387,31992,37100,76376,18459
10/15/2021,36932,30444,32037,37142,76410,18506
10/16/2021,36997,30478,32065,37158,76424,18531
10/17/2021,37037,30508,32084,37171,76433,18547
10/18/2021,37117,30562,32126,37201,76476,18569
10/19/2021,37180,30598,32153,37229,76501,18612
10/2/2021,35884,29819,31594,36839,76043,18019
10/20/2021,37235,30641,32191,37257,76537,18634
10/21/2021,37326,30683,32223,37286,76562,18667
10/22/2021,37422,30748,32271,37322,76613,18702
10/23/2021,37491,30804,32302,37339,76642,18729
10/24/2021,37520,30820,32318,37347,76667,18745
10/25/2021,37588,30870,32361,37374,76743,18764
10/26/2021,37675,30922,32412,37397,76805,18806
10/27/2021,37765,30979,32455,37438,76870,18839
10/28/2021,37886,31043,32498,37481,76951,18864
10/29/2021,37983,31096,32550,37526,76996,18895
10/3/2021,35932,29847,31609,36850,76050,18036
10/30/2021,38047,31136,32579,37541,77019,18910
10/31/2021,38072,31152,32596,37551,77027,18922
10/4/2021,36016,29905,31653,36872,76105,18092
10/5/2021,36106,29955,31677,36903,76145,18138
10/6/2021,36218,30017,31725,36931,76187,18206
10/7/2021,36299,30067,31752,36954,76227,18241
10/8/2021,36395,30132,31795,36986,76248,18276
10/9/2021,36472,30174,31831,36999,76261,18310
11/1/2021,38126,31194,32626,37583,77097,18949
11/10/2021,38799,31570,32957,37836,77557,19872
11/11/2021,38869,31615,32994,37867,77614,20072
11/12/2021,38959,31676,33028,37890,77683,20288
11/13/2021,39006,31702,33051,37907,77704,20533
11/14/2021,39036,31723,33064,37915,77727,20608
11/15/2021,39099,31771,33106,37950,77794,20758
11/16/2021,39164,31817,33134,37982,77851,20930
11/17/2021,39240,31865,33169,38016,77908,21119
11/18/2021,39315,31908,33203,38043,77981,21258
11/19/2021,39371,31955,33242,38076,78030,21437
11/2/2021,38199,31236,32659,37609,77160,18971
11/20/2021,39425,31991,33270,38090,78049,21842
11/21/2021,39458,32002,33286,38114,78070,21894
11/22/2021,39536,32038,33330,38151,78135,21989
11/23/2021,39638,32098,33366,38194,78200,22142
11/24/2021,39712,32151,33392,38235,78246,22339
11/25/2021,39713,32151,33392,38235,78246,22339
11/26/2021,39753,32173,33425,38273,78280,22450
11/27/2021,39771,32187,33439,38286,78294,22506
11/28/2021,39788,32198,33448,38299,78312,22537
11/29/2021,39839,32236,33473,38345,78377,22616
11/3/2021,38272,31280,32700,37637,77210,18997
11/30/2021,39906,32273,33506,38389,78456,22725
11/4/2021,38326,31315,32732,37667,77277,19034
11/5/2021,38415,31373,32797,37701,77361,19134
11/6/2021,38503,31416,32820,37726,77383,19283
11/7/2021,38560,31432,32836,37738,77400,19345
11/8/2021,38653,31476,32879,37776,77467,19491
11/9/2021,38736,31526,32922,37807,77512,19675
12/1/2020,1,1,2,,1,
12/1/2021,39992,32316,33545,38432,78525,22867
12/10/2020,2,1,2,,2,
12/10/2021,40524,32648,33851,38810,79290,23905
12/11/2020,2,1,2,,2,
12/11/2021,40554,32671,33873,38831,79319,24041
12/12/2020,2,1,2,,2,
12/12/2021,40576,32684,33881,38843,79346,24070
12/13/2020,2,1,2,,2,
12/13/2021,40635,32711,33901,38887,79441,24142
12/14/2020,2,1,2,,2,
12/14/2021,40672,32736,33931,38928,79517,24218
12/15/2020,2,1,2,,2,
12/15/2021,40728,32764,33964,38973,79605,24302
12/16/2020,3,2,6,,2,
12/16/2021,40797,32812,34004,39036,79726,24471
12/17/2020,11,13,18,4,4,
12/17/2021,40848,32845,34027,39077,79824,24573
12/18/2020,21,22,27,9,5,
12/18/2021,40876,32863,34047,39100,79866,24721
12/19/2020,25,30,33,15,8,
12/19/2021,40898,32877,34059,39128,79904,24750
12/2/2020,1,1,2,,1,
12/2/2021,40070,32363,33582,38484,78604,22990
12/20/2020,25,35,34,19,9,
12/20/2021,40964,32913,34091,39193,80036,24898
12/21/2020,51,82,80,36,22,1
12/21/2021,41026,32945,34128,39263,80176,25017
12/22/2020,109,153,139,81,38,1
12/22/2021,41082,32987,34169,39305,80285,25156
12/23/2020,166,243,250,158,72,2
12/23/2021,41137,33013,34205,39352,80378,25267
12/24/2020,183,263,266,172,75,2
12/24/2021,41162,33030,34217,39366,80412,25289
12/25/2020,183,263,266,172,75,2
12/25/2021,41162,33030,34217,39366,80412,25289
12/26/2020,237,363,342,229,98,3
12/26/2021,41183,33042,34225,39384,80447,25316
12/27/2020,253,393,357,241,100,3
12/27/2021,41233,33083,34260,39429,80517,25412
12/28/2020,313,506,490,339,136,3
12/28/2021,41297,33109,34289,39488,80633,25548
12/29/2020,419,666,652,480,191,4
12/29/2021,41357,33135,34323,39530,80727,25654
12/3/2020,2,1,2,,1,
12/3/2021,40142,32406,33614,38534,78676,23123
12/30/2020,549,884,845,661,321,4
12/30/2021,41405,33169,34353,39569,80823,25811
12/31/2020,622,979,949,750,500,5
12/31/2021,41427,33188,34375,39594,80848,25858
12/4/2020,2,1,2,,1,
12/4/2021,40169,32426,33631,38550,78716,23201
12/5/2020,2,1,2,,1,
12/5/2021,40191,32439,33643,38562,78747,23229
12/6/2020,2,1,2,,1,
12/6/2021,40252,32479,33692,38608,78841,23354
12/7/2020,2,1,2,,1,
12/7/2021,40326,32519,33727,38673,78954,23503
12/8/2020,2,1,2,,1,
12/8/2021,40395,32553,33771,38711,79068,23633
12/9/2020,2,1,2,,2,
12/9/2021,40467,32613,33813,38773,79195,23794
2/1/2021,2924,4060,4329,4157,14254,67
2/10/2021,3634,4863,5238,5432,24618,92
2/11/2021,3702,4928,5324,5566,26382,95
2/12/2021,3803,5036,5464,5756,28414,101
2/13/2021,4002,5272,5732,5977,29904,111
2/14/2021,4033,5312,5782,6035,30253,112
2/15/2021,4083,5357,5830,6121,31045,118
2/16/2021,4157,5427,5877,6194,32064,127
2/17/2021,4239,5484,5933,6285,33105,132
2/18/2021,4313,5543,5989,6346,34236,144
2/19/2021,4385,5610,6057,6418,34875,151
2/2/2021,2996,4151,4446,4314,15189,67
2/20/2021,4527,5705,6147,6491,35378,164
2/21/2021,4539,5718,6159,6511,35658,165
2/22/2021,4572,5756,6186,6567,36076,168
2/23/2021,4610,5796,6235,6632,36677,169
2/24/2021,4664,5861,6291,6705,37690,174
2/25/2021,4750,5952,6388,6883,39343,180
2/26/2021,4839,6037,6485,7052,41143,185
2/27/2021,4887,6070,6534,7128,41688,187
2/28/2021,4901,6081,6560,7178,42052,187
