date,Greenlee_cume,Greenlee
2020-12-18,2,
2020-12-21,16,14
2020-12-22,42,26
2020-12-23,49,7
2020-12-24,53,4
2020-12-26,54,1
2020-12-28,56,2
2020-12-29,64,8
2020-12-30,85,21
2020-12-31,115,30
2021-01-01,117,2
2021-01-04,118,1
2021-01-05,140,22
2021-01-06,155,15
2021-01-07,193,38
2021-01-08,209,16
2021-01-09,210,1
2021-01-12,249,39
2021-01-13,290,41
2021-01-14,353,63
2021-01-15,368,15
2021-01-16,369,1
2021-01-18,394,25
2021-01-19,431,37
2021-01-20,463,32
2021-01-21,711,248
2021-01-22,898,187
2021-01-23,1253,355
2021-01-24,1261,8
2021-01-25,1306,45
2021-01-26,1310,4
2021-01-27,1390,80
2021-01-28,1645,255
2021-01-29,1777,132
2021-01-30,1779,2
2021-02-01,1805,26
2021-02-02,1874,69
2021-02-03,1907,33
2021-02-04,1990,83
2021-02-05,2144,154
2021-02-06,2147,3
2021-02-08,2165,18
2021-02-09,2203,38
2021-02-10,2303,100
2021-02-11,2447,144
2021-02-12,2638,191
2021-02-13,2643,5
2021-02-15,2681,38
2021-02-16,2761,80
2021-02-17,2908,147
2021-02-18,3165,257
2021-02-19,3171,6
2021-02-20,3173,2
2021-02-22,3233,60
2021-02-23,3541,308
2021-02-24,3699,158
2021-02-25,3827,128
2021-02-26,3980,153
2021-02-28,3995,15
2021-03-01,4022,27
2021-03-02,4172,150
2021-03-03,4223,51
2021-03-04,4264,41
2021-03-05,4405,141
2021-03-06,4406,1
2021-03-07,4407,1
2021-03-08,4447,40
2021-03-09,4519,72
2021-03-10,4601,82
2021-03-11,4667,66
2021-03-12,4778,111
2021-03-13,4784,6
2021-03-15,4895,111
2021-03-16,4920,25
2021-03-17,4975,55
2021-03-18,5000,25
2021-03-19,5038,38
2021-03-20,5039,1
2021-03-22,5045,6
2021-03-23,5060,15
2021-03-24,5070,10
2021-03-25,5111,41
2021-03-26,5161,50
2021-03-27,5165,4
2021-03-28,5174,9
2021-03-29,5182,8
2021-03-30,5236,54
2021-03-31,5245,9
2021-04-01,5306,61
2021-04-02,5332,26
2021-04-03,5333,1
2021-04-05,5349,16
2021-04-06,5374,25
2021-04-07,5391,17
2021-04-08,5447,56
2021-04-09,5486,39
2021-04-10,5489,3
2021-04-11,5490,1
2021-04-12,5535,45
2021-04-13,5550,15
2021-04-14,5566,16
2021-04-15,5592,26
2021-04-16,5625,33
2021-04-17,5626,1
2021-04-19,5629,3
2021-04-20,5647,18
2021-04-21,5654,7
2021-04-22,5685,31
2021-04-23,5688,3
2021-04-24,5691,3
2021-04-26,5696,5
2021-04-27,5728,32
2021-04-28,5736,8
2021-04-29,5745,9
2021-04-30,5766,21
2021-05-01,5769,3
2021-05-03,5770,1
2021-05-04,5788,18
2021-05-05,5797,9
2021-05-06,5812,15
2021-05-07,5816,4
2021-05-08,5818,2
2021-05-10,5834,16
2021-05-11,5835,1
2021-05-12,5852,17
2021-05-13,5871,19
2021-05-14,5877,6
2021-05-16,5880,3
2021-05-17,5882,2
2021-05-18,5895,13
2021-05-19,5900,5
2021-05-20,5923,23
2021-05-21,5954,31
2021-05-22,5967,13
2021-05-23,5968,1
2021-05-24,5970,2
2021-05-25,5987,17
2021-05-26,5990,3
2021-05-27,6001,11
2021-05-28,6012,11
2021-05-29,6014,2
2021-06-01,6031,17
2021-06-02,6033,2
2021-06-03,6046,13
2021-06-04,6051,5
2021-06-05,6052,1
2021-06-07,6055,3
2021-06-08,6061,6
2021-06-09,6064,3
2021-06-10,6071,7
2021-06-11,6074,3
2021-06-12,6081,7
2021-06-14,6083,2
2021-06-15,6096,13
2021-06-16,6099,3
2021-06-17,6118,19
2021-06-18,6123,5
2021-06-19,6127,4
2021-06-20,6128,1
2021-06-21,6131,3
2021-06-22,6140,9
2021-06-24,6143,3
2021-06-25,6150,7
2021-06-26,6152,2
2021-06-28,6154,2
2021-06-29,6166,12
2021-06-30,6167,1
2021-07-01,6178,11
2021-07-02,6183,5
2021-07-06,6186,3
2021-07-07,6192,6
2021-07-08,6201,9
2021-07-09,6204,3
2021-07-11,6206,2
2021-07-12,6216,10
2021-07-13,6218,2
2021-07-14,6221,3
2021-07-15,6229,8
2021-07-16,6230,1
2021-07-19,6233,3
2021-07-20,6248,15
2021-07-21,6251,3
2021-07-22,6262,11
2021-07-23,6280,18
2021-07-24,6283,3
2021-07-25,6286,3
2021-07-26,6294,8
2021-07-27,6300,6
2021-07-28,6308,8
2021-07-29,6333,25
2021-07-30,6341,8
2021-07-31,6344,3
2021-08-01,6345,1
2021-08-02,6352,7
2021-08-03,6365,13
2021-08-04,6381,16
2021-08-05,6397,16
2021-08-06,6407,10
2021-08-07,6412,5
2021-08-08,6414,2
2021-08-09,6429,15
2021-08-10,6444,15
2021-08-11,6450,6
2021-08-12,6496,46
2021-08-13,6517,21
2021-08-14,6522,5
2021-08-15,6523,1
2021-08-16,6541,18
2021-08-17,6580,39
2021-08-18,6598,18
2021-08-19,6634,36
2021-08-20,6683,49
2021-08-21,6779,96
2021-08-22,6780,1
2021-08-23,6806,26
2021-08-24,6825,19
2021-08-25,6845,20
2021-08-26,6890,45
2021-08-27,6921,31
2021-08-28,6928,7
2021-08-30,6966,38
2021-08-31,6992,26
2021-09-01,7007,15
2021-09-02,7025,18
2021-09-03,7051,26
2021-09-04,7053,2
2021-09-07,7070,17
2021-09-08,7090,20
2021-09-09,7135,45
2021-09-10,7168,33
2021-09-11,7232,64
2021-09-12,7233,1
2021-09-13,7244,11
2021-09-14,7267,23
