date,pcr_tests,pcr_pos_test,pcr_positivity
2022-01-06 00:00:00,467,79,0.1691648822269807
2022-01-05 00:00:00,17063,4134,0.2422786145460939
2022-01-04 00:00:00,47214,12771,0.2704918032786886
2022-01-03 00:00:00,66017,18330,0.2776557553357469
2022-01-02 00:00:00,29215,8708,0.2980660619544755
2022-01-01 00:00:00,14364,4195,0.2920495683653579
2021-12-31 00:00:00,31186,7807,0.2503366895401783
2021-12-30 00:00:00,50023,10673,0.2133618535473682
2021-12-29 00:00:00,47259,10500,0.222179902240843
2021-12-28 00:00:00,46888,9708,0.2070465790820679
2021-12-27 00:00:00,45100,8824,0.1956541019955654
2021-12-26 00:00:00,19167,3973,0.2072833515938853
2021-12-25 00:00:00,6252,1176,0.1880998080614204
2021-12-24 00:00:00,21168,3378,0.1595804988662132
2021-12-23 00:00:00,40611,5397,0.1328950284405703
2021-12-22 00:00:00,41315,5376,0.1301222316349994
2021-12-21 00:00:00,41765,4731,0.1132766670657249
2021-12-20 00:00:00,41957,4634,0.1104464094191672
2021-12-19 00:00:00,18881,2250,0.1191674169800328
2021-12-18 00:00:00,20061,2462,0.1227256866557001
2021-12-17 00:00:00,31860,3388,0.1063402385436284
2021-12-16 00:00:00,35932,3532,0.0982967828119782
2021-12-15 00:00:00,34423,3731,0.1083868343839875
2021-12-14 00:00:00,38825,3800,0.0978750804893754
2021-12-13 00:00:00,41462,4299,0.1036853022044282
2021-12-12 00:00:00,17563,2295,0.1306724363719183
2021-12-11 00:00:00,19382,2465,0.1271798575998349
2021-12-10 00:00:00,32418,3587,0.1106484052069838
2021-12-09 00:00:00,34928,3562,0.1019812185066422
2021-12-08 00:00:00,36132,4226,0.1169600354256615
2021-12-07 00:00:00,40010,4077,0.1018995251187203
2021-12-06 00:00:00,43109,4776,0.1107889303857663
2021-12-05 00:00:00,18051,2529,0.1401030413827489
2021-12-04 00:00:00,19537,2890,0.1479244510416133
2021-12-03 00:00:00,36366,4227,0.1162349447285926
2021-12-02 00:00:00,37547,4307,0.1147095640131036
2021-12-01 00:00:00,37898,5018,0.1324080426407726
2021-11-30 00:00:00,41882,4951,0.1182130748292823
2021-11-29 00:00:00,47041,6026,0.1281010182606662
2021-11-28 00:00:00,19377,3311,0.1708726841100274
2021-11-27 00:00:00,18387,3173,0.172567574917061
2021-11-26 00:00:00,25886,3752,0.1449432125473229
2021-11-25 00:00:00,8406,1112,0.132286462050916
2021-11-24 00:00:00,33433,4394,0.1314270331708193
2021-11-23 00:00:00,41668,4894,0.1174522415282711
2021-11-22 00:00:00,43667,5313,0.1216708269402524
2021-11-21 00:00:00,18152,2789,0.1536469810489202
2021-11-20 00:00:00,20388,3002,0.1472434765548362
2021-11-19 00:00:00,36607,4544,0.1241292648946923
2021-11-18 00:00:00,38038,4479,0.1177506703822493
2021-11-17 00:00:00,39938,5112,0.12799839751615
2021-11-16 00:00:00,40400,4863,0.1203712871287129
2021-11-15 00:00:00,43583,5420,0.1243604157584379
2021-11-14 00:00:00,17032,2610,0.1532409581963363
2021-11-13 00:00:00,18642,2799,0.1501448342452527
2021-11-12 00:00:00,37037,4391,0.1185571185571186
2021-11-11 00:00:00,28601,3427,0.119820985280235
2021-11-10 00:00:00,38056,4192,0.1101534580618037
2021-11-09 00:00:00,43287,4767,0.1101254418185599
2021-11-08 00:00:00,45618,5205,0.1140996974878338
2021-11-07 00:00:00,18400,2654,0.1442391304347826
2021-11-06 00:00:00,19627,2913,0.148417995618281
2021-11-05 00:00:00,35713,4015,0.1124240472657016
2021-11-04 00:00:00,38616,4092,0.1059664387818521
2021-11-03 00:00:00,38958,4258,0.1092971918476308
2021-11-02 00:00:00,41686,4206,0.1008971837067601
2021-11-01 00:00:00,40225,4207,0.1045866998135488
2021-10-31 00:00:00,15137,2059,0.136024311290216
2021-10-30 00:00:00,18138,2284,0.1259234755761385
2021-10-29 00:00:00,32775,3332,0.1016628527841343
2021-10-28 00:00:00,37332,3260,0.0873245473052609
2021-10-27 00:00:00,34024,3399,0.0999000705384435
2021-10-26 00:00:00,36847,3345,0.090780796265639
2021-10-25 00:00:00,40660,3901,0.0959419576979833
2021-10-24 00:00:00,15797,1867,0.1181869975311768
2021-10-23 00:00:00,16971,2034,0.1198515114018031
2021-10-22 00:00:00,29636,2915,0.0983601025779457
2021-10-21 00:00:00,33118,2923,0.0882601606377197
2021-10-20 00:00:00,32349,2932,0.0906364957185694
2021-10-19 00:00:00,35698,2921,0.0818253123424282
2021-10-18 00:00:00,37078,3338,0.0900264307675711
2021-10-17 00:00:00,13901,1685,0.1212143011294152
2021-10-16 00:00:00,15162,1746,0.1151563118322121
2021-10-15 00:00:00,29696,2497,0.0840853987068966
2021-10-14 00:00:00,32910,2607,0.0792160437556974
2021-10-13 00:00:00,30393,2661,0.0875530549797651
2021-10-12 00:00:00,32160,2683,0.0834266169154229
2021-10-11 00:00:00,34554,3074,0.0889622040863576
2021-10-10 00:00:00,14483,1755,0.1211765518193744
2021-10-09 00:00:00,16902,1949,0.1153117974204236
2021-10-08 00:00:00,29958,2737,0.0913612390680286
2021-10-07 00:00:00,33699,2763,0.0819905635182053
2021-10-06 00:00:00,31850,2881,0.0904552590266876
2021-10-05 00:00:00,35551,2890,0.0812916654946415
2021-10-04 00:00:00,38603,3426,0.0887495790482605
2021-10-03 00:00:00,15482,1824,0.1178142358868363
2021-10-02 00:00:00,17570,2031,0.1155947638019351
2021-10-01 00:00:00,32585,2919,0.0895810955961332
2021-09-30 00:00:00,38105,3035,0.0796483401128461
2021-09-29 00:00:00,36660,3342,0.0911620294599018
2021-09-28 00:00:00,38830,3401,0.0875869173319598
2021-09-27 00:00:00,41193,3851,0.0934867574587915
2021-09-26 00:00:00,15748,1929,0.12249174498349
2021-09-25 00:00:00,18670,2279,0.1220674879485806
2021-09-24 00:00:00,32622,3096,0.0949052786463123
2021-09-23 00:00:00,36321,3059,0.084221249414939
2021-09-22 00:00:00,34825,3151,0.0904809763101221
2021-09-21 00:00:00,39550,3241,0.0819469026548673
2021-09-20 00:00:00,40099,3685,0.0918975535549515
2021-09-19 00:00:00,16043,1897,0.1182447173221966
2021-09-18 00:00:00,18100,2119,0.1170718232044199
2021-09-17 00:00:00,33606,2941,0.0875141343807653
2021-09-16 00:00:00,39552,2981,0.0753691343042071
2021-09-15 00:00:00,37460,3141,0.0838494394020288
2021-09-14 00:00:00,40483,3225,0.0796630684484846
2021-09-13 00:00:00,43124,3741,0.0867498376773954
2021-09-12 00:00:00,16974,1978,0.1165311653116531
2021-09-11 00:00:00,20068,2512,0.1251744070161451
2021-09-10 00:00:00,35206,3279,0.0931375333749929
2021-09-09 00:00:00,37501,3260,0.0869310151729287
2021-09-08 00:00:00,40262,3788,0.0940837514281457
2021-09-07 00:00:00,48148,4247,0.0882071944836753
2021-09-06 00:00:00,18675,2196,0.1175903614457831
2021-09-05 00:00:00,17085,2109,0.123441615452151
