date,pcr_tests_NAVAJO,pcr_pos_test_NAVAJO,pcr_positivity_NAVAJO
2022-01-07 00:00:00,39,3,0.0769230769230769
2022-01-06 00:00:00,646,144,0.2229102167182663
2022-01-05 00:00:00,832,170,0.2043269230769231
2022-01-04 00:00:00,1170,299,0.2555555555555556
2022-01-03 00:00:00,1267,295,0.2328334648776638
2022-01-02 00:00:00,261,71,0.2720306513409962
2022-01-01 00:00:00,189,41,0.2169312169312169
2021-12-31 00:00:00,325,87,0.2676923076923077
2021-12-30 00:00:00,704,127,0.1803977272727273
2021-12-29 00:00:00,727,148,0.203576341127923
2021-12-28 00:00:00,646,128,0.1981424148606811
2021-12-27 00:00:00,903,144,0.159468438538206
2021-12-26 00:00:00,235,49,0.2085106382978723
2021-12-25 00:00:00,139,25,0.1798561151079137
2021-12-24 00:00:00,222,28,0.1261261261261261
2021-12-23 00:00:00,458,53,0.1157205240174673
2021-12-22 00:00:00,461,72,0.1561822125813449
2021-12-21 00:00:00,498,74,0.1485943775100402
2021-12-20 00:00:00,576,72,0.125
2021-12-19 00:00:00,175,31,0.1771428571428571
2021-12-18 00:00:00,187,23,0.1229946524064171
2021-12-17 00:00:00,399,53,0.1328320802005013
2021-12-16 00:00:00,547,71,0.1297989031078611
2021-12-15 00:00:00,501,79,0.157684630738523
2021-12-14 00:00:00,562,75,0.1334519572953737
2021-12-13 00:00:00,694,109,0.1570605187319885
2021-12-12 00:00:00,229,52,0.2270742358078603
2021-12-11 00:00:00,175,31,0.1771428571428571
2021-12-10 00:00:00,427,74,0.1733021077283372
2021-12-09 00:00:00,570,87,0.1526315789473684
2021-12-08 00:00:00,703,113,0.1607396870554765
2021-12-07 00:00:00,485,80,0.1649484536082474
2021-12-06 00:00:00,684,98,0.1432748538011696
2021-12-05 00:00:00,195,31,0.158974358974359
2021-12-04 00:00:00,207,44,0.21256038647343
2021-12-03 00:00:00,557,95,0.170556552962298
2021-12-02 00:00:00,624,94,0.1506410256410256
2021-12-01 00:00:00,567,102,0.1798941798941799
2021-11-30 00:00:00,600,111,0.185
2021-11-29 00:00:00,919,158,0.1719260065288357
2021-11-28 00:00:00,250,49,0.196
2021-11-27 00:00:00,248,61,0.2459677419354839
2021-11-26 00:00:00,386,87,0.2253886010362695
2021-11-25 00:00:00,199,29,0.1457286432160804
2021-11-24 00:00:00,466,86,0.184549356223176
2021-11-23 00:00:00,578,103,0.1782006920415225
2021-11-22 00:00:00,760,119,0.1565789473684211
2021-11-21 00:00:00,210,34,0.1619047619047619
2021-11-20 00:00:00,251,47,0.1872509960159363
2021-11-19 00:00:00,518,85,0.1640926640926641
2021-11-18 00:00:00,654,114,0.1743119266055046
2021-11-17 00:00:00,612,119,0.1944444444444445
2021-11-16 00:00:00,647,114,0.1761978361669243
2021-11-15 00:00:00,893,167,0.187010078387458
2021-11-14 00:00:00,254,59,0.2322834645669292
2021-11-13 00:00:00,233,46,0.1974248927038627
2021-11-12 00:00:00,644,119,0.1847826086956522
2021-11-11 00:00:00,437,89,0.2036613272311213
2021-11-10 00:00:00,622,105,0.1688102893890675
2021-11-09 00:00:00,848,163,0.1922169811320755
2021-11-08 00:00:00,965,210,0.2176165803108808
2021-11-07 00:00:00,287,52,0.1811846689895471
2021-11-06 00:00:00,281,65,0.2313167259786477
