date,20-34_Graham,35-44_Graham,45-54_Graham,55-64_Graham,65+_Graham,<20_Graham
1/1/2021,178,180,162,195,246,5
1/1/2022,4224,3078,2887,3341,5365,2603
1/10/2021,273,296,303,318,533,6
1/11/2021,280,308,311,332,581,6
1/12/2021,290,315,325,360,647,8
1/13/2021,301,324,337,377,745,8
1/14/2021,316,356,363,424,869,9
1/15/2021,425,470,472,548,1002,25
1/16/2021,428,470,473,548,1057,25
1/17/2021,429,470,473,548,1059,25
1/18/2021,441,475,487,562,1138,25
1/19/2021,448,490,495,582,1190,26
1/2/2021,179,180,162,196,247,5
1/2/2022,4224,3078,2889,3341,5365,2604
1/20/2021,472,501,511,601,1272,26
1/21/2021,487,509,520,625,1406,27
1/22/2021,555,565,555,666,1472,31
1/23/2021,561,576,565,673,1681,31
1/24/2021,562,576,567,673,1681,31
1/25/2021,575,587,582,691,1727,32
1/26/2021,584,593,586,704,1798,32
1/27/2021,610,607,609,721,1909,34
1/28/2021,634,636,647,750,1994,34
1/29/2021,679,668,665,784,2215,41
1/3/2021,179,180,162,196,247,5
1/3/2022,4229,3081,2889,3342,5367,2614
1/30/2021,714,692,688,791,2221,44
1/31/2021,714,692,688,792,2221,44
1/4/2021,198,214,196,215,283,5
1/4/2022,4230,3083,2889,3344,5368,2628
1/5/2021,210,228,212,231,337,5
1/5/2022,4235,3084,2890,3346,5368,2641
1/6/2021,228,252,229,252,375,6
1/6/2022,4246,3088,2891,3348,5372,2657
1/7/2021,251,266,251,270,469,6
1/7/2022,4252,3092,2892,3348,5375,2698
1/8/2021,273,296,303,318,532,6
1/8/2022,4255,3094,2894,3351,5376,2710
1/9/2021,273,296,303,318,533,6
1/9/2022,4257,3094,2894,3351,5376,2711
10/1/2021,3751,2820,2693,3186,5188,1646
10/10/2021,3798,2852,2714,3196,5203,1669
10/11/2021,3805,2859,2716,3196,5204,1671
10/12/2021,3808,2865,2720,3197,5206,1674
10/13/2021,3813,2865,2724,3201,5207,1678
10/14/2021,3823,2871,2729,3201,5207,1680
10/15/2021,3835,2877,2734,3204,5209,1681
10/16/2021,3841,2878,2735,3205,5210,1683
10/17/2021,3843,2879,2735,3205,5210,1683
10/18/2021,3850,2888,2739,3205,5211,1685
10/19/2021,3855,2890,2742,3206,5212,1687
10/2/2021,3751,2821,2693,3186,5189,1646
10/20/2021,3859,2892,2742,3207,5212,1691
10/21/2021,3865,2898,2743,3209,5214,1697
10/22/2021,3872,2901,2745,3213,5216,1707
10/23/2021,3876,2902,2745,3214,5216,1712
10/24/2021,3877,2902,2745,3216,5216,1714
10/25/2021,3885,2904,2746,3219,5218,1715
10/26/2021,3892,2906,2749,3219,5221,1718
10/27/2021,3897,2908,2749,3219,5223,1719
10/28/2021,3908,2923,2756,3222,5225,1731
10/29/2021,3915,2925,2760,3225,5228,1737
10/3/2021,3751,2823,2693,3186,5189,1646
10/30/2021,3920,2925,2762,3226,5229,1739
10/31/2021,3921,2925,2762,3226,5229,1739
10/4/2021,3754,2832,2697,3188,5190,1649
10/5/2021,3761,2835,2700,3189,5192,1651
10/6/2021,3769,2837,2707,3190,5194,1651
10/7/2021,3783,2844,2709,3192,5198,1661
10/8/2021,3789,2849,2712,3192,5202,1666
10/9/2021,3795,2850,2713,3195,5202,1669
11/1/2021,3923,2925,2763,3226,5230,1742
