date,pcr_tests_PIMA,pcr_pos_test_PIMA,pcr_positivity_PIMA
2022-01-15 00:00:00,380,103,0.2710526315789474
2022-01-14 00:00:00,5682,1264,0.2224568813797959
2022-01-13 00:00:00,9365,2142,0.2287239722370529
2022-01-12 00:00:00,11561,2825,0.244356024565349
2022-01-11 00:00:00,13314,3371,0.2531921285864504
2022-01-10 00:00:00,12807,3034,0.2369016943858827
2022-01-09 00:00:00,4852,1454,0.2996702390766694
2022-01-08 00:00:00,4697,1349,0.2872045986800086
2022-01-07 00:00:00,10948,2470,0.2256119839240044
2022-01-06 00:00:00,10461,2374,0.2269381512283721
2022-01-05 00:00:00,10020,2689,0.2683632734530938
2022-01-04 00:00:00,10113,2392,0.2365272421635519
2022-01-03 00:00:00,10605,2240,0.2112211221122112
2022-01-02 00:00:00,4745,1226,0.258377239199157
2022-01-01 00:00:00,1259,187,0.1485305798252581
2021-12-31 00:00:00,4562,866,0.1898290223586147
2021-12-30 00:00:00,7184,1215,0.1691258351893096
2021-12-29 00:00:00,7139,1300,0.182098333099874
2021-12-28 00:00:00,6971,1140,0.1635346435231674
2021-12-27 00:00:00,6522,1019,0.1562404170499847
2021-12-26 00:00:00,3285,586,0.1783866057838661
2021-12-25 00:00:00,824,73,0.0885922330097087
2021-12-24 00:00:00,2746,318,0.1158048069919884
2021-12-23 00:00:00,5780,573,0.0991349480968858
2021-12-22 00:00:00,6197,569,0.0918186219138293
2021-12-21 00:00:00,6508,547,0.0840503995082975
2021-12-20 00:00:00,6215,499,0.0802896218825422
2021-12-19 00:00:00,2436,245,0.1005747126436782
2021-12-18 00:00:00,2639,322,0.1220159151193634
2021-12-17 00:00:00,4120,352,0.0854368932038835
2021-12-16 00:00:00,5168,397,0.0768188854489164
2021-12-15 00:00:00,5490,474,0.0863387978142077
2021-12-14 00:00:00,5575,449,0.0805381165919283
2021-12-13 00:00:00,6674,524,0.0785136350014984
2021-12-12 00:00:00,2212,285,0.1288426763110308
2021-12-11 00:00:00,2525,334,0.1322772277227723
2021-12-10 00:00:00,5001,510,0.1019796040791842
2021-12-09 00:00:00,5025,473,0.0941293532338308
2021-12-08 00:00:00,5484,542,0.0988329686360321
2021-12-07 00:00:00,5974,554,0.0927351858051557
2021-12-06 00:00:00,6821,608,0.0891364902506964
2021-12-05 00:00:00,2433,362,0.1487875051376901
2021-12-04 00:00:00,2848,417,0.1464185393258427
2021-12-03 00:00:00,5534,585,0.1057101554029635
2021-12-02 00:00:00,6022,619,0.1027897708402524
2021-12-01 00:00:00,5975,685,0.1146443514644352
2021-11-30 00:00:00,7187,769,0.1069987477389732
2021-11-29 00:00:00,7641,776,0.1015573877764691
2021-11-28 00:00:00,2736,483,0.1765350877192983
2021-11-27 00:00:00,2838,456,0.160676532769556
2021-11-26 00:00:00,3986,562,0.1409934771700953
2021-11-25 00:00:00,1260,148,0.1174603174603175
2021-11-24 00:00:00,5727,697,0.1217042081368954
2021-11-23 00:00:00,7556,741,0.0980677607199577
2021-11-22 00:00:00,7752,839,0.1082301341589267
2021-11-21 00:00:00,2771,468,0.168892096715987
2021-11-20 00:00:00,2860,467,0.1632867132867133
2021-11-19 00:00:00,5795,723,0.124762726488352
2021-11-18 00:00:00,5973,671,0.1123388581952118
2021-11-17 00:00:00,6772,816,0.1204961606615476
2021-11-16 00:00:00,6795,820,0.1206769683590876
2021-11-15 00:00:00,7032,863,0.1227246871444824
2021-11-14 00:00:00,2757,496,0.1799056945955749
2021-11-13 00:00:00,2962,487,0.1644159351789332
2021-11-12 00:00:00,6289,748,0.1189378279535697
2021-11-11 00:00:00,3592,503,0.1400334075723831
2021-11-10 00:00:00,6723,699,0.1039714413208389
2021-11-09 00:00:00,6825,729,0.1068131868131868
2021-11-08 00:00:00,7113,703,0.0988331224518487
2021-11-07 00:00:00,2801,427,0.1524455551588719
2021-11-06 00:00:00,2941,464,0.1577694661679701
2021-11-05 00:00:00,5495,597,0.1086442220200182
2021-11-04 00:00:00,6060,629,0.1037953795379538
2021-11-03 00:00:00,6547,631,0.0963800213838399
2021-11-02 00:00:00,6222,575,0.0924140147862424
2021-11-01 00:00:00,6092,536,0.0879842416283651
