date,Discharge_covid
2022-01-18,813
2022-01-17,727
2022-01-16,794
2022-01-15,873
2022-01-14,851
2022-01-13,943
2022-01-12,859
2022-01-11,870
2022-01-10,758
2022-01-09,759
2022-01-08,770
2022-01-07,801
2022-01-06,793
2022-01-05,782
2022-01-04,630
2022-01-03,576
2022-01-02,556
2022-01-01,588
2021-12-31,625
2021-12-30,635
2021-12-29,598
2021-12-28,598
2021-12-27,488
2021-12-26,461
2021-12-25,546
2021-12-24,570
2021-12-23,565
2021-12-22,539
2021-12-21,502
2021-12-20,481
2021-12-19,490
2021-12-18,528
2021-12-17,518
2021-12-16,499
2021-12-15,545
2021-12-14,485
2021-12-13,459
2021-12-12,501
2021-12-11,537
2021-12-10,527
2021-12-09,572
2021-12-08,572
2021-12-07,577
2021-12-06,455
2021-12-05,478
2021-12-04,566
2021-12-03,520
2021-12-02,561
2021-12-01,599
2021-11-30,588
2021-11-29,512
2021-11-28,518
2021-11-27,523
2021-11-26,473
2021-11-25,552
2021-11-24,570
2021-11-23,538
2021-11-22,476
2021-11-21,458
2021-11-20,570
2021-11-19,498
2021-11-18,565
2021-11-17,509
2021-11-16,476
2021-11-15,417
2021-11-14,445
2021-11-13,474
2021-11-12,436
2021-11-11,487
2021-11-10,476
2021-11-09,397
2021-11-08,411
2021-11-07,422
2021-11-06,467
2021-11-05,445
2021-11-04,450
2021-11-03,448
2021-11-02,415
2021-11-01,375
2021-10-31,354
2021-10-30,413
2021-10-29,397
2021-10-28,369
2021-10-27,404
2021-10-26,389
2021-10-25,363
2021-10-24,343
2021-10-23,386
2021-10-22,367
2021-10-21,374
2021-10-20,399
2021-10-19,371
2021-10-18,328
2021-10-17,400
2021-10-16,389
2021-10-15,410
2021-10-14,421
2021-10-13,418
2021-10-12,385
2021-10-11,370
2021-10-10,364
2021-10-09,383
2021-10-08,360
2021-10-07,414
2021-10-06,393
2021-10-05,391
2021-10-04,345
2021-10-03,337
2021-10-02,404
2021-10-01,390
2021-09-30,396
2021-09-29,440
2021-09-28,423
2021-09-27,360
2021-09-26,392
2021-09-25,423
2021-09-24,435
2021-09-23,426
2021-09-22,405
2021-09-21,411
2021-09-20,417
2021-09-19,378
2021-09-18,476
2021-09-17,462
2021-09-16,482
2021-09-15,445
2021-09-14,469
2021-09-13,419
2021-09-12,454
2021-09-11,446
2021-09-10,456
2021-09-09,439
2021-09-08,528
2021-09-07,473
2021-09-06,396
2021-09-05,428
2021-09-04,468
2021-09-03,483
2021-09-02,506
2021-09-01,483
2021-08-31,492
2021-08-30,424
2021-08-29,425
2021-08-28,457
2021-08-27,511
2021-08-26,510
2021-08-25,544
2021-08-24,555
2021-08-23,459
2021-08-22,404
2021-08-21,481
2021-08-20,508
2021-08-19,581
2021-08-18,529
2021-08-17,489
2021-08-16,453
2021-08-15,463
2021-08-14,474
2021-08-13,505
2021-08-12,464
2021-08-11,428
2021-08-10,362
2021-08-09,329
2021-08-08,326
2021-08-07,368
2021-08-06,352
2021-08-05,349
2021-08-04,305
2021-08-03,305
2021-08-02,274
2021-08-01,258
2021-07-31,327
2021-07-30,260
2021-07-29,238
2021-07-28,262
2021-07-27,246
2021-07-26,230
2021-07-25,243
2021-07-24,289
2021-07-23,238
2021-07-22,202
2021-07-21,212
2021-07-20,251
2021-07-19,209
2021-07-18,198
2021-07-17,230
2021-07-16,172
2021-07-15,202
2021-07-14,218
2021-07-13,167
2021-07-12,156
2021-07-11,149
2021-07-10,162
2021-07-09,220
2021-07-08,190
2021-07-07,183
2021-07-06,155
2021-07-05,162
2021-07-04,145
2021-07-03,155
2021-07-02,163
2021-07-01,178
2021-06-30,183
2021-06-29,155
2021-06-28,139
2021-06-27,142
2021-06-26,165
2021-06-25,185
2021-06-24,152
2021-06-23,160
2021-06-22,159
2021-06-21,163
2021-06-20,142
2021-06-19,155
2021-06-18,158
2021-06-17,172
2021-06-16,187
2021-06-15,161
2021-06-14,157
2021-06-13,150
2021-06-12,154
2021-06-11,172
2021-06-10,183
2021-06-09,172
2021-06-08,162
2021-06-07,139
2021-06-06,170
2021-06-05,169
2021-06-04,162
2021-06-03,167
2021-06-02,189
2021-06-01,171
2021-05-31,182
2021-05-30,169
2021-05-29,183
2021-05-28,203
2021-05-27,171
2021-05-26,188
2021-05-25,205
2021-05-24,167
2021-05-23,171
2021-05-22,195
2021-05-21,195
2021-05-20,208
2021-05-19,196
2021-05-18,187
2021-05-17,168
2021-05-16,159
2021-05-15,213
2021-05-14,198
2021-05-13,210
2021-05-12,233
2021-05-11,171
2021-05-10,167
2021-05-09,164
2021-05-08,195
2021-05-07,189
2021-05-06,193
2021-05-05,196
2021-05-04,207
2021-05-03,191
2021-05-02,181
2021-05-01,233
2021-04-30,201
2021-04-29,213
2021-04-28,191
2021-04-27,210
2021-04-26,178
2021-04-25,177
2021-04-24,198
2021-04-23,164
2021-04-22,189
2021-04-21,189
2021-04-20,206
2021-04-19,160
2021-04-18,187
2021-04-17,216
2021-04-16,194
2021-04-15,178
2021-04-14,185
2021-04-13,192
2021-04-12,173
2021-04-11,185
2021-04-10,235
2021-04-09,199
2021-04-08,188
2021-04-07,195
2021-04-06,193
2021-04-05,185
2021-04-04,168
2021-04-03,194
2021-04-02,188
2021-04-01,194
2021-03-31,213
2021-03-30,184
2021-03-28,142
2021-03-27,214
2021-03-26,190
2021-03-25,196
2021-03-24,202
2021-03-23,212
2021-03-22,173
2021-03-21,189
2021-03-20,250
2021-03-19,206
2021-03-18,211
2021-03-17,189
2021-03-16,196
2021-03-15,195
2021-03-14,198
2021-03-13,222
2021-03-12,261
2021-03-11,232
2021-03-10,279
2021-03-09,264
2021-03-08,201
2021-03-07,225
2021-03-06,258
2021-03-05,283
2021-03-04,304
2021-03-03,311
2021-03-02,303
2021-03-01,316
2021-02-28,291
2021-02-27,323
2021-02-26,320
2021-02-25,332
2021-02-24,360
2021-02-23,355
2021-02-22,321
2021-02-21,358
2021-02-20,378
2021-02-19,422
2021-02-18,426
2021-02-17,403
2021-02-16,438
2021-02-15,368
2021-02-14,413
2021-02-13,476
2021-02-12,531
2021-02-11,538
2021-02-10,561
2021-02-09,578
2021-02-08,470
2021-02-07,516
2021-02-06,675
2021-02-05,606
2021-02-04,640
2021-02-03,679
2021-02-02,698
2021-02-01,579
2021-01-31,663
2021-01-30,761
2021-01-29,787
2021-01-28,787
2021-01-27,823
2021-01-26,752
2021-01-25,750
2021-01-24,819
2021-01-23,898
2021-01-22,869
2021-01-21,963
2021-01-20,993
2021-01-19,948
2021-01-18,826
2021-01-17,859
2021-01-16,964
2021-01-15,975
2021-01-14,999
2021-01-13,994
2021-01-12,915
2021-01-11,845
2021-01-10,908
2021-01-09,975
2021-01-08,934
2021-01-07,940
2021-01-06,941
2021-01-05,912
2021-01-04,822
2021-01-03,790
2021-01-02,823
2021-01-01,933
2020-12-31,953
2020-12-30,886
2020-12-29,872
2020-12-28,794
2020-12-27,726
2020-12-26,755
2020-12-25,809
2020-12-24,918
2020-12-23,923
2020-12-22,822
2020-12-21,742
2020-12-20,753
2020-12-19,849
2020-12-18,782
2020-12-17,850
2020-12-16,803
2020-12-15,858
2020-12-14,721
2020-12-13,719
2020-12-12,753
2020-12-11,714
2020-12-10,777
2020-12-09,789
2020-12-08,734
2020-12-07,592
2020-12-06,658
2020-12-05,742
2020-12-04,660
2020-12-03,638
2020-12-02,648
2020-12-01,668
2020-11-30,588
2020-11-29,527
2020-11-28,578
2020-11-27,441
2020-11-26,540
2020-11-25,542
2020-11-24,576
2020-11-23,427
2020-11-22,427
2020-11-21,490
2020-11-20,507
2020-11-19,432
2020-11-18,430
2020-11-17,418
2020-11-16,366
2020-11-15,337
2020-11-14,364
2020-11-13,361
2020-11-12,312
2020-11-11,373
2020-11-10,308
2020-11-09,222
2020-11-08,228
2020-11-07,282
2020-11-06,298
2020-11-05,335
2020-11-04,278
2020-11-03,263
2020-11-02,187
2020-11-01,191
2020-10-31,239
2020-10-30,253
2020-10-29,209
2020-10-28,271
2020-10-27,257
2020-10-26,249
2020-10-25,178
2020-10-24,217
2020-10-23,219
2020-10-22,217
2020-10-21,206
2020-10-20,178
2020-10-19,152
2020-10-18,169
2020-10-17,191
2020-10-16,199
2020-10-15,212
2020-10-14,196
2020-10-13,183
2020-10-12,116
2020-10-11,177
2020-10-10,190
2020-10-09,197
2020-10-08,189
2020-10-07,198
2020-10-06,169
2020-10-05,160
2020-10-04,169
2020-10-03,142
2020-10-02,143
2020-10-01,142
2020-09-30,150
2020-09-29,136
2020-09-28,127
2020-09-27,126
2020-09-26,142
2020-09-25,166
2020-09-24,171
2020-09-23,166
2020-09-22,174
2020-09-21,107
2020-09-20,111
2020-09-19,167
2020-09-18,142
2020-09-17,145
2020-09-16,131
2020-09-15,155
2020-09-14,120
2020-09-13,158
2020-09-12,189
2020-09-11,156
2020-09-10,162
2020-09-09,159
2020-09-08,148
2020-09-07,137
2020-09-06,145
2020-09-05,173
2020-09-04,164
2020-09-03,183
2020-09-02,180
2020-09-01,180
2020-08-31,159
2020-08-30,143
2020-08-29,208
2020-08-28,208
2020-08-27,184
2020-08-26,205
2020-08-25,208
2020-08-24,185
2020-08-23,194
2020-08-22,215
2020-08-21,201
2020-08-20,260
2020-08-19,238
2020-08-18,206
2020-08-17,227
2020-08-16,218
2020-08-15,243
2020-08-14,310
2020-08-13,293
2020-08-12,318
2020-08-11,316
2020-08-10,254
2020-08-09,321
2020-08-08,364
2020-08-07,348
2020-08-06,284
2020-08-05,309
2020-08-04,278
2020-08-03,242
2020-08-02,289
2020-08-01,349
2020-07-31,350
2020-07-30,356
2020-07-29,364
2020-07-28,368
2020-07-27,305
2020-07-26,343
2020-07-25,412
2020-07-24,395
2020-07-23,434
2020-07-22,444
2020-07-21,430
