Category,Cochise
Total_doses_administered,178717
Total_people_one_dose,86085
Total_people_complete,69232
total_pouluation,86085
Male-65 years and older,11642
Male-55-64 years,5758
Male-45-54 years,4581
Male-20-44 years,12259
Male-Less than 20 years,6398
Female-65 years and older,13617
Female-55-64 years,6845
Female-45-54 years,5148
Female-20-44 years,13013
Female-Less than 20 years,6721
"American Indian or Alaska Native, non-Hispanic",379
"Asian or Pacific Islander, non-Hispanic",1544
"Black or African American, non-Hispanic",1666
Unknown,10434
Other Race,12302
Hispanic or Latino,25574
"White, non-Hispanic",34186
