date,Gila_cume,Gila
2020-12-01,1,
2020-12-17,69,68
2020-12-18,109,40
2020-12-19,111,2
2020-12-20,112,1
2020-12-21,148,36
2020-12-22,170,22
2020-12-23,224,54
2020-12-24,293,69
2020-12-26,322,29
2020-12-27,323,1
2020-12-28,458,135
2020-12-29,583,125
2020-12-30,739,156
2020-12-31,897,158
2021-01-01,902,5
2021-01-02,1098,196
2021-01-03,1101,3
2021-01-04,1252,151
2021-01-05,1562,310
2021-01-06,1837,275
2021-01-07,2327,490
2021-01-08,2713,386
2021-01-09,2749,36
2021-01-10,2750,1
2021-01-11,2936,186
2021-01-12,3030,94
2021-01-13,3127,97
2021-01-14,3376,249
2021-01-15,3627,251
2021-01-16,3633,6
2021-01-17,3636,3
2021-01-18,3764,128
2021-01-19,3955,191
2021-01-20,4237,282
2021-01-21,4563,326
2021-01-22,4683,120
2021-01-23,4833,150
2021-01-24,4846,13
2021-01-25,5053,207
2021-01-26,5172,119
2021-01-27,5515,343
2021-01-28,6029,514
2021-01-29,6330,301
2021-01-30,6566,236
2021-01-31,6574,8
2021-02-01,6931,357
2021-02-02,7587,656
2021-02-03,8279,692
2021-02-04,9285,1006
2021-02-05,10063,778
2021-02-06,10511,448
2021-02-07,10530,19
2021-02-08,10862,332
2021-02-09,11304,442
2021-02-10,11712,408
2021-02-11,12053,341
2021-02-12,12385,332
2021-02-13,13180,795
2021-02-14,13625,445
2021-02-15,13815,190
2021-02-16,14209,394
2021-02-17,14535,326
2021-02-18,14826,291
2021-02-19,15146,320
2021-02-20,15348,202
2021-02-21,15352,4
2021-02-22,15495,143
2021-02-23,15762,267
2021-02-24,15971,209
2021-02-25,16364,393
2021-02-26,16742,378
2021-02-27,18492,1750
2021-02-28,19376,884
2021-03-01,19629,253
2021-03-02,19987,358
2021-03-03,20315,328
2021-03-04,21038,723
2021-03-05,21298,260
2021-03-06,21687,389
2021-03-07,21699,12
2021-03-08,21917,218
2021-03-09,22203,286
2021-03-10,22512,309
2021-03-11,23794,1282
2021-03-12,24172,378
2021-03-13,25275,1103
2021-03-14,25694,419
2021-03-15,25873,179
2021-03-16,26174,301
2021-03-17,26320,146
2021-03-18,26643,323
2021-03-19,26894,251
2021-03-20,27228,334
2021-03-21,27242,14
2021-03-22,27416,174
2021-03-23,27585,169
2021-03-24,27713,128
2021-03-25,27971,258
2021-03-26,28143,172
2021-03-27,29811,1668
2021-03-28,30609,798
2021-03-29,30871,262
2021-03-30,30993,122
2021-03-31,31146,153
2021-04-01,31773,627
2021-04-02,31966,193
2021-04-03,32009,43
2021-04-04,32014,5
2021-04-05,32151,137
2021-04-06,32568,417
2021-04-07,32748,180
2021-04-08,33036,288
2021-04-09,33224,188
2021-04-10,33756,532
2021-04-11,33773,17
2021-04-12,33934,161
2021-04-13,34044,110
2021-04-14,34111,67
2021-04-15,34300,189
2021-04-16,34420,120
2021-04-17,34784,364
2021-04-18,34800,16
2021-04-19,34915,115
2021-04-20,35019,104
