date,20-34,35-44,45-54,55-64,65+,<20
1/1/2021,20777,23207,21418,18678,13850,176
1/1/2022,933116,622100,633832,720930,1296677,561116
1/10/2021,34326,35539,33815,30684,31893,402
1/10/2022,945032,627950,639329,726638,1302595,580293
1/11/2021,36243,37369,35802,32399,36358,456
1/11/2022,946512,628696,639957,727284,1303336,582572
1/12/2021,39017,40090,38631,34989,44354,551
1/12/2022,947858,629377,640544,727951,1303997,585056
1/13/2021,41760,43042,41802,37774,53468,628
1/13/2022,949458,630116,641168,728610,1304678,587465
1/14/2021,44509,46115,45087,40848,63226,685
1/14/2022,951028,630901,641777,729218,1305182,590563
1/15/2021,47986,49382,48537,44024,72790,772
1/15/2022,951913,631359,642140,729548,1305360,592604
1/16/2021,49761,50953,50234,45648,78282,808
1/16/2022,952456,631607,642369,729757,1305532,593517
1/17/2021,50857,51967,51314,46740,81825,837
1/17/2022,953352,632031,642782,730199,1305938,595117
1/18/2021,52514,53499,53090,48523,90062,872
1/18/2022,954582,632588,643263,730665,1306446,596878
1/19/2021,54575,55389,55189,50773,100459,957
1/19/2022,955855,633198,643822,731207,1306945,599007
1/2/2021,22652,24929,22999,20108,15012,199
1/2/2022,933752,622432,634144,721261,1296980,561801
1/20/2021,57137,57955,58277,54010,113149,1063
1/20/2022,957001,633753,644295,731703,1307454,600862
1/21/2021,59947,60924,61814,57711,129467,1197
1/21/2022,958124,634290,644769,732116,1307832,602870
1/22/2021,64417,65103,66452,62677,145575,1324
1/22/2022,958750,634656,645071,732341,1307999,604106
1/23/2021,67662,67865,69537,65897,156294,1450
1/23/2022,959215,634916,645285,732487,1308123,604823
1/24/2021,69161,69255,71057,67584,164060,1497
1/24/2022,959598,635122,645463,732657,1308305,605558
1/25/2021,71543,71425,73673,70589,178046,1563
1/26/2021,74453,73957,76586,73851,195749,1652
1/27/2021,77583,76632,79581,77344,215059,1738
1/28/2021,80714,79289,82676,81118,236794,1852
1/29/2021,84584,82489,86098,84956,257287,2020
1/3/2021,23533,25672,23666,20667,15407,217
1/3/2022,935260,623104,634845,722061,1297892,563989
1/30/2021,87371,84630,88451,87431,268899,2177
1/31/2021,88280,85363,89320,88486,275039,2212
1/4/2021,25255,27330,25317,22199,17513,236
1/4/2022,936841,623850,635499,722806,1298819,566279
1/5/2021,27030,29015,26944,23803,19803,265
1/5/2022,938508,624643,636183,723631,1299759,568911
1/6/2021,29217,30970,29020,25902,23068,324
1/6/2022,940105,625379,636946,724396,1300596,571289
1/7/2021,31006,32647,30824,27765,26586,355
1/7/2022,941718,626245,637782,725210,1301313,574655
1/8/2021,32723,34251,32520,29478,29157,377
1/8/2022,942737,626785,638289,725656,1301626,577184
1/9/2021,33802,35097,33378,30274,31379,397
1/9/2022,943503,627206,638673,725946,1301871,578196
10/1/2021,825922,563280,581428,664072,1207274,364422
10/10/2021,836000,568578,585729,667602,1213006,369173
10/11/2021,837300,569331,586301,668126,1213918,369828
10/12/2021,838274,569822,586681,668443,1214481,370339
10/13/2021,839466,570439,587209,668872,1215214,370903
10/14/2021,840742,571079,587779,669353,1215977,371420
10/15/2021,842283,571843,588472,669888,1216653,372027
10/16/2021,843272,572287,588841,670198,1216960,373345
10/17/2021,843997,572587,589073,670371,1217161,373597
10/18/2021,845268,573297,589630,670859,1217934,374110
10/19/2021,846374,573912,590103,671347,1218613,374634
10/2/2021,826922,563769,581879,664416,1207742,364955
10/20/2021,847470,574482,590563,671825,1219340,375149
10/21/2021,848634,575113,591115,672286,1220043,375633
10/22/2021,850098,575968,591811,672934,1221434,376309
10/23/2021,850975,576454,592263,673353,1222318,376785
10/24/2021,851450,576749,592491,673615,1222894,377096
10/25/2021,852732,577448,593105,674263,1224688,377633
10/26/2021,853983,578189,593741,674876,1226414,378290
10/27/2021,855330,578945,594455,675594,1228146,379022
10/28/2021,856613,579656,595042,676295,1229769,379537
10/29/2021,858011,580479,595787,677064,1231321,380367
10/3/2021,827515,564041,582082,664598,1208010,365214
10/30/2021,858762,580895,596148,677465,1231992,380666
10/31/2021,859214,581146,596381,677682,1232447,380803
10/4/2021,828914,564722,582688,665055,1208988,365869
10/5/2021,830428,565457,583239,665547,1209975,366487
10/6/2021,831835,566233,583842,666010,1210823,367121
10/7/2021,833024,566948,584391,666498,1211536,367712
10/8/2021,834472,567745,585043,667028,1212301,368467
10/9/2021,835433,568276,585481,667390,1212709,368937
11/1/2021,860466,581836,596983,678344,1233968,381342
11/10/2021,871301,587668,602202,683700,1244899,416498
11/11/2021,872535,588315,602822,684316,1246230,421544
11/12/2021,873998,589177,603560,685031,1247533,427238
11/13/2021,874988,589811,604057,685551,1248185,435297
11/14/2021,875634,590205,604414,685872,1248626,437975
11/15/2021,877059,591066,605153,686667,1250101,442222
11/16/2021,878574,591944,605915,687488,1251708,446346
11/17/2021,879949,592747,606580,688274,1253236,451574
11/18/2021,881465,593537,607262,689092,1254698,455739
11/19/2021,883158,594561,608106,689977,1256009,460720
11/2/2021,861791,582536,597617,678984,1235449,381864
11/20/2021,884242,595267,608724,690570,1256618,467315
11/21/2021,885011,595660,609113,691005,1257042,469013
11/22/2021,886499,596476,609889,692051,1258387,472295
11/23/2021,888259,597338,610738,693058,1259680,475936
11/24/2021,889732,598209,611507,693923,1260817,480086
11/25/2021,889752,598215,611509,693928,1260841,480098
11/26/2021,890892,598892,612103,694678,1261593,482400
11/27/2021,891657,599390,612518,695187,1262113,484114
11/28/2021,892310,599771,612857,695620,1262509,485104
11/29/2021,893577,600574,613567,696495,1263800,487986
11/3/2021,863006,583139,598162,679584,1236715,382773
11/30/2021,895013,601452,614408,697472,1265147,491634
11/4/2021,864177,583762,598723,680198,1238141,385227
11/5/2021,865747,584565,599535,680959,1239527,389191
11/6/2021,866694,585092,599994,681386,1240263,395047
11/7/2021,867363,585486,600308,681671,1240705,397898
11/8/2021,868726,586242,600950,682393,1242131,403047
11/9/2021,870057,586961,601572,683083,1243579,407681
12/1/2020,67,61,70,45,67,2
12/1/2021,896656,602446,615279,698604,1266690,494632
12/10/2020,93,89,104,83,118,5
12/10/2021,908776,609382,621813,706718,1277664,518571
12/11/2020,95,92,109,89,120,5
12/11/2021,909672,609989,622346,707256,1278216,521091
12/12/2020,97,93,114,96,125,5
12/12/2021,910294,610383,622689,707591,1278647,522231
12/13/2020,100,94,118,99,128,5
12/13/2021,911586,611054,623270,708437,1279912,524111
12/14/2020,102,100,121,101,140,5
12/14/2021,912820,611689,623944,709217,1281063,526058
12/15/2020,120,124,146,128,156,5
12/15/2021,914219,612453,624679,710068,1282368,528391
12/16/2020,230,290,332,266,224,5
12/16/2021,915737,613273,625386,711052,1283829,530740
12/17/2020,849,1141,1167,953,514,8
12/17/2021,917135,613984,626125,711893,1285097,533616
12/18/2020,1685,2174,2039,1635,848,9
12/18/2021,918067,614492,626622,712448,1285678,536116
12/19/2020,2275,2904,2631,2067,1064,14
12/19/2021,918965,614959,627015,712862,1286152,537212
12/2/2020,71,65,75,52,78,3
12/2/2021,898123,603318,616113,699722,1268184,497137
12/20/2020,2489,3180,2903,2295,1177,16
12/20/2021,920519,615776,627795,713830,1287538,540101
12/21/2020,3812,4632,4183,3300,1695,21
12/21/2021,922128,616594,628497,714795,1288941,542837
12/22/2020,5584,6704,6006,4778,2390,26
12/22/2021,923741,617427,629258,715738,1290214,545663
12/23/2020,7775,9286,8318,6634,3353,37
12/23/2021,925201,618134,629937,716535,1291292,547676
12/24/2020,8710,10270,9150,7383,3729,40
12/24/2021,925672,618358,630149,716794,1291644,548053
12/25/2020,8747,10306,9180,7409,3748,40
12/25/2021,925675,618361,630151,716798,1291646,548053
12/26/2020,10204,12051,10631,8705,4340,51
12/26/2021,926341,618679,630461,717122,1292034,548679
12/27/2020,10812,12695,11250,9215,4607,59
12/27/2021,927923,619508,631262,718013,1293121,551186
12/28/2020,12874,14900,13289,11073,5919,78
12/28/2021,929544,620294,631973,718909,1294280,554104
12/29/2020,15656,17875,16034,13623,8207,116
12/29/2021,931120,621038,632710,719792,1295351,557130
12/3/2020,78,68,83,58,85,3
12/3/2021,899705,604227,616990,700760,1269533,500424
12/30/2020,18746,21190,19321,16637,10675,146
12/30/2021,932427,621715,633419,720531,1296297,559957
12/31/2020,20432,22873,21011,18244,12266,164
12/31/2021,933009,622020,633765,720862,1296627,560887
12/4/2020,78,71,85,61,89,3
12/4/2021,900715,604853,617537,701396,1270120,503442
12/5/2020,80,71,85,61,91,3
12/5/2021,901437,605260,617903,701801,1270579,504568
12/6/2020,81,72,86,62,92,3
12/6/2021,902847,606081,618683,702801,1272043,506569
12/7/2020,86,75,91,69,97,4
12/7/2021,904347,606893,619463,703803,1273445,509060
12/8/2020,88,77,94,75,104,5
12/8/2021,905883,607708,620256,704755,1274876,512443
12/9/2020,90,81,101,76,113,5
12/9/2021,907309,608531,621038,705807,1276483,515477
2/1/2021,90325,87208,91311,91046,292072,2304
2/10/2021,110190,103408,109890,115031,459476,3932
2/11/2021,112934,105692,112239,118182,482570,4252
2/12/2021,116242,108376,115139,121866,510271,4525
2/13/2021,119926,111211,118179,125183,529960,4862
2/14/2021,120857,111917,119094,126323,537462,4897
2/15/2021,122002,112928,120157,127773,551926,4954
2/16/2021,123901,114296,121670,129789,569034,5099
2/17/2021,126337,116173,123528,132073,586005,5681
2/18/2021,127841,117400,124806,133831,602423,5780
2/19/2021,129809,118899,126373,135757,614694,6155
2/2/2021,92449,89109,93445,93807,310845,2394
2/20/2021,132593,120921,128357,137946,624794,6462
2/21/2021,133286,121553,129043,138774,630819,6509
2/22/2021,134312,122358,129846,139843,638780,6590
2/23/2021,136021,123648,131317,141795,650958,6737
2/24/2021,138342,125504,133263,144457,668259,6933
2/25/2021,140480,127266,135108,146971,687699,7437
2/26/2021,143218,129456,137330,150163,706411,7665
2/27/2021,145277,131164,139091,152608,718968,7865
2/28/2021,146112,131801,139892,154183,726940,7918
2/3/2021,94963,91220,95835,96842,332218,2521
2/4/2021,97529,93306,98424,100055,352490,2670
2/5/2021,100273,95617,101015,103369,370486,2787
2/6/2021,103070,97728,103536,106472,387362,3410
2/7/2021,103747,98330,104171,107267,395393,3436
2/8/2021,105605,99816,105855,109493,413525,3567
2/9/2021,107520,101474,107684,112060,433901,3716
3/1/2021,147941,133303,141638,157035,739344,8140
3/10/2021,167502,148202,158154,237551,849773,10225
3/11/2021,171183,151117,161215,252171,865237,10493
3/12/2021,174950,153831,164374,265406,878711,10742
3/13/2021,177436,155846,166685,276307,886662,10945
3/14/2021,179194,157297,168240,284355,892039,11059
3/15/2021,181768,159423,170789,297136,901726,11272
3/16/2021,185666,162405,174299,309959,912359,11619
3/17/2021,191078,166542,178911,324749,925737,12019
3/18/2021,196141,170597,183763,338840,938066,12368
3/19/2021,202324,175197,188916,352162,948800,12836
3/2/2021,149904,134792,143241,160310,752770,8401
3/20/2021,206681,178664,193194,361515,956520,13170
3/21/2021,209920,181469,196407,367949,960634,13456
3/22/2021,215206,185871,201288,376692,968155,13964
3/23/2021,222205,191307,207142,386334,975828,14714
3/24/2021,232391,199169,215654,395876,983724,16500
3/25/2021,244161,208022,225279,405328,991695,18403
3/26/2021,254730,216031,233960,413737,997919,20378
3/27/2021,263319,222585,240849,418942,1001201,22538
3/28/2021,270035,227580,246340,421729,1003027,24381
3/29/2021,281623,235982,255677,426181,1006473,26910
3/3/2021,151862,136324,145029,165498,768440,8668
3/30/2021,294246,244921,265553,431560,1010773,29648
3/31/2021,308005,254426,276810,437904,1016030,32853
3/4/2021,153926,138041,146856,175396,783238,8930
3/5/2021,156938,140195,149209,186536,796347,9241
3/6/2021,158835,141555,150674,194974,805484,9526
3/7/2021,160068,142516,151702,201642,811372,9600
3/8/2021,161880,143891,153241,212680,823007,9737
3/9/2021,164468,145989,155559,224337,835636,9938
4/1/2021,321236,263551,287976,443831,1021605,35836
4/10/2021,407515,319034,350262,486891,1058293,54985
4/11/2021,412213,321862,353369,488983,1059839,56541
4/12/2021,420082,326792,359135,493457,1063988,58135
4/13/2021,426786,330746,363601,496935,1067100,59627
4/14/2021,434288,335209,368293,500282,1069866,61211
4/15/2021,442357,340711,373468,504020,1072916,62674
4/16/2021,449363,345341,378279,507506,1075688,64120
4/17/2021,454077,348562,381948,510047,1077710,65531
4/18/2021,456807,350201,383786,511305,1078653,66444
4/19/2021,461943,353561,387310,514189,1081262,67706
4/2/2021,332287,271104,296742,448861,1025702,38552
4/20/2021,466909,356660,390741,516826,1083766,68888
4/21/2021,473235,360812,394924,519975,1086588,70264
4/22/2021,479306,364713,398883,522952,1089225,71477
4/23/2021,485304,368761,402893,526056,1091613,72963
4/24/2021,489073,371079,405423,528039,1093168,74400
4/25/2021,491517,372481,406922,529059,1093914,75347
4/26/2021,495937,375329,409930,531505,1096031,76655
4/27/2021,500623,378256,413148,534063,1098367,77724
4/28/2021,505602,381154,416361,536736,1100936,78878
4/29/2021,510297,383893,419246,539241,1103399,79854
4/3/2021,339651,276009,302434,452117,1028071,40609
4/30/2021,515456,386886,422594,542090,1105952,81031
4/4/2021,343396,278120,304870,453424,1028958,41627
4/5/2021,352818,283950,311620,458413,1033459,43724
4/6/2021,363466,290502,319371,464246,1039149,45990
4/7/2021,375842,299041,328241,470468,1044570,48233
4/8/2021,387495,306627,336468,476826,1050353,50321
4/9/2021,399244,313756,344563,482915,1055362,52760
5/1/2021,518488,388696,424671,543819,1107156,81949
5/10/2021,545115,404005,440527,557532,1119607,88537
5/11/2021,548135,405598,442199,559076,1121102,89323
5/12/2021,551226,407357,444015,560607,1122580,90742
5/13/2021,554608,409334,445988,562161,1123958,98404
5/14/2021,558578,411704,448338,563994,1125525,106489
5/15/2021,561288,413427,450086,565384,1126411,116213
5/16/2021,563197,414508,451173,566187,1126962,120714
5/17/2021,566772,416536,453365,567899,1128539,125638
5/18/2021,570228,418469,455302,569498,1130091,129733
5/19/2021,573870,420457,457404,571243,1131633,135172
5/2/2021,520525,389884,425893,544746,1107796,82573
5/20/2021,577116,422379,459251,572842,1133023,139363
5/21/2021,580749,424555,461429,574509,1134350,145505
5/22/2021,583565,426138,463118,575728,1135123,151573
5/23/2021,585223,427064,463998,576379,1135512,153702
5/24/2021,588022,428618,465513,577691,1136614,156856
5/25/2021,590624,430134,467005,578951,1137649,159590
5/26/2021,593460,431651,468449,580053,1138653,162674
5/27/2021,595986,433071,469826,581195,1139584,165756
5/28/2021,598754,434673,471442,582472,1140574,169184
5/29/2021,600501,435644,472471,583254,1141057,171156
5/3/2021,523694,391591,427744,546460,1109451,83277
5/30/2021,601583,436270,473078,583711,1141292,172169
5/31/2021,602103,436588,473371,583945,1141458,172621
5/4/2021,527608,393835,430064,548508,1111518,84088
5/5/2021,531440,396071,432352,550424,1113284,84938
5/6/2021,535214,398247,434528,552344,1115104,85819
5/7/2021,538804,400444,436760,554282,1116856,86811
5/8/2021,541164,401819,438288,555526,1117781,87569
5/9/2021,542578,402617,439143,556220,1118245,88006
6/1/2021,604726,438033,474792,584970,1142419,175271
6/10/2021,622163,447784,483996,592211,1148380,194905
6/11/2021,624514,449230,485327,593131,1149073,198194
6/12/2021,625912,450153,486215,593642,1149345,200107
6/13/2021,626538,450499,486592,593905,1149489,200514
6/14/2021,628234,451434,487462,594606,1149989,202402
6/15/2021,629911,452402,488258,595235,1150465,204260
6/16/2021,631773,453394,489150,595879,1150959,206235
6/17/2021,633483,454413,490000,596575,1151519,208059
6/18/2021,635631,455586,491083,597404,1152135,209958
6/19/2021,636755,456287,491706,597866,1152420,211126
6/2/2021,606945,439266,476082,585953,1143283,178061
6/20/2021,637429,456651,492009,598136,1152542,211652
6/21/2021,639087,457508,492855,598740,1153050,213316
