Category,value
Apache,567
Cochise,502
Coconino,433
Gila,332
Graham,163
Greenlee,30
La Paz,115
Maricopa,"14,574"
Mohave,"1,268"
Navajo,796
Pima,"3,395"
Pinal,"1,422"
Santa Cruz,209
Yavapai,"1,050"
Yuma,"1,043"
Female,10707
Male,15179
20-44y,1439
45-54y,2042
55-64y,4147
65+,18213
<20y,58
"White, non-Hispanic",13629
Hispanic or Latino,6976
"American Indian or Alaska Native, non-Hispanic",1841
"Black or African American, non-Hispanic",794
"Asian or Pacific Islander, non-Hispanic",311
Other Race,709
Unknown,1639
