date,pcr_tests_GRAHAM,pcr_pos_test_GRAHAM,pcr_positivity_GRAHAM
2022-01-27 00:00:00,20,7,0.35
2022-01-26 00:00:00,95,34,0.3578947368421053
2022-01-25 00:00:00,105,42,0.4
2022-01-24 00:00:00,122,47,0.3852459016393443
2022-01-23 00:00:00,18,6,0.3333333333333333
2022-01-22 00:00:00,24,9,0.375
2022-01-21 00:00:00,84,33,0.3928571428571429
2022-01-20 00:00:00,97,34,0.3505154639175258
2022-01-19 00:00:00,111,38,0.3423423423423424
2022-01-18 00:00:00,237,78,0.3291139240506329
2022-01-17 00:00:00,112,55,0.4910714285714286
2022-01-16 00:00:00,20,5,0.25
2022-01-15 00:00:00,28,3,0.1071428571428571
2022-01-14 00:00:00,122,45,0.3688524590163935
2022-01-13 00:00:00,127,27,0.2125984251968504
2022-01-12 00:00:00,100,20,0.2
2022-01-11 00:00:00,127,31,0.2440944881889764
2022-01-10 00:00:00,93,31,0.3333333333333333
2022-01-09 00:00:00,11,4,0.3636363636363637
2022-01-08 00:00:00,17,5,0.2941176470588236
2022-01-07 00:00:00,96,13,0.1354166666666667
2022-01-06 00:00:00,86,13,0.1511627906976744
2022-01-05 00:00:00,143,18,0.1258741258741259
2022-01-04 00:00:00,68,8,0.1176470588235294
2022-01-03 00:00:00,56,9,0.1607142857142857
2022-01-02 00:00:00,20,1,0.05
2022-01-01 00:00:00,11,0,0
2021-12-31 00:00:00,34,7,0.2058823529411765
2021-12-30 00:00:00,97,2,0.0206185567010309
2021-12-29 00:00:00,39,3,0.0769230769230769
2021-12-28 00:00:00,61,1,0.0163934426229508
2021-12-27 00:00:00,17,3,0.1764705882352941
2021-12-26 00:00:00,24,1,0.0416666666666667
2021-12-25 00:00:00,5,1,0.2
2021-12-24 00:00:00,28,1,0.0357142857142857
2021-12-23 00:00:00,40,7,0.175
2021-12-22 00:00:00,44,3,0.0681818181818182
2021-12-21 00:00:00,44,1,0.0227272727272727
2021-12-20 00:00:00,46,2,0.0434782608695652
2021-12-19 00:00:00,14,1,0.0714285714285714
2021-12-18 00:00:00,6,2,0.3333333333333333
2021-12-17 00:00:00,12,1,0.0833333333333333
2021-12-16 00:00:00,30,2,0.0666666666666667
2021-12-15 00:00:00,45,3,0.0666666666666667
2021-12-14 00:00:00,39,2,0.0512820512820513
2021-12-13 00:00:00,119,6,0.0504201680672269
2021-12-12 00:00:00,12,2,0.1666666666666667
2021-12-11 00:00:00,4,0,0
2021-12-10 00:00:00,17,0,0
2021-12-09 00:00:00,32,6,0.1875
2021-12-08 00:00:00,45,10,0.2222222222222222
2021-12-07 00:00:00,30,2,0.0666666666666667
2021-12-06 00:00:00,37,0,0
2021-12-05 00:00:00,12,3,0.25
2021-12-04 00:00:00,11,2,0.1818181818181818
2021-12-03 00:00:00,36,2,0.0555555555555556
2021-12-02 00:00:00,50,3,0.06
2021-12-01 00:00:00,46,3,0.0652173913043478
2021-11-30 00:00:00,92,3,0.0326086956521739
2021-11-29 00:00:00,77,10,0.1298701298701299
2021-11-28 00:00:00,26,4,0.1538461538461539
2021-11-27 00:00:00,33,4,0.1212121212121212
2021-11-26 00:00:00,102,8,0.0784313725490196
2021-11-25 00:00:00,19,4,0.2105263157894737
2021-11-24 00:00:00,74,14,0.1891891891891892
2021-11-23 00:00:00,110,13,0.1181818181818182
2021-11-22 00:00:00,66,15,0.2272727272727273
2021-11-21 00:00:00,5,1,0.2
2021-11-20 00:00:00,14,3,0.2142857142857143
2021-11-19 00:00:00,37,8,0.2162162162162162
2021-11-18 00:00:00,86,12,0.1395348837209302
2021-11-17 00:00:00,52,12,0.2307692307692308
2021-11-16 00:00:00,60,7,0.1166666666666667
2021-11-15 00:00:00,65,13,0.2
2021-11-14 00:00:00,9,1,0.1111111111111111
2021-11-13 00:00:00,13,0,0
2021-11-12 00:00:00,45,5,0.1111111111111111
2021-11-11 00:00:00,62,6,0.0967741935483871
2021-11-10 00:00:00,79,10,0.1265822784810127
2021-11-09 00:00:00,74,5,0.0675675675675676
2021-11-08 00:00:00,98,15,0.1530612244897959
2021-11-07 00:00:00,19,1,0.0526315789473684
2021-11-06 00:00:00,5,0,0
2021-11-05 00:00:00,38,3,0.0789473684210526
2021-11-04 00:00:00,72,4,0.0555555555555556
2021-11-03 00:00:00,163,7,0.0429447852760736
2021-11-02 00:00:00,65,7,0.1076923076923077
2021-11-01 00:00:00,83,15,0.1807228915662651
2021-10-31 00:00:00,12,0,0
2021-10-30 00:00:00,10,0,0
2021-10-29 00:00:00,103,2,0.0194174757281553
2021-10-28 00:00:00,66,6,0.0909090909090909
2021-10-27 00:00:00,65,6,0.0923076923076923
2021-10-26 00:00:00,84,11,0.130952380952381
2021-10-25 00:00:00,99,24,0.2424242424242425
2021-10-24 00:00:00,15,0,0
2021-10-23 00:00:00,13,0,0
2021-10-22 00:00:00,47,7,0.148936170212766
2021-10-21 00:00:00,60,13,0.2166666666666667
2021-10-20 00:00:00,96,14,0.1458333333333334
2021-10-19 00:00:00,105,19,0.180952380952381
2021-10-18 00:00:00,185,9,0.0486486486486487
2021-10-17 00:00:00,25,7,0.2800000000000001
2021-10-16 00:00:00,16,7,0.4375
2021-10-15 00:00:00,67,8,0.1194029850746269
2021-10-14 00:00:00,106,15,0.1415094339622642
2021-10-13 00:00:00,56,10,0.1785714285714286
2021-10-12 00:00:00,115,9,0.0782608695652174
2021-10-11 00:00:00,61,13,0.2131147540983607
2021-10-10 00:00:00,13,5,0.3846153846153847
2021-10-09 00:00:00,19,2,0.1052631578947368
2021-10-08 00:00:00,50,6,0.12
2021-10-07 00:00:00,97,5,0.0515463917525773
2021-10-06 00:00:00,78,8,0.1025641025641026
2021-10-05 00:00:00,65,7,0.1076923076923077
2021-10-04 00:00:00,99,14,0.1414141414141414
2021-10-03 00:00:00,36,3,0.0833333333333333
2021-10-02 00:00:00,84,5,0.0595238095238095
2021-10-01 00:00:00,61,9,0.1475409836065574
2021-09-30 00:00:00,98,8,0.0816326530612245
2021-09-29 00:00:00,85,13,0.1529411764705883
2021-09-28 00:00:00,194,8,0.0412371134020619
2021-09-27 00:00:00,97,24,0.2474226804123712
2021-09-26 00:00:00,19,2,0.1052631578947368
2021-09-25 00:00:00,85,3,0.0352941176470588
2021-09-24 00:00:00,84,9,0.1071428571428571
2021-09-23 00:00:00,80,9,0.1125
2021-09-22 00:00:00,72,14,0.1944444444444445
2021-09-21 00:00:00,177,12,0.0677966101694915
2021-09-20 00:00:00,145,15,0.103448275862069
2021-09-19 00:00:00,12,2,0.1666666666666667
2021-09-18 00:00:00,29,3,0.103448275862069
2021-09-17 00:00:00,152,15,0.0986842105263158
2021-09-16 00:00:00,119,14,0.1176470588235294
2021-09-15 00:00:00,120,20,0.1666666666666667
