date,Pima_cume,Pima
2020-12-01,96,
2020-12-02,103,7
2020-12-03,112,9
2020-12-04,115,3
2020-12-05,116,1
2020-12-06,118,2
2020-12-07,122,4
2020-12-08,125,3
2020-12-09,136,11
2020-12-10,140,4
2020-12-11,149,9
2020-12-12,155,6
2020-12-13,157,2
2020-12-14,164,7
2020-12-15,194,30
2020-12-16,204,10
2020-12-17,1423,1219
2020-12-18,2798,1375
2020-12-19,3534,736
2020-12-20,3562,28
2020-12-21,5074,1512
2020-12-22,6638,1564
2020-12-23,8525,1887
2020-12-24,9593,1068
2020-12-25,9602,9
2020-12-26,10393,791
2020-12-27,10569,176
2020-12-28,12368,1799
2020-12-29,14309,1941
2020-12-30,16405,2096
2020-12-31,17968,1563
2021-01-01,19128,1160
2021-01-02,19800,672
2021-01-03,20174,374
2021-01-04,22008,1834
2021-01-05,23782,1774
2021-01-06,25900,2118
2021-01-07,28116,2216
2021-01-08,30759,2643
2021-01-09,32313,1554
2021-01-10,32773,460
2021-01-11,35617,2844
2021-01-12,38453,2836
2021-01-13,41045,2592
2021-01-14,43606,2561
2021-01-15,47810,4204
2021-01-16,49269,1459
2021-01-17,49833,564
2021-01-18,53836,4003
2021-01-19,58005,4169
2021-01-20,62958,4953
2021-01-21,68510,5552
2021-01-22,75173,6663
2021-01-23,77847,2674
2021-01-24,78955,1108
2021-01-25,86221,7266
2021-01-26,93021,6800
2021-01-27,100425,7404
2021-01-28,107439,7014
2021-01-29,114672,7233
2021-01-30,118509,3837
2021-01-31,119951,1442
2021-02-01,127138,7187
2021-02-02,133736,6598
2021-02-03,140882,7146
2021-02-04,148209,7327
2021-02-05,157018,8809
2021-02-06,161349,4331
2021-02-07,162651,1302
2021-02-08,169762,7111
2021-02-09,176174,6412
2021-02-10,183927,7753
2021-02-11,191880,7953
2021-02-12,200834,8954
2021-02-13,205395,4561
2021-02-14,206516,1121
2021-02-15,212822,6306
2021-02-16,219929,7107
2021-02-17,227590,7661
2021-02-18,235235,7645
2021-02-19,241148,5913
2021-02-20,244601,3453
2021-02-21,245542,941
2021-02-22,250932,5390
2021-02-23,257278,6346
2021-02-24,265498,8220
2021-02-25,275526,10028
2021-02-26,287578,12052
2021-02-27,294244,6666
2021-02-28,298126,3882
2021-03-01,309288,11162
2021-03-02,318144,8856
2021-03-03,328368,10224
2021-03-04,336988,8620
2021-03-05,347206,10218
2021-03-06,353723,6517
2021-03-07,357873,4150
2021-03-08,368278,10405
2021-03-09,378561,10283
2021-03-10,390863,12302
2021-03-11,402902,12039
2021-03-12,415666,12764
2021-03-13,423100,7434
2021-03-14,427042,3942
2021-03-15,436236,9194
2021-03-16,446066,9830
2021-03-17,457059,10993
2021-03-18,467951,10892
2021-03-19,479657,11706
2021-03-20,486468,6811
2021-03-21,492406,5938
2021-03-22,501385,8979
2021-03-23,511710,10325
2021-03-24,523766,12056
2021-03-25,537246,13480
2021-03-26,551525,14279
2021-03-27,560347,8822
2021-03-28,566246,5899
2021-03-29,576897,10651
2021-03-30,589042,12145
2021-03-31,602831,13789
2021-04-01,616547,13716
2021-04-02,629431,12884
2021-04-03,637548,8117
2021-04-04,642404,4856
2021-04-05,654486,12082
2021-04-06,666543,12057
2021-04-07,681104,14561
2021-04-08,695203,14099
2021-04-09,709725,14522
2021-04-10,718240,8515
2021-04-11,722969,4729
2021-04-12,733619,10650
2021-04-13,743418,9799
2021-04-14,754825,11407
2021-04-15,766655,11830
2021-04-16,778864,12209
2021-04-17,785320,6456
2021-04-18,789848,4528
2021-04-19,798801,8953
2021-04-20,808169,9368
