Category,Coconino
Total_doses_administered,212735
Total_people_one_dose,94035
Total_people_complete,82970
total_pouluation,94035
Male-65 years and older,8445
Male-55-64 years,6060
Male-45-54 years,5783
Male-20-44 years,17580
Male-Less than 20 years,6899
Female-65 years and older,9458
Female-55-64 years,6737
Female-45-54 years,5757
Female-20-44 years,20054
Female-Less than 20 years,7084
"Black or African American, non-Hispanic",827
"Asian or Pacific Islander, non-Hispanic",1725
Hispanic or Latino,7640
Other Race,8061
Unknown,11363
"American Indian or Alaska Native, non-Hispanic",24069
"White, non-Hispanic",40350
