date,20-34_Maricopa,35-44_Maricopa,45-54_Maricopa,55-64_Maricopa,65+_Maricopa,<20_Maricopa
1/1/2021,11620,13354,12547,10059,6365,96
1/1/2022,557622,385940,396784,413466,668424,321521
1/10/2021,19791,20496,19564,16308,12344,201
1/10/2022,563546,388794,399453,415843,670604,331855
1/11/2021,21018,21627,20812,17296,14225,233
1/11/2022,564287,389199,399770,416119,670871,333076
1/12/2021,22990,23618,22852,19000,19080,308
1/12/2022,564952,389538,400081,416425,671106,334496
1/13/2021,24988,25762,25111,20701,24686,368
1/13/2022,565814,389918,400394,416720,671365,335730
1/14/2021,26916,27916,27438,22641,30781,400
1/14/2022,566624,390294,400671,416965,671556,337350
1/15/2021,29121,29924,29608,24444,35735,451
1/15/2022,567083,390547,400858,417123,671651,338626
1/16/2021,30483,31113,30917,25625,38956,479
1/16/2022,567324,390658,400955,417211,671709,339030
1/17/2021,31442,32008,31891,26602,42133,500
1/17/2022,567843,390914,401198,417420,671854,340088
1/18/2021,32480,32958,33053,27728,47377,523
1/18/2022,568506,391221,401460,417622,672059,341027
1/19/2021,33742,34167,34394,29033,53689,578
1/19/2022,569249,391553,401732,417867,672252,342266
1/2/2021,13138,14763,13836,11161,7152,114
1/2/2022,557899,386076,396917,413582,668533,321827
1/20/2021,35043,35464,36041,30576,60760,610
1/20/2022,569895,391840,401995,418102,672444,343328
1/21/2021,36506,36964,37948,32448,69051,654
1/21/2022,570522,392161,402262,418297,672615,344540
1/22/2021,39367,39608,40926,35477,77066,731
1/22/2022,570904,392391,402419,418451,672712,345430
1/23/2021,41958,41691,43427,37971,81980,790
1/23/2022,571153,392513,402547,418520,672755,345801
1/24/2021,43224,42858,44728,39388,87148,829
1/24/2022,571736,392786,402767,418744,672942,346718
1/25/2021,44529,44021,46163,40996,94709,868
1/25/2022,572202,393022,402998,418921,673096,347523
1/26/2021,46187,45489,47901,42904,105660,914
1/26/2022,572724,393262,403203,419090,673239,348441
1/27/2021,47661,46821,49426,44578,116103,942
1/27/2022,573242,393505,403396,419267,673384,349245
1/28/2021,48863,47916,50666,46006,127044,970
1/28/2022,573731,393739,403601,419444,673516,350257
1/29/2021,50898,49608,52402,47846,137857,1027
