date,Graham_cume,Graham
2020-12-17,79,
2020-12-18,146,67
2020-12-21,192,46
2020-12-22,235,43
2020-12-23,361,126
2020-12-24,412,51
2020-12-26,422,10
2020-12-27,424,2
2020-12-28,579,155
2020-12-29,732,153
2020-12-30,849,117
2020-12-31,917,68
2021-01-01,923,6
2021-01-02,926,3
2021-01-04,1057,131
2021-01-05,1168,111
2021-01-06,1287,119
2021-01-07,1520,233
2021-01-08,1782,262
2021-01-09,1784,2
2021-01-11,1903,119
2021-01-12,2059,156
2021-01-13,2261,202
2021-01-14,2535,274
2021-01-15,3138,603
2021-01-16,3193,55
2021-01-17,3194,1
2021-01-18,3309,115
2021-01-19,3593,284
2021-01-20,3848,255
2021-01-21,4067,219
2021-01-22,4339,272
2021-01-23,4583,244
2021-01-24,4585,2
2021-01-25,4744,159
2021-01-26,4904,160
2021-01-27,5110,206
2021-01-28,5360,250
2021-01-29,5759,399
2021-01-30,5859,100
2021-01-31,5860,1
2021-02-01,6019,159
2021-02-02,6214,195
2021-02-03,6448,234
2021-02-04,6709,261
2021-02-05,7041,332
2021-02-06,7303,262
2021-02-07,7304,1
2021-02-08,7483,179
2021-02-09,7677,194
2021-02-10,7887,210
2021-02-11,8250,363
2021-02-12,8943,693
2021-02-13,9146,203
2021-02-14,9148,2
2021-02-15,9258,110
2021-02-16,9449,191
2021-02-17,9654,205
2021-02-18,10005,351
2021-02-19,10353,348
2021-02-20,10682,329
2021-02-21,10683,1
2021-02-22,10835,152
2021-02-23,11043,208
2021-02-24,11299,256
2021-02-25,11581,282
2021-02-26,11892,311
2021-02-27,11923,31
2021-02-28,11934,11
2021-03-01,12105,171
2021-03-02,12328,223
2021-03-03,12558,230
2021-03-04,12790,232
2021-03-05,12986,196
2021-03-06,13247,261
2021-03-07,13248,1
2021-03-08,13406,158
2021-03-09,13637,231
2021-03-10,13904,267
2021-03-11,14193,289
2021-03-12,14448,255
2021-03-13,14705,257
2021-03-14,14707,2
2021-03-15,14927,220
2021-03-16,15097,170
2021-03-17,15317,220
2021-03-18,15545,228
2021-03-19,15707,162
2021-03-20,15719,12
2021-03-22,15888,169
2021-03-23,16124,236
2021-03-24,16360,236
2021-03-25,16594,234
2021-03-26,16770,176
2021-03-27,16890,120
2021-03-28,16894,4
2021-03-29,17092,198
2021-03-30,17260,168
2021-03-31,17527,267
2021-04-01,17741,214
2021-04-02,17834,93
2021-04-03,17847,13
2021-04-04,17854,7
2021-04-05,17984,130
2021-04-06,18162,178
2021-04-07,18458,296
2021-04-08,18755,297
2021-04-09,18870,115
2021-04-10,18997,127
2021-04-11,19002,5
2021-04-12,19071,69
2021-04-13,19188,117
2021-04-14,19389,201
2021-04-15,19526,137
2021-04-16,19674,148
2021-04-17,19696,22
2021-04-19,19774,78
2021-04-20,19953,179
2021-04-21,20152,199
2021-04-22,20377,225
2021-04-23,20524,147
2021-04-24,20634,110
2021-04-25,20636,2
2021-04-26,20764,128
2021-04-27,20890,126
2021-04-28,21018,128
2021-04-29,21227,209
2021-04-30,21271,44
2021-05-01,21294,23
2021-05-02,21298,4
2021-05-03,21346,48
2021-05-04,21441,95
2021-05-05,21628,187
2021-05-06,21806,178
2021-05-07,21853,47
2021-05-08,21898,45
2021-05-09,21899,1
2021-05-10,21932,33
2021-05-11,21995,63
2021-05-12,22130,135
2021-05-13,22263,133
2021-05-14,22363,100
2021-05-15,22385,22
2021-05-16,22390,5
2021-05-17,22460,70
2021-05-18,22535,75
2021-05-19,22656,121
2021-05-20,22802,146
2021-05-21,22894,92
2021-05-22,22935,41
2021-05-23,22938,3
2021-05-24,22994,56
2021-05-25,23069,75
2021-05-26,23116,47
2021-05-27,23200,84
2021-05-28,23257,57
2021-05-29,23264,7
2021-05-30,23268,4
2021-05-31,23273,5
2021-06-01,23334,61
2021-06-02,23403,69
2021-06-03,23463,60
2021-06-04,23543,80
2021-06-05,23554,11
2021-06-06,23559,5
2021-06-07,23589,30
2021-06-08,23626,37
2021-06-09,23651,25
2021-06-10,23774,123
2021-06-11,23810,36
2021-06-12,23826,16
2021-06-13,23829,3
2021-06-14,23890,61
2021-06-15,23942,52
2021-06-16,23984,42
2021-06-17,24042,58
2021-06-18,24111,69
2021-06-19,24127,16
2021-06-20,24131,4
2021-06-21,24168,37
2021-06-22,24207,39
2021-06-23,24234,27
2021-06-24,24269,35
2021-06-25,24323,54
2021-06-26,24331,8
2021-06-27,24333,2
2021-06-28,24379,46
2021-06-29,24423,44
2021-06-30,24489,66
2021-07-01,24535,46
2021-07-02,24569,34
2021-07-03,24584,15
2021-07-05,24606,22
2021-07-06,24635,29
2021-07-07,24685,50
2021-07-08,24755,70
2021-07-09,24806,51
2021-07-10,24828,22
2021-07-11,24830,2
2021-07-12,24867,37
2021-07-13,24904,37
2021-07-14,24956,52
2021-07-15,25013,57
2021-07-16,25069,56
2021-07-17,25081,12
2021-07-18,25089,8
2021-07-19,25148,59
2021-07-20,25201,53
2021-07-21,25278,77
2021-07-22,25378,100
2021-07-23,25485,107
2021-07-24,25527,42
2021-07-25,25531,4
2021-07-26,25641,110
2021-07-27,25730,89
2021-07-28,25811,81
2021-07-29,25902,91
2021-07-30,25988,86
2021-07-31,26024,36
2021-08-01,26031,7
2021-08-02,26102,71
2021-08-03,26150,48
2021-08-04,26254,104
2021-08-05,26351,97
2021-08-06,26448,97
2021-08-07,26472,24
2021-08-08,26481,9
2021-08-09,26568,87
2021-08-10,26625,57
2021-08-11,26720,95
2021-08-12,26856,136
2021-08-13,26997,141
2021-08-14,27019,22
2021-08-15,27030,11
2021-08-16,27123,93
2021-08-17,27249,126
2021-08-18,27366,117
2021-08-19,27539,173
2021-08-20,27739,200
2021-08-21,27932,193
2021-08-22,27945,13
2021-08-23,28129,184
2021-08-24,28272,143
2021-08-25,28436,164
2021-08-26,28634,198
2021-08-27,28877,243
2021-08-28,28917,40
2021-08-29,28979,62
2021-08-30,29146,167
2021-08-31,29247,101
2021-09-01,29364,117
2021-09-02,29500,136
2021-09-03,29649,149
2021-09-04,29682,33
2021-09-05,29688,6
2021-09-06,29702,14
2021-09-07,29775,73
2021-09-08,29884,109
2021-09-09,30040,156
2021-09-10,30187,147
2021-09-11,30246,59
2021-09-12,30263,17
2021-09-13,30348,85
2021-09-14,30447,99
2021-09-15,30531,84
2021-09-16,30646,115
2021-09-17,30770,124
2021-09-18,30833,63
2021-09-19,30839,6
2021-09-20,30933,94
2021-09-21,30988,55
2021-09-22,31073,85
2021-09-23,31218,145
2021-09-24,31316,98
2021-09-25,31337,21
2021-09-26,31338,1
2021-09-27,31385,47
2021-09-28,31439,54
2021-09-29,31518,79
2021-09-30,31628,110
2021-10-01,31706,78
2021-10-02,31734,28
2021-10-03,31743,9
2021-10-04,31782,39
2021-10-05,31837,55
2021-10-06,31877,40
2021-10-07,31956,79
2021-10-08,32012,56
2021-10-09,32038,26
2021-10-10,32049,11
2021-10-11,32101,52
2021-10-12,32154,53
2021-10-13,32211,57
2021-10-14,32290,79
2021-10-15,32349,59
2021-10-16,32382,33
2021-10-17,32388,6
2021-10-18,32419,31
2021-10-19,32452,33
2021-10-20,32497,45
2021-10-21,32579,82
2021-10-22,32644,65
2021-10-23,32674,30
2021-10-24,32682,8
2021-10-25,32725,43
2021-10-26,32783,58
2021-10-27,32851,68
2021-10-28,33016,165
2021-10-29,33090,74
2021-10-30,33212,122
2021-10-31,33216,4
2021-11-01,33326,110
2021-11-02,33385,59
2021-11-03,33470,85
2021-11-04,33636,166
2021-11-05,33772,136
2021-11-06,33790,18
2021-11-07,33802,12
2021-11-08,33929,127
2021-11-09,34028,99
2021-11-10,34110,82
2021-11-11,34189,79
2021-11-12,34303,114
2021-11-13,34395,92
2021-11-14,34400,5
2021-11-15,34535,135
2021-11-16,34647,112
2021-11-17,34709,62
2021-11-18,34965,256
2021-11-19,35115,150
2021-11-20,35148,33
2021-11-21,35159,11
2021-11-22,35307,148
2021-11-23,35376,69
2021-11-24,35444,68
2021-11-26,35489,45
2021-11-27,35515,26
2021-11-28,35520,5
2021-11-29,35674,154
2021-11-30,35836,162
2021-12-01,35966,130
2021-12-02,36169,203
2021-12-03,36385,216
2021-12-04,36481,96
2021-12-05,36490,9
2021-12-06,36633,143
2021-12-07,36741,108
2021-12-08,36804,63
2021-12-09,36992,188
2021-12-10,37157,165
2021-12-11,37181,24
2021-12-12,37192,11
2021-12-13,37316,124
2021-12-14,37401,85
2021-12-15,37461,60
2021-12-16,37702,241
2021-12-17,37853,151
2021-12-18,37879,26
2021-12-19,37902,23
2021-12-20,38062,160
2021-12-21,38159,97
2021-12-22,38265,106
2021-12-23,38325,60
2021-12-24,38351,26
2021-12-25,38354,3
2021-12-26,38367,13
2021-12-27,38534,167
2021-12-28,38686,152
2021-12-29,38792,106
2021-12-30,38942,150
2021-12-31,39050,108
2022-01-01,39054,4
2022-01-02,39058,4
2022-01-03,39293,235
2022-01-04,39387,94
2022-01-05,39460,73
2022-01-06,39673,213
2022-01-07,39845,172
2022-01-08,39982,137
2022-01-09,39993,11
2022-01-10,40183,190
2022-01-11,40275,92
2022-01-12,40462,187
2022-01-13,40641,179
