date,pcr_tests_SANTA_CRUZ,pcr_pos_test_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ
2022-02-17 00:00:00,13,0,0
2022-02-16 00:00:00,138,10,0.072463768115942
2022-02-15 00:00:00,105,3,0.0285714285714286
2022-02-14 00:00:00,129,19,0.1472868217054264
2022-02-13 00:00:00,26,3,0.1153846153846154
2022-02-12 00:00:00,24,6,0.25
2022-02-11 00:00:00,128,26,0.203125
2022-02-10 00:00:00,296,30,0.1013513513513514
2022-02-09 00:00:00,222,34,0.1531531531531532
2022-02-08 00:00:00,262,40,0.1526717557251909
2022-02-07 00:00:00,224,55,0.2455357142857143
2022-02-06 00:00:00,45,24,0.5333333333333334
2022-02-05 00:00:00,47,12,0.2553191489361702
2022-02-04 00:00:00,622,78,0.1254019292604502
2022-02-03 00:00:00,208,67,0.3221153846153847
2022-02-02 00:00:00,528,102,0.1931818181818182
2022-02-01 00:00:00,420,103,0.2452380952380953
2022-01-31 00:00:00,350,122,0.3485714285714286
2022-01-30 00:00:00,94,38,0.4042553191489362
2022-01-29 00:00:00,74,25,0.3378378378378379
2022-01-28 00:00:00,524,124,0.2366412213740458
2022-01-27 00:00:00,638,160,0.2507836990595611
2022-01-26 00:00:00,669,214,0.3198804185351271
2022-01-25 00:00:00,632,214,0.3386075949367089
2022-01-24 00:00:00,798,311,0.3897243107769424
2022-01-23 00:00:00,105,44,0.4190476190476191
2022-01-22 00:00:00,102,42,0.4117647058823529
2022-01-21 00:00:00,705,260,0.3687943262411348
2022-01-20 00:00:00,906,343,0.3785871964679912
2022-01-19 00:00:00,1066,350,0.3283302063789869
2022-01-18 00:00:00,696,332,0.4770114942528736
2022-01-17 00:00:00,510,237,0.4647058823529412
2022-01-16 00:00:00,126,57,0.4523809523809524
2022-01-15 00:00:00,156,73,0.467948717948718
2022-01-14 00:00:00,731,208,0.2845417236662107
2022-01-13 00:00:00,812,276,0.3399014778325123
2022-01-12 00:00:00,1060,321,0.3028301886792453
2022-01-11 00:00:00,929,348,0.3745963401506997
2022-01-10 00:00:00,686,253,0.3688046647230321
2022-01-09 00:00:00,144,49,0.3402777777777778
2022-01-08 00:00:00,135,45,0.3333333333333333
2022-01-07 00:00:00,475,129,0.2715789473684211
2022-01-06 00:00:00,814,193,0.2371007371007371
2022-01-05 00:00:00,652,144,0.2208588957055215
2022-01-04 00:00:00,814,190,0.2334152334152334
2022-01-03 00:00:00,609,188,0.3087027914614122
2022-01-02 00:00:00,103,28,0.2718446601941748
2022-01-01 00:00:00,30,10,0.3333333333333333
2021-12-31 00:00:00,102,18,0.1764705882352941
2021-12-30 00:00:00,342,64,0.1871345029239766
2021-12-29 00:00:00,395,66,0.1670886075949367
2021-12-28 00:00:00,329,69,0.209726443768997
2021-12-27 00:00:00,270,46,0.1703703703703704
2021-12-26 00:00:00,82,13,0.1585365853658537
2021-12-25 00:00:00,35,6,0.1714285714285714
2021-12-24 00:00:00,86,15,0.1744186046511628
2021-12-23 00:00:00,154,16,0.1038961038961039
2021-12-22 00:00:00,208,16,0.0769230769230769
2021-12-21 00:00:00,211,10,0.04739336492891
2021-12-20 00:00:00,177,7,0.0395480225988701
2021-12-19 00:00:00,64,2,0.03125
2021-12-18 00:00:00,69,4,0.0579710144927536
2021-12-17 00:00:00,170,14,0.0823529411764706
2021-12-16 00:00:00,198,11,0.0555555555555556
2021-12-15 00:00:00,216,14,0.0648148148148148
2021-12-14 00:00:00,269,34,0.1263940520446097
2021-12-13 00:00:00,257,24,0.0933852140077821
2021-12-12 00:00:00,62,5,0.0806451612903226
2021-12-11 00:00:00,83,11,0.1325301204819277
2021-12-10 00:00:00,178,9,0.050561797752809
2021-12-09 00:00:00,279,23,0.0824372759856631
2021-12-08 00:00:00,297,26,0.0875420875420876
2021-12-07 00:00:00,308,42,0.1363636363636364
2021-12-06 00:00:00,268,31,0.1156716417910448
2021-12-05 00:00:00,39,6,0.1538461538461539
2021-12-04 00:00:00,70,13,0.1857142857142857
2021-12-03 00:00:00,209,26,0.1244019138755981
2021-12-02 00:00:00,238,18,0.0756302521008403
2021-12-01 00:00:00,191,29,0.1518324607329843
2021-11-30 00:00:00,360,44,0.1222222222222222
2021-11-29 00:00:00,352,44,0.125
2021-11-28 00:00:00,90,15,0.1666666666666667
2021-11-27 00:00:00,50,8,0.16
