date,pcr_tests_LA_PAZ,pcr_pos_test_LA_PAZ,pcr_positivity_LA_PAZ
2022-02-17 00:00:00,39,6,0.1538461538461539
2022-02-16 00:00:00,67,6,0.0895522388059702
2022-02-15 00:00:00,355,14,0.0394366197183099
2022-02-14 00:00:00,65,6,0.0923076923076923
2022-02-13 00:00:00,27,7,0.2592592592592593
2022-02-12 00:00:00,20,5,0.25
2022-02-11 00:00:00,43,8,0.186046511627907
2022-02-10 00:00:00,248,18,0.0725806451612903
2022-02-09 00:00:00,86,24,0.2790697674418605
2022-02-08 00:00:00,107,22,0.205607476635514
2022-02-07 00:00:00,128,52,0.40625
2022-02-06 00:00:00,21,8,0.380952380952381
2022-02-05 00:00:00,15,2,0.1333333333333333
2022-02-04 00:00:00,57,19,0.3333333333333333
2022-02-03 00:00:00,58,17,0.2931034482758621
2022-02-02 00:00:00,71,15,0.2112676056338028
2022-02-01 00:00:00,377,31,0.0822281167108753
2022-01-31 00:00:00,145,51,0.3517241379310345
2022-01-30 00:00:00,20,4,0.2
2022-01-29 00:00:00,28,11,0.3928571428571429
2022-01-28 00:00:00,83,28,0.3373493975903614
2022-01-27 00:00:00,253,34,0.1343873517786561
2022-01-26 00:00:00,132,37,0.2803030303030303
2022-01-25 00:00:00,137,35,0.2554744525547446
2022-01-24 00:00:00,219,101,0.4611872146118722
2022-01-23 00:00:00,16,6,0.375
2022-01-22 00:00:00,28,13,0.4642857142857144
2022-01-21 00:00:00,145,54,0.3724137931034483
2022-01-20 00:00:00,141,43,0.3049645390070922
2022-01-19 00:00:00,337,146,0.4332344213649852
2022-01-18 00:00:00,634,176,0.277602523659306
2022-01-17 00:00:00,109,46,0.4220183486238533
2022-01-16 00:00:00,62,20,0.3225806451612903
2022-01-15 00:00:00,58,19,0.3275862068965517
2022-01-14 00:00:00,358,111,0.3100558659217877
2022-01-13 00:00:00,228,64,0.2807017543859649
2022-01-12 00:00:00,322,116,0.360248447204969
2022-01-11 00:00:00,510,116,0.2274509803921569
2022-01-10 00:00:00,547,166,0.303473491773309
2022-01-09 00:00:00,40,11,0.275
2022-01-08 00:00:00,19,5,0.2631578947368421
2022-01-07 00:00:00,197,45,0.2284263959390863
2022-01-06 00:00:00,237,55,0.2320675105485232
2022-01-05 00:00:00,184,40,0.2173913043478261
2022-01-04 00:00:00,403,32,0.0794044665012407
2022-01-03 00:00:00,111,33,0.2972972972972973
2022-01-02 00:00:00,14,2,0.1428571428571429
2022-01-01 00:00:00,19,4,0.2105263157894737
2021-12-31 00:00:00,27,6,0.2222222222222222
2021-12-30 00:00:00,106,16,0.1509433962264151
2021-12-29 00:00:00,253,4,0.0158102766798419
2021-12-28 00:00:00,312,5,0.016025641025641
2021-12-27 00:00:00,61,9,0.1475409836065574
2021-12-26 00:00:00,28,1,0.0357142857142857
2021-12-25 00:00:00,5,1,0.2
2021-12-24 00:00:00,21,4,0.1904761904761905
2021-12-23 00:00:00,39,4,0.1025641025641026
2021-12-22 00:00:00,70,6,0.0857142857142857
2021-12-21 00:00:00,324,6,0.0185185185185185
2021-12-20 00:00:00,52,11,0.2115384615384615
2021-12-19 00:00:00,19,2,0.1052631578947368
2021-12-18 00:00:00,22,0,0
2021-12-17 00:00:00,42,4,0.0952380952380952
2021-12-16 00:00:00,45,5,0.1111111111111111
2021-12-15 00:00:00,243,4,0.0164609053497942
2021-12-14 00:00:00,48,4,0.0833333333333333
2021-12-13 00:00:00,73,10,0.136986301369863
2021-12-12 00:00:00,19,4,0.2105263157894737
2021-12-11 00:00:00,20,1,0.05
2021-12-10 00:00:00,38,3,0.0789473684210526
2021-12-09 00:00:00,60,12,0.2
2021-12-08 00:00:00,64,11,0.171875
2021-12-07 00:00:00,65,6,0.0923076923076923
2021-12-06 00:00:00,92,17,0.1847826086956522
2021-12-05 00:00:00,25,2,0.08
2021-12-04 00:00:00,10,1,0.1
2021-12-03 00:00:00,64,4,0.0625
2021-12-02 00:00:00,40,3,0.075
2021-12-01 00:00:00,56,7,0.125
2021-11-30 00:00:00,248,5,0.0201612903225806
2021-11-29 00:00:00,70,16,0.2285714285714286
2021-11-28 00:00:00,24,3,0.125
