date,pcr_tests_MOHAVE,pcr_pos_test_MOHAVE,pcr_positivity_MOHAVE
2022-02-18 00:00:00,11,0,0
2022-02-17 00:00:00,496,36,0.0725806451612903
2022-02-16 00:00:00,478,95,0.198744769874477
2022-02-15 00:00:00,1196,81,0.0677257525083612
2022-02-14 00:00:00,652,128,0.196319018404908
2022-02-13 00:00:00,292,45,0.1541095890410959
2022-02-12 00:00:00,296,71,0.2398648648648649
2022-02-11 00:00:00,558,119,0.2132616487455197
2022-02-10 00:00:00,748,122,0.1631016042780749
2022-02-09 00:00:00,680,136,0.2
2022-02-08 00:00:00,1335,202,0.151310861423221
2022-02-07 00:00:00,945,244,0.2582010582010582
2022-02-06 00:00:00,338,98,0.2899408284023669
2022-02-05 00:00:00,273,91,0.3333333333333333
2022-02-04 00:00:00,631,197,0.312202852614897
2022-02-03 00:00:00,1019,233,0.2286555446516193
2022-02-02 00:00:00,832,233,0.280048076923077
2022-02-01 00:00:00,1479,306,0.2068965517241379
2022-01-31 00:00:00,1336,453,0.3390718562874252
2022-01-30 00:00:00,381,148,0.3884514435695538
2022-01-29 00:00:00,556,231,0.4154676258992806
2022-01-28 00:00:00,1028,417,0.4056420233463035
2022-01-27 00:00:00,1445,490,0.3391003460207612
2022-01-26 00:00:00,1141,427,0.3742331288343559
2022-01-25 00:00:00,2174,620,0.2851885924563018
2022-01-24 00:00:00,1827,783,0.4285714285714286
2022-01-23 00:00:00,515,212,0.4116504854368932
2022-01-22 00:00:00,828,385,0.464975845410628
2022-01-21 00:00:00,1364,571,0.4186217008797654
2022-01-20 00:00:00,1836,722,0.3932461873638345
2022-01-19 00:00:00,1780,840,0.4719101123595506
2022-01-18 00:00:00,2496,905,0.3625801282051282
2022-01-17 00:00:00,1869,848,0.4537185660781166
2022-01-16 00:00:00,715,372,0.5202797202797202
2022-01-15 00:00:00,1122,570,0.5080213903743316
2022-01-14 00:00:00,1580,759,0.480379746835443
2022-01-13 00:00:00,2229,763,0.3423059668012562
2022-01-12 00:00:00,2016,864,0.4285714285714286
2022-01-11 00:00:00,2838,952,0.3354474982381959
2022-01-10 00:00:00,2242,899,0.4009812667261374
2022-01-09 00:00:00,721,273,0.3786407766990291
2022-01-08 00:00:00,1030,442,0.429126213592233
2022-01-07 00:00:00,1437,493,0.3430758524704245
2022-01-06 00:00:00,2016,554,0.2748015873015873
2022-01-05 00:00:00,1340,435,0.3246268656716418
2022-01-04 00:00:00,1893,448,0.2366613840464871
2022-01-03 00:00:00,1518,464,0.30566534914361
2022-01-02 00:00:00,564,190,0.3368794326241135
2022-01-01 00:00:00,123,37,0.3008130081300814
2021-12-31 00:00:00,611,186,0.3044189852700492
2021-12-30 00:00:00,1119,210,0.1876675603217158
2021-12-29 00:00:00,1016,211,0.2076771653543307
2021-12-28 00:00:00,1403,177,0.1261582323592302
2021-12-27 00:00:00,1089,236,0.216712580348944
2021-12-26 00:00:00,362,95,0.2624309392265194
2021-12-25 00:00:00,85,16,0.1882352941176471
2021-12-24 00:00:00,351,72,0.2051282051282051
2021-12-23 00:00:00,778,96,0.1233933161953728
2021-12-22 00:00:00,726,114,0.1570247933884298
2021-12-21 00:00:00,1242,116,0.0933977455716586
2021-12-20 00:00:00,959,129,0.1345151199165798
2021-12-19 00:00:00,301,52,0.1727574750830565
2021-12-18 00:00:00,403,90,0.2233250620347395
2021-12-17 00:00:00,633,119,0.1879936808846761
2021-12-16 00:00:00,814,109,0.1339066339066339
2021-12-15 00:00:00,661,83,0.1255673222390318
2021-12-14 00:00:00,1257,91,0.0723945902943516
2021-12-13 00:00:00,963,127,0.1318795430944964
2021-12-12 00:00:00,305,49,0.160655737704918
2021-12-11 00:00:00,352,82,0.2329545454545455
2021-12-10 00:00:00,584,90,0.1541095890410959
2021-12-09 00:00:00,859,83,0.0966239813736903
2021-12-08 00:00:00,732,123,0.1680327868852459
2021-12-07 00:00:00,1189,111,0.0933557611438183
2021-12-06 00:00:00,897,118,0.1315496098104794
2021-12-05 00:00:00,289,55,0.1903114186851211
2021-12-04 00:00:00,415,70,0.1686746987951807
2021-12-03 00:00:00,665,86,0.1293233082706767
2021-12-02 00:00:00,840,109,0.1297619047619048
2021-12-01 00:00:00,799,111,0.1389236545682103
2021-11-30 00:00:00,1292,119,0.0921052631578947
2021-11-29 00:00:00,1109,193,0.1740306582506763
2021-11-28 00:00:00,298,61,0.2046979865771812
2021-11-27 00:00:00,343,88,0.2565597667638484
2021-11-26 00:00:00,472,81,0.1716101694915254
2021-11-25 00:00:00,181,17,0.0939226519337017
2021-11-24 00:00:00,697,95,0.1362984218077475
2021-11-23 00:00:00,1281,130,0.1014832162373146
2021-11-22 00:00:00,888,114,0.1283783783783784
2021-11-21 00:00:00,256,48,0.1875
2021-11-20 00:00:00,340,74,0.2176470588235294
2021-11-19 00:00:00,548,102,0.1861313868613139
2021-11-18 00:00:00,978,97,0.0991820040899796
2021-11-17 00:00:00,694,127,0.1829971181556196
2021-11-16 00:00:00,1157,142,0.1227312013828868
2021-11-15 00:00:00,865,141,0.1630057803468208
2021-11-14 00:00:00,314,58,0.1847133757961783
2021-11-13 00:00:00,340,77,0.2264705882352941
2021-11-12 00:00:00,612,102,0.1666666666666667
2021-11-11 00:00:00,691,91,0.1316931982633864
2021-11-10 00:00:00,662,95,0.1435045317220544
2021-11-09 00:00:00,1199,147,0.1226021684737281
2021-11-08 00:00:00,800,159,0.19875
2021-11-07 00:00:00,304,68,0.2236842105263158
2021-11-06 00:00:00,355,84,0.2366197183098592
2021-11-05 00:00:00,649,112,0.1725731895223421
2021-11-04 00:00:00,768,95,0.1236979166666667
2021-11-03 00:00:00,674,100,0.1483679525222552
2021-11-02 00:00:00,1140,107,0.093859649122807
2021-11-01 00:00:00,731,113,0.1545827633378933
2021-10-31 00:00:00,256,45,0.17578125
2021-10-30 00:00:00,320,64,0.2
2021-10-29 00:00:00,520,84,0.1615384615384616
2021-10-28 00:00:00,622,83,0.1334405144694534
2021-10-27 00:00:00,647,108,0.1669242658423493
2021-10-26 00:00:00,1125,90,0.08
2021-10-25 00:00:00,631,107,0.1695721077654517
2021-10-24 00:00:00,226,54,0.2389380530973452
2021-10-23 00:00:00,228,51,0.2236842105263158
2021-10-22 00:00:00,625,85,0.136
2021-10-21 00:00:00,638,79,0.1238244514106583
2021-10-20 00:00:00,634,79,0.1246056782334385
2021-10-19 00:00:00,1164,90,0.077319587628866
2021-10-18 00:00:00,641,79,0.1232449297971919
2021-10-17 00:00:00,248,46,0.1854838709677419
2021-10-16 00:00:00,314,60,0.1910828025477707
2021-10-15 00:00:00,538,79,0.1468401486988848
2021-10-14 00:00:00,646,77,0.1191950464396285
2021-10-13 00:00:00,677,84,0.1240768094534712
2021-10-12 00:00:00,1197,100,0.0835421888053467
2021-10-11 00:00:00,638,114,0.1786833855799373
2021-10-10 00:00:00,308,68,0.2207792207792208
2021-10-09 00:00:00,296,56,0.1891891891891892
2021-10-08 00:00:00,657,84,0.1278538812785388
2021-10-07 00:00:00,676,80,0.1183431952662722
2021-10-06 00:00:00,646,85,0.1315789473684211
2021-10-05 00:00:00,1149,87,0.0757180156657964
2021-10-04 00:00:00,843,140,0.166073546856465
2021-10-03 00:00:00,255,60,0.2352941176470588
2021-10-02 00:00:00,342,82,0.239766081871345
2021-10-01 00:00:00,728,90,0.1236263736263736
2021-09-30 00:00:00,918,106,0.1154684095860567
2021-09-29 00:00:00,722,91,0.1260387811634349
2021-09-28 00:00:00,1327,140,0.105501130369254
2021-09-27 00:00:00,1022,120,0.1174168297455969
2021-09-26 00:00:00,295,72,0.2440677966101695
2021-09-25 00:00:00,418,75,0.1794258373205742
2021-09-24 00:00:00,722,95,0.1315789473684211
2021-09-23 00:00:00,1084,103,0.0950184501845019
2021-09-22 00:00:00,666,103,0.1546546546546547
2021-09-21 00:00:00,1348,121,0.0897626112759644
