date,20-34_La Paz,35-44_La Paz,45-54_La Paz,55-64_La Paz,65+_La Paz,<20_La Paz
1/1/2021,10,5,22,14,16,
1/1/2022,745,549,707,1372,4942,747
1/10/2021,26,19,43,36,34,
1/10/2022,759,553,716,1392,4985,757
1/11/2021,26,19,43,37,37,
1/11/2022,760,554,716,1395,4985,758
1/12/2021,26,19,45,38,41,
1/12/2022,761,555,717,1399,4994,760
1/13/2021,54,47,81,82,63,
1/13/2022,762,555,717,1399,4996,766
1/14/2021,55,48,81,82,68,1
1/14/2022,763,556,718,1401,4999,767
1/15/2021,57,48,81,82,71,1
1/15/2022,763,557,718,1401,4999,769
1/16/2021,57,49,81,82,71,1
1/16/2022,763,557,718,1402,4999,769
1/17/2021,57,49,81,82,71,1
1/17/2022,765,557,719,1403,4999,769
1/18/2021,58,49,81,85,77,1
1/18/2022,766,558,719,1404,5000,770
1/19/2021,58,49,81,85,81,1
1/19/2022,767,558,720,1408,5011,774
1/2/2021,10,5,22,14,16,
1/2/2022,745,549,707,1372,4943,749
1/20/2021,65,53,88,107,97,1
1/20/2022,768,558,720,1413,5011,774
1/21/2021,65,53,89,110,102,1
1/21/2022,770,560,720,1414,5017,780
1/22/2021,65,55,89,110,102,1
1/22/2022,770,560,720,1414,5019,780
1/23/2021,66,56,89,110,103,1
1/23/2022,770,560,720,1414,5020,780
1/24/2021,66,56,89,110,103,1
1/24/2022,772,560,720,1414,5021,780
1/25/2021,67,57,89,112,123,1
1/25/2022,773,561,720,1414,5021,781
1/26/2021,69,57,89,113,142,1
1/26/2022,773,563,722,1417,5024,792
1/27/2021,70,57,92,115,498,1
1/27/2022,774,563,722,1417,5025,794
1/28/2021,73,60,94,121,882,1
1/28/2022,774,569,722,1417,5025,796
1/29/2021,74,60,95,122,901,1
1/29/2022,774,569,722,1417,5025,796
1/3/2021,10,5,22,14,16,
1/3/2022,747,550,708,1374,4949,749
1/30/2021,74,61,95,122,902,1
1/30/2022,774,569,723,1417,5025,796
1/31/2021,74,61,95,122,909,1
1/31/2022,774,570,724,1417,5026,796
1/4/2021,10,7,22,15,16,
1/4/2022,747,550,708,1375,4953,751
1/5/2021,10,7,22,15,18,
1/5/2022,751,550,708,1377,4957,754
1/6/2021,16,11,30,25,21,
1/6/2022,753,550,711,1387,4971,754
1/7/2021,26,19,43,36,33,
1/7/2022,754,551,713,1389,4981,754
1/8/2021,26,19,43,36,33,
1/8/2022,755,551,714,1390,4982,754
1/9/2021,26,19,43,36,34,
1/9/2022,755,551,714,1390,4982,754
10/1/2021,601,458,629,1213,4529,421
10/10/2021,631,471,641,1224,4548,446
10/11/2021,633,472,642,1225,4552,447
10/12/2021,633,474,642,1228,4555,452
10/13/2021,637,477,646,1231,4555,454
10/14/2021,640,478,647,1232,4555,456
10/15/2021,641,478,647,1233,4556,456
10/16/2021,645,478,648,1233,4556,456
10/17/2021,649,478,649,1233,4556,457
10/18/2021,652,478,651,1234,4557,463
10/19/2021,652,478,652,1235,4559,468
10/2/2021,601,459,630,1213,4530,422
10/20/2021,655,482,653,1237,4561,469
10/21/2021,655,483,654,1239,4568,469
10/22/2021,656,485,655,1239,4574,471
10/23/2021,659,485,655,1240,4574,471
10/24/2021,659,485,656,1241,4575,471
10/25/2021,659,485,656,1242,4578,475
10/26/2021,661,486,656,1244,4591,483
10/27/2021,663,493,657,1249,4597,488
10/28/2021,664,493,657,1249,4599,488
10/29/2021,666,494,658,1251,4602,492
10/3/2021,602,459,630,1213,4530,422
10/30/2021,666,494,658,1252,4604,492
10/31/2021,666,495,658,1252,4606,492
10/4/2021,602,459,630,1213,4533,431
10/5/2021,603,459,630,1213,4535,434
10/6/2021,609,463,632,1214,4540,436
10/7/2021,629,471,641,1221,4544,445
10/8/2021,629,471,641,1223,4547,446
10/9/2021,631,471,641,1224,4548,446
11/1/2021,667,497,658,1252,4608,494
11/10/2021,689,509,665,1262,4649,510
11/11/2021,689,509,665,1262,4660,512
11/12/2021,689,510,665,1263,4666,513
11/13/2021,689,510,665,1263,4667,514
11/14/2021,689,510,665,1263,4668,514
11/15/2021,690,511,666,1265,4672,536
11/16/2021,691,511,667,1266,4684,537
11/17/2021,698,517,669,1273,4693,573
11/18/2021,700,518,671,1274,4697,573
11/19/2021,701,519,673,1277,4702,577
11/2/2021,670,498,658,1252,4614,495
11/20/2021,702,520,675,1277,4705,578
11/21/2021,702,520,675,1277,4706,578
11/22/2021,702,520,675,1278,4708,587
11/23/2021,703,522,675,1279,4710,595
11/24/2021,704,525,677,1280,4711,618
11/25/2021,704,525,677,1280,4711,618
11/26/2021,704,525,677,1280,4713,619
11/27/2021,704,526,677,1280,4715,620
11/28/2021,705,526,678,1280,4718,620
11/29/2021,706,526,678,1281,4725,622
11/3/2021,674,498,659,1254,4620,495
11/30/2021,709,526,678,1282,4726,627
11/4/2021,679,502,665,1257,4629,499
11/5/2021,679,504,665,1257,4634,500
11/6/2021,679,504,665,1258,4635,501
11/7/2021,679,504,665,1258,4635,501
11/8/2021,682,504,665,1259,4638,504
11/9/2021,686,507,665,1259,4644,506
12/1/2021,711,526,681,1287,4744,639
12/10/2021,726,536,693,1320,4817,710
12/11/2021,727,536,694,1320,4819,711
12/12/2021,727,536,694,1320,4820,712
12/13/2021,727,539,695,1326,4831,715
12/14/2021,727,541,697,1333,4839,717
12/15/2021,730,542,697,1336,4846,722
12/16/2021,730,544,697,1338,4851,723
12/17/2021,730,544,697,1340,4858,724
12/18/2021,730,544,697,1342,4858,724
12/19/2021,731,545,697,1342,4859,724
12/2/2021,713,530,685,1292,4754,639
12/20/2021,735,546,697,1344,4867,726
12/21/2020,1,,3,,6,
12/21/2021,737,547,697,1349,4878,731
12/22/2020,5,2,8,4,10,
12/22/2021,739,547,698,1353,4893,735
12/23/2020,6,4,11,7,13,
12/23/2021,739,547,699,1356,4905,735
12/24/2020,6,4,11,7,13,
12/24/2021,740,547,699,1358,4909,735
12/25/2020,6,4,11,7,13,
12/25/2021,740,547,699,1358,4909,735
12/26/2020,6,4,11,7,13,
12/26/2021,741,547,700,1358,4910,736
12/27/2020,6,4,11,7,13,
12/27/2021,741,549,703,1358,4915,737
12/28/2020,6,5,12,8,13,
12/28/2021,742,549,705,1360,4922,741
12/29/2020,7,5,13,8,13,
12/29/2021,744,549,706,1364,4929,747
12/3/2021,716,530,685,1300,4765,640
12/30/2020,10,5,20,12,16,
12/30/2021,744,549,707,1370,4942,747
12/31/2020,10,5,22,14,16,
12/31/2021,745,549,707,1372,4942,747
12/4/2021,718,530,686,1302,4772,641
12/5/2021,719,530,687,1305,4772,641
12/6/2021,723,532,689,1310,4783,642
12/7/2021,723,532,690,1314,4793,680
12/8/2021,724,533,691,1315,4799,707
