Category,Maricopa
Total_doses_administered,6392484
Total_people_one_dose,2849643
Total_people_complete,2522468
total_pouluation,2849643
Male-65 years and older,300622
Male-55-64 years,198297
Male-45-54 years,194194
Male-20-44 years,470695
Male-Less than 20 years,180384
Female-65 years and older,374944
Female-55-64 years,222225
Female-45-54 years,209789
Female-20-44 years,502786
Female-Less than 20 years,181528
"American Indian or Alaska Native, non-Hispanic",56142
"Black or African American, non-Hispanic",113344
"Asian or Pacific Islander, non-Hispanic",145539
Unknown,192996
Other Race,446385
Hispanic or Latino,504448
"White, non-Hispanic",1390789
