"Date","Cases","Deaths","County"
2020-01-26,1,0,"Maricopa"
2020-01-27,1,0,"Maricopa"
2020-01-28,1,0,"Maricopa"
2020-01-29,1,0,"Maricopa"
2020-01-30,1,0,"Maricopa"
2020-01-31,1,0,"Maricopa"
2020-02-01,1,0,"Maricopa"
2020-02-02,1,0,"Maricopa"
2020-02-03,1,0,"Maricopa"
2020-02-04,1,0,"Maricopa"
2020-02-05,1,0,"Maricopa"
2020-02-06,1,0,"Maricopa"
2020-02-07,1,0,"Maricopa"
2020-02-08,1,0,"Maricopa"
2020-02-09,1,0,"Maricopa"
2020-02-10,1,0,"Maricopa"
2020-02-11,1,0,"Maricopa"
2020-02-12,1,0,"Maricopa"
2020-02-13,1,0,"Maricopa"
2020-02-14,1,0,"Maricopa"
2020-02-15,1,0,"Maricopa"
2020-02-16,1,0,"Maricopa"
2020-02-17,1,0,"Maricopa"
2020-02-18,1,0,"Maricopa"
2020-02-19,1,0,"Maricopa"
2020-02-20,1,0,"Maricopa"
2020-02-21,1,0,"Maricopa"
2020-02-22,1,0,"Maricopa"
2020-02-23,1,0,"Maricopa"
2020-02-24,1,0,"Maricopa"
2020-02-25,1,0,"Maricopa"
2020-02-26,1,0,"Maricopa"
2020-02-27,1,0,"Maricopa"
2020-02-28,1,0,"Maricopa"
2020-02-29,1,0,"Maricopa"
2020-03-01,1,0,"Maricopa"
2020-03-02,1,0,"Maricopa"
2020-03-03,2,0,"Maricopa"
2020-03-04,2,0,"Maricopa"
2020-03-05,2,0,"Maricopa"
2020-03-06,2,0,"Maricopa"
2020-03-07,2,0,"Maricopa"
2020-03-08,2,0,"Maricopa"
2020-03-09,2,0,"Maricopa"
2020-03-10,2,0,"Maricopa"
2020-03-11,3,0,"Maricopa"
2020-03-12,3,0,"Maricopa"
2020-03-13,3,0,"Maricopa"
2020-03-14,4,0,"Maricopa"
2020-03-15,4,0,"Maricopa"
2020-03-16,8,0,"Maricopa"
2020-03-17,9,0,"Maricopa"
2020-03-18,11,0,"Maricopa"
2020-03-19,22,0,"Maricopa"
2020-03-20,34,1,"Maricopa"
2020-03-21,49,1,"Maricopa"
2020-03-22,81,2,"Maricopa"
2020-03-23,139,2,"Maricopa"
2020-03-24,199,3,"Maricopa"
2020-03-25,251,3,"Maricopa"
2020-03-26,299,4,"Maricopa"
2020-03-27,399,5,"Maricopa"
2020-03-28,452,5,"Maricopa"
2020-03-29,546,5,"Maricopa"
2020-03-30,689,5,"Maricopa"
2020-03-31,791,8,"Maricopa"
2020-04-01,873,11,"Maricopa"
2020-04-02,964,12,"Maricopa"
2020-04-03,1050,17,"Maricopa"
2020-04-04,1173,28,"Maricopa"
2020-04-05,1318,31,"Maricopa"
2020-04-06,1433,31,"Maricopa"
2020-04-07,1494,35,"Maricopa"
2020-04-08,1556,37,"Maricopa"
2020-04-09,1687,39,"Maricopa"
2020-04-10,1741,41,"Maricopa"
2020-04-11,1886,47,"Maricopa"
2020-04-12,1957,48,"Maricopa"
2020-04-13,2019,52,"Maricopa"
2020-04-14,2056,54,"Maricopa"
2020-04-15,2145,60,"Maricopa"
2020-04-16,2257,64,"Maricopa"
2020-04-17,2385,69,"Maricopa"
2020-04-18,2492,70,"Maricopa"
2020-04-19,2591,75,"Maricopa"
2020-04-20,2634,75,"Maricopa"
2020-04-21,2719,84,"Maricopa"
2020-04-22,2842,97,"Maricopa"
2020-04-23,2963,115,"Maricopa"
2020-04-24,3123,120,"Maricopa"
2020-04-25,3222,120,"Maricopa"
2020-04-26,3351,121,"Maricopa"
2020-04-27,3445,121,"Maricopa"
2020-04-28,3572,135,"Maricopa"
2020-04-29,3718,140,"Maricopa"
2020-04-30,3951,145,"Maricopa"
2020-05-01,4123,152,"Maricopa"
2020-05-02,4329,159,"Maricopa"
2020-05-03,4484,168,"Maricopa"
2020-05-04,4618,168,"Maricopa"
2020-05-05,4741,175,"Maricopa"
2020-05-06,4866,182,"Maricopa"
2020-05-07,5042,198,"Maricopa"
2020-05-08,5288,228,"Maricopa"
2020-05-09,5548,235,"Maricopa"
2020-05-10,5751,237,"Maricopa"
2020-05-11,5915,240,"Maricopa"
2020-05-12,6011,248,"Maricopa"
2020-05-13,6112,271,"Maricopa"
2020-05-14,6199,286,"Maricopa"
2020-05-15,6681,291,"Maricopa"
2020-05-16,6869,304,"Maricopa"
2020-05-17,7037,304,"Maricopa"
2020-05-18,7225,310,"Maricopa"
2020-05-19,7409,325,"Maricopa"
2020-05-20,7552,343,"Maricopa"
2020-05-21,7733,347,"Maricopa"
2020-05-22,7888,357,"Maricopa"
2020-05-23,8054,367,"Maricopa"
2020-05-24,8151,368,"Maricopa"
