"Date","CareType","n","County"
2020-03-24,"Hospitalized",35,"Maricopa"
2020-03-25,"Hospitalized",35,"Maricopa"
2020-03-26,"Hospitalized",58,"Maricopa"
2020-03-27,"Hospitalized",78,"Maricopa"
2020-03-28,"Hospitalized",96,"Maricopa"
2020-03-29,"Hospitalized",105,"Maricopa"
2020-03-30,"Hospitalized",122,"Maricopa"
2020-03-31,"Hospitalized",140,"Maricopa"
2020-04-01,"Hospitalized",158,"Maricopa"
2020-04-02,"Hospitalized",183,"Maricopa"
2020-04-03,"Hospitalized",204,"Maricopa"
2020-03-24,"ICU",13,"Maricopa"
2020-03-25,"ICU",13,"Maricopa"
2020-03-26,"ICU",20,"Maricopa"
2020-03-27,"ICU",30,"Maricopa"
2020-03-28,"ICU",34,"Maricopa"
2020-03-29,"ICU",38,"Maricopa"
2020-03-30,"ICU",46,"Maricopa"
2020-03-31,"ICU",51,"Maricopa"
2020-04-01,"ICU",58,"Maricopa"
2020-04-02,"ICU",68,"Maricopa"
2020-04-03,"ICU",76,"Maricopa"
2020-03-24,"hospital_Under19",NA,"Maricopa"
2020-03-25,"hospital_Under19",NA,"Maricopa"
2020-03-26,"hospital_Under19",NA,"Maricopa"
2020-03-27,"hospital_Under19",0,"Maricopa"
2020-03-28,"hospital_Under19",0,"Maricopa"
2020-03-29,"hospital_Under19",0,"Maricopa"
2020-03-30,"hospital_Under19",0,"Maricopa"
2020-03-31,"hospital_Under19",0,"Maricopa"
2020-04-01,"hospital_Under19",0,"Maricopa"
2020-04-02,"hospital_Under19",0,"Maricopa"
2020-04-03,"hospital_Under19",0,"Maricopa"
2020-03-24,"hospital_20_44",NA,"Maricopa"
2020-03-25,"hospital_20_44",NA,"Maricopa"
2020-03-26,"hospital_20_44",NA,"Maricopa"
2020-03-27,"hospital_20_44",10,"Maricopa"
2020-03-28,"hospital_20_44",11,"Maricopa"
2020-03-29,"hospital_20_44",13,"Maricopa"
2020-03-30,"hospital_20_44",15,"Maricopa"
2020-03-31,"hospital_20_44",22,"Maricopa"
2020-04-01,"hospital_20_44",24,"Maricopa"
2020-04-02,"hospital_20_44",29,"Maricopa"
2020-04-03,"hospital_20_44",38,"Maricopa"
2020-03-24,"hospital_45_64",NA,"Maricopa"
2020-03-25,"hospital_45_64",NA,"Maricopa"
2020-03-26,"hospital_45_64",NA,"Maricopa"
2020-03-27,"hospital_45_64",19,"Maricopa"
2020-03-28,"hospital_45_64",27,"Maricopa"
2020-03-29,"hospital_45_64",30,"Maricopa"
2020-03-30,"hospital_45_64",35,"Maricopa"
2020-03-31,"hospital_45_64",48,"Maricopa"
2020-04-01,"hospital_45_64",55,"Maricopa"
2020-04-02,"hospital_45_64",66,"Maricopa"
2020-04-03,"hospital_45_64",72,"Maricopa"
2020-03-24,"hospital_65_plus",NA,"Maricopa"
2020-03-25,"hospital_65_plus",NA,"Maricopa"
2020-03-26,"hospital_65_plus",NA,"Maricopa"
2020-03-27,"hospital_65_plus",47,"Maricopa"
2020-03-28,"hospital_65_plus",58,"Maricopa"
2020-03-29,"hospital_65_plus",62,"Maricopa"
2020-03-30,"hospital_65_plus",72,"Maricopa"
2020-03-31,"hospital_65_plus",70,"Maricopa"
2020-04-01,"hospital_65_plus",79,"Maricopa"
2020-04-02,"hospital_65_plus",88,"Maricopa"
2020-04-03,"hospital_65_plus",94,"Maricopa"
2020-03-24,"icu_Under19",NA,"Maricopa"
2020-03-25,"icu_Under19",NA,"Maricopa"
2020-03-26,"icu_Under19",NA,"Maricopa"
2020-03-27,"icu_Under19",0,"Maricopa"
2020-03-28,"icu_Under19",0,"Maricopa"
2020-03-29,"icu_Under19",0,"Maricopa"
2020-03-30,"icu_Under19",0,"Maricopa"
2020-03-31,"icu_Under19",0,"Maricopa"
2020-04-01,"icu_Under19",0,"Maricopa"
2020-04-02,"icu_Under19",0,"Maricopa"
