"date","cHeader","n"
2020-03-17,2020-05-04,1
2020-03-19,2020-05-04,2
2020-03-20,2020-05-04,2
2020-03-21,2020-05-04,0
2020-03-22,2020-05-04,1
2020-03-23,2020-05-04,3
2020-03-24,2020-05-04,1
2020-03-25,2020-05-04,4
2020-03-26,2020-05-04,7
2020-03-27,2020-05-04,7
2020-03-28,2020-05-04,5
2020-03-29,2020-05-04,6
2020-03-30,2020-05-04,6
2020-03-31,2020-05-04,10
2020-04-01,2020-05-04,9
2020-04-02,2020-05-04,6
2020-04-03,2020-05-04,9
2020-04-04,2020-05-04,6
2020-04-05,2020-05-04,7
2020-04-06,2020-05-04,11
2020-04-07,2020-05-04,12
2020-04-08,2020-05-04,8
2020-04-09,2020-05-04,11
2020-04-10,2020-05-04,13
2020-04-11,2020-05-04,17
2020-04-12,2020-05-04,11
2020-04-13,2020-05-04,11
2020-04-14,2020-05-04,14
2020-04-15,2020-05-04,10
2020-04-16,2020-05-04,13
2020-04-17,2020-05-04,13
2020-04-18,2020-05-04,12
2020-04-19,2020-05-04,17
2020-04-20,2020-05-04,14
2020-04-21,2020-05-04,6
2020-04-22,2020-05-04,9
2020-04-23,2020-05-04,10
2020-04-24,2020-05-04,6
2020-04-25,2020-05-04,4
2020-04-26,2020-05-04,8
2020-04-27,2020-05-04,11
2020-04-28,2020-05-04,5
2020-04-29,2020-05-04,9
2020-04-30,2020-05-04,8
2020-05-01,2020-05-04,1
2020-03-17,2020-05-05,1
2020-03-19,2020-05-05,2
2020-03-20,2020-05-05,2
2020-03-21,2020-05-05,0
2020-03-22,2020-05-05,1
2020-03-23,2020-05-05,3
2020-03-24,2020-05-05,1
2020-03-25,2020-05-05,4
2020-03-26,2020-05-05,7
2020-03-27,2020-05-05,7
2020-03-28,2020-05-05,5
2020-03-29,2020-05-05,6
2020-03-30,2020-05-05,6
2020-03-31,2020-05-05,10
2020-04-01,2020-05-05,9
2020-04-02,2020-05-05,6
2020-04-03,2020-05-05,9
2020-04-04,2020-05-05,6
2020-04-05,2020-05-05,8
2020-04-06,2020-05-05,11
2020-04-07,2020-05-05,15
2020-04-08,2020-05-05,8
2020-04-09,2020-05-05,11
2020-04-10,2020-05-05,14
2020-04-11,2020-05-05,17
2020-04-12,2020-05-05,13
2020-04-13,2020-05-05,11
2020-04-14,2020-05-05,15
2020-04-15,2020-05-05,11
2020-04-16,2020-05-05,15
2020-04-17,2020-05-05,13
2020-04-18,2020-05-05,13
2020-04-19,2020-05-05,20
2020-04-20,2020-05-05,15
2020-04-21,2020-05-05,8
2020-04-22,2020-05-05,9
2020-04-23,2020-05-05,10
2020-04-24,2020-05-05,6
2020-04-25,2020-05-05,8
2020-04-26,2020-05-05,8
2020-04-27,2020-05-05,11
2020-04-28,2020-05-05,7
2020-04-29,2020-05-05,10
2020-04-30,2020-05-05,9
2020-05-01,2020-05-05,4
2020-05-02,2020-05-05,4
2020-05-03,2020-05-05,2
2020-03-17,2020-05-06,1
2020-03-19,2020-05-06,2
2020-03-20,2020-05-06,2
2020-03-21,2020-05-06,0
2020-03-22,2020-05-06,1
2020-03-23,2020-05-06,4
2020-03-24,2020-05-06,1
2020-03-25,2020-05-06,4
2020-03-26,2020-05-06,7
2020-03-27,2020-05-06,7
2020-03-28,2020-05-06,4
2020-03-29,2020-05-06,6
2020-03-30,2020-05-06,8
2020-03-31,2020-05-06,10
2020-04-01,2020-05-06,9
2020-04-02,2020-05-06,6
2020-04-03,2020-05-06,9
2020-04-04,2020-05-06,6
2020-04-05,2020-05-06,9
2020-04-06,2020-05-06,12
2020-04-07,2020-05-06,15
2020-04-08,2020-05-06,8
2020-04-09,2020-05-06,11
2020-04-10,2020-05-06,14
2020-04-11,2020-05-06,19
2020-04-12,2020-05-06,13
2020-04-13,2020-05-06,13
2020-04-14,2020-05-06,15
2020-04-15,2020-05-06,12
2020-04-16,2020-05-06,15
2020-04-17,2020-05-06,13
2020-04-18,2020-05-06,13
2020-04-19,2020-05-06,20
2020-04-20,2020-05-06,18
2020-04-21,2020-05-06,8
2020-04-22,2020-05-06,11
2020-04-23,2020-05-06,12
2020-04-24,2020-05-06,7
2020-04-25,2020-05-06,9
2020-04-26,2020-05-06,8
2020-04-27,2020-05-06,12
2020-04-28,2020-05-06,7
2020-04-29,2020-05-06,12
2020-04-30,2020-05-06,10
2020-05-01,2020-05-06,4
2020-05-02,2020-05-06,7
2020-05-03,2020-05-06,5
2020-05-04,2020-05-06,2
2020-03-17,2020-05-07,1
2020-03-19,2020-05-07,2
2020-03-20,2020-05-07,2
2020-03-21,2020-05-07,0
2020-03-22,2020-05-07,1
2020-03-23,2020-05-07,4
2020-03-24,2020-05-07,1
2020-03-25,2020-05-07,4
2020-03-26,2020-05-07,7
2020-03-27,2020-05-07,7
2020-03-28,2020-05-07,5
2020-03-29,2020-05-07,6
2020-03-30,2020-05-07,7
2020-03-31,2020-05-07,10
2020-04-01,2020-05-07,9
2020-04-02,2020-05-07,7
2020-04-03,2020-05-07,9
2020-04-04,2020-05-07,6
2020-04-05,2020-05-07,10
2020-04-06,2020-05-07,12
2020-04-07,2020-05-07,15
2020-04-08,2020-05-07,8
2020-04-09,2020-05-07,11
2020-04-10,2020-05-07,14
2020-04-11,2020-05-07,19
2020-04-12,2020-05-07,14
2020-04-13,2020-05-07,13
2020-04-14,2020-05-07,17
2020-04-15,2020-05-07,12
2020-04-16,2020-05-07,16
2020-04-17,2020-05-07,13
2020-04-18,2020-05-07,13
2020-04-19,2020-05-07,20
2020-04-20,2020-05-07,20
2020-04-21,2020-05-07,8
2020-04-22,2020-05-07,11
2020-04-23,2020-05-07,12
2020-04-24,2020-05-07,9
2020-04-25,2020-05-07,9
2020-04-26,2020-05-07,8
2020-04-27,2020-05-07,12
2020-04-28,2020-05-07,9
2020-04-29,2020-05-07,12
2020-04-30,2020-05-07,10
2020-05-01,2020-05-07,5
2020-05-02,2020-05-07,7
2020-05-03,2020-05-07,6
2020-05-04,2020-05-07,7
2020-05-05,2020-05-07,4
2020-05-06,2020-05-07,1
2020-03-17,2020-05-08,1
2020-03-19,2020-05-08,2
2020-03-20,2020-05-08,2
2020-03-21,2020-05-08,0
2020-03-22,2020-05-08,1
2020-03-23,2020-05-08,4
2020-03-24,2020-05-08,1
2020-03-25,2020-05-08,4
2020-03-26,2020-05-08,7
2020-03-27,2020-05-08,7
2020-03-28,2020-05-08,4
2020-03-29,2020-05-08,6
2020-03-30,2020-05-08,8
2020-03-31,2020-05-08,11
2020-04-01,2020-05-08,10
2020-04-02,2020-05-08,6
2020-04-03,2020-05-08,12
2020-04-04,2020-05-08,6
2020-04-05,2020-05-08,10
2020-04-06,2020-05-08,12
2020-04-07,2020-05-08,15
2020-04-08,2020-05-08,10
2020-04-09,2020-05-08,12
2020-04-10,2020-05-08,15
2020-04-11,2020-05-08,20
2020-04-12,2020-05-08,14
2020-04-13,2020-05-08,14
2020-04-14,2020-05-08,17
2020-04-15,2020-05-08,14
2020-04-16,2020-05-08,16
2020-04-17,2020-05-08,14
2020-04-18,2020-05-08,14
2020-04-19,2020-05-08,21
2020-04-20,2020-05-08,21
2020-04-21,2020-05-08,8
2020-04-22,2020-05-08,12
2020-04-23,2020-05-08,17
2020-04-24,2020-05-08,12
2020-04-25,2020-05-08,12
2020-04-26,2020-05-08,13
2020-04-27,2020-05-08,15
2020-04-28,2020-05-08,12
2020-04-29,2020-05-08,14
2020-04-30,2020-05-08,17
2020-05-01,2020-05-08,9
2020-05-02,2020-05-08,7
2020-05-03,2020-05-08,8
2020-05-04,2020-05-08,9
2020-05-05,2020-05-08,8
2020-05-06,2020-05-08,6
2020-05-07,2020-05-08,1
2020-03-17,2020-05-09,1
2020-03-19,2020-05-09,2
2020-03-20,2020-05-09,2
2020-03-21,2020-05-09,0
2020-03-22,2020-05-09,1
2020-03-23,2020-05-09,4
2020-03-24,2020-05-09,1
2020-03-25,2020-05-09,4
2020-03-26,2020-05-09,7
2020-03-27,2020-05-09,7
2020-03-28,2020-05-09,4
2020-03-29,2020-05-09,6
2020-03-30,2020-05-09,8
2020-03-31,2020-05-09,12
2020-04-01,2020-05-09,10
2020-04-02,2020-05-09,6
2020-04-03,2020-05-09,12
2020-04-04,2020-05-09,6
2020-04-05,2020-05-09,10
2020-04-06,2020-05-09,12
2020-04-07,2020-05-09,15
2020-04-08,2020-05-09,10
2020-04-09,2020-05-09,12
2020-04-10,2020-05-09,15
2020-04-11,2020-05-09,20
2020-04-12,2020-05-09,17
2020-04-13,2020-05-09,14
2020-04-14,2020-05-09,17
2020-04-15,2020-05-09,14
2020-04-16,2020-05-09,16
2020-04-17,2020-05-09,14
2020-04-18,2020-05-09,14
2020-04-19,2020-05-09,21
2020-04-20,2020-05-09,21
2020-04-21,2020-05-09,8
2020-04-22,2020-05-09,12
2020-04-23,2020-05-09,17
2020-04-24,2020-05-09,12
2020-04-25,2020-05-09,12
2020-04-26,2020-05-09,13
2020-04-27,2020-05-09,17
2020-04-28,2020-05-09,12
2020-04-29,2020-05-09,14
2020-04-30,2020-05-09,17
2020-05-01,2020-05-09,12
2020-05-02,2020-05-09,7
2020-05-03,2020-05-09,8
2020-05-04,2020-05-09,9
2020-05-05,2020-05-09,9
2020-05-06,2020-05-09,8
2020-05-07,2020-05-09,5
2020-05-08,2020-05-09,3
2020-03-17,2020-05-10,1
2020-03-19,2020-05-10,2
2020-03-20,2020-05-10,2
2020-03-21,2020-05-10,0
2020-03-22,2020-05-10,1
2020-03-23,2020-05-10,4
2020-03-24,2020-05-10,1
2020-03-25,2020-05-10,4
2020-03-26,2020-05-10,7
2020-03-27,2020-05-10,7
2020-03-28,2020-05-10,4
2020-03-29,2020-05-10,6
2020-03-30,2020-05-10,8
2020-03-31,2020-05-10,12
2020-04-01,2020-05-10,10
2020-04-02,2020-05-10,6
2020-04-03,2020-05-10,12
2020-04-04,2020-05-10,6
2020-04-05,2020-05-10,10
2020-04-06,2020-05-10,12
2020-04-07,2020-05-10,15
2020-04-08,2020-05-10,10
2020-04-09,2020-05-10,12
2020-04-10,2020-05-10,15
2020-04-11,2020-05-10,20
2020-04-12,2020-05-10,17
2020-04-13,2020-05-10,14
2020-04-14,2020-05-10,17
2020-04-15,2020-05-10,14
2020-04-16,2020-05-10,16
2020-04-17,2020-05-10,14
2020-04-18,2020-05-10,14
2020-04-19,2020-05-10,21
2020-04-20,2020-05-10,21
2020-04-21,2020-05-10,8
2020-04-22,2020-05-10,12
2020-04-23,2020-05-10,17
2020-04-24,2020-05-10,12
2020-04-25,2020-05-10,12
2020-04-26,2020-05-10,13
2020-04-27,2020-05-10,17
2020-04-28,2020-05-10,13
2020-04-29,2020-05-10,14
2020-04-30,2020-05-10,17
2020-05-01,2020-05-10,12
2020-05-02,2020-05-10,7
2020-05-03,2020-05-10,8
2020-05-04,2020-05-10,9
2020-05-05,2020-05-10,10
2020-05-06,2020-05-10,8
2020-05-07,2020-05-10,6
2020-05-08,2020-05-10,4
2020-03-17,2020-05-11,1
2020-03-19,2020-05-11,2
2020-03-20,2020-05-11,2
2020-03-21,2020-05-11,0
2020-03-22,2020-05-11,1
2020-03-23,2020-05-11,4
2020-03-24,2020-05-11,1
2020-03-25,2020-05-11,4
2020-03-26,2020-05-11,7
2020-03-27,2020-05-11,7
2020-03-28,2020-05-11,4
2020-03-29,2020-05-11,6
2020-03-30,2020-05-11,8
2020-03-31,2020-05-11,12
2020-04-01,2020-05-11,10
2020-04-02,2020-05-11,6
2020-04-03,2020-05-11,12
2020-04-04,2020-05-11,6
2020-04-05,2020-05-11,10
2020-04-06,2020-05-11,12
2020-04-07,2020-05-11,15
2020-04-08,2020-05-11,10
2020-04-09,2020-05-11,12
2020-04-10,2020-05-11,15
2020-04-11,2020-05-11,20
2020-04-12,2020-05-11,17
2020-04-13,2020-05-11,14
2020-04-14,2020-05-11,17
2020-04-15,2020-05-11,14
2020-04-16,2020-05-11,16
2020-04-17,2020-05-11,14
2020-04-18,2020-05-11,14
2020-04-19,2020-05-11,21
2020-04-20,2020-05-11,21
2020-04-21,2020-05-11,8
2020-04-22,2020-05-11,12
2020-04-23,2020-05-11,17
2020-04-24,2020-05-11,12
2020-04-25,2020-05-11,12
2020-04-26,2020-05-11,13
2020-04-27,2020-05-11,17
2020-04-28,2020-05-11,13
2020-04-29,2020-05-11,14
2020-04-30,2020-05-11,17
2020-05-01,2020-05-11,12
2020-05-02,2020-05-11,7
2020-05-03,2020-05-11,9
2020-05-04,2020-05-11,9
2020-05-05,2020-05-11,10
2020-05-06,2020-05-11,8
2020-05-07,2020-05-11,7
2020-05-08,2020-05-11,5
2020-05-09,2020-05-11,2
2020-05-10,2020-05-11,1
2020-03-17,2020-05-12,1
2020-03-19,2020-05-12,2
2020-03-20,2020-05-12,2
2020-03-21,2020-05-12,0
2020-03-22,2020-05-12,1
2020-03-23,2020-05-12,4
2020-03-24,2020-05-12,1
2020-03-25,2020-05-12,4
2020-03-26,2020-05-12,7
2020-03-27,2020-05-12,7
2020-03-28,2020-05-12,4
2020-03-29,2020-05-12,6
2020-03-30,2020-05-12,8
2020-03-31,2020-05-12,12
2020-04-01,2020-05-12,10
2020-04-02,2020-05-12,6
2020-04-03,2020-05-12,12
2020-04-04,2020-05-12,6
2020-04-05,2020-05-12,11
2020-04-06,2020-05-12,12
2020-04-07,2020-05-12,15
2020-04-08,2020-05-12,10
2020-04-09,2020-05-12,12
2020-04-10,2020-05-12,15
2020-04-11,2020-05-12,20
2020-04-12,2020-05-12,17
2020-04-13,2020-05-12,14
2020-04-14,2020-05-12,17
2020-04-15,2020-05-12,14
2020-04-16,2020-05-12,16
2020-04-17,2020-05-12,14
2020-04-18,2020-05-12,14
2020-04-19,2020-05-12,21
2020-04-20,2020-05-12,21
2020-04-21,2020-05-12,9
2020-04-22,2020-05-12,12
2020-04-23,2020-05-12,18
2020-04-24,2020-05-12,12
2020-04-25,2020-05-12,12
2020-04-26,2020-05-12,13
2020-04-27,2020-05-12,18
2020-04-28,2020-05-12,13
2020-04-29,2020-05-12,14
2020-04-30,2020-05-12,18
2020-05-01,2020-05-12,12
2020-05-02,2020-05-12,10
2020-05-03,2020-05-12,12
2020-05-04,2020-05-12,9
2020-05-05,2020-05-12,11
2020-05-06,2020-05-12,9
2020-05-07,2020-05-12,9
2020-05-08,2020-05-12,5
2020-05-09,2020-05-12,4
2020-05-10,2020-05-12,2
2020-03-17,2020-05-13,1
2020-03-19,2020-05-13,2
2020-03-20,2020-05-13,2
2020-03-21,2020-05-13,0
2020-03-22,2020-05-13,1
2020-03-23,2020-05-13,4
2020-03-24,2020-05-13,1
2020-03-25,2020-05-13,4
2020-03-26,2020-05-13,7
2020-03-27,2020-05-13,7
2020-03-28,2020-05-13,4
2020-03-29,2020-05-13,6
2020-03-30,2020-05-13,8
2020-03-31,2020-05-13,12
2020-04-01,2020-05-13,10
2020-04-02,2020-05-13,6
2020-04-03,2020-05-13,11
2020-04-04,2020-05-13,6
2020-04-05,2020-05-13,11
2020-04-06,2020-05-13,12
2020-04-07,2020-05-13,15
2020-04-08,2020-05-13,10
2020-04-09,2020-05-13,12
2020-04-10,2020-05-13,16
2020-04-11,2020-05-13,20
2020-04-12,2020-05-13,17
2020-04-13,2020-05-13,14
2020-04-14,2020-05-13,17
2020-04-15,2020-05-13,14
2020-04-16,2020-05-13,16
2020-04-17,2020-05-13,14
2020-04-18,2020-05-13,14
2020-04-19,2020-05-13,21
2020-04-20,2020-05-13,22
2020-04-21,2020-05-13,9
2020-04-22,2020-05-13,12
2020-04-23,2020-05-13,18
2020-04-24,2020-05-13,12
2020-04-25,2020-05-13,14
2020-04-26,2020-05-13,13
2020-04-27,2020-05-13,19
2020-04-28,2020-05-13,13
2020-04-29,2020-05-13,15
2020-04-30,2020-05-13,20
