"POSTCODE","ConfirmedCaseCategory","ConfirmedCaseCount","LowCase","HighCase","population","hh_pop","med_inc","med_age","per100k_low","per100k_high","ALAND10","NUMHospitals","SQMILE","pop_density","zip_class","HasHospital","city","county","lat","lng","group_quarters","over75","over75_pct","group_quarter_pct","pct_hispanic"
"85003","Greater Than 1000","1728",1728,1728,12358,3912,42936,39.5,44171.7791411043,44171.7791411043,4795028,0,1.8513706610972,2113.02905582483,"Suburban",FALSE,"Phoenix","Maricopa County",33.4495511,-112.0789355,993,170,0.0201924219028388,0.0803528078977181,0.345171635586174
"85004","Greater Than 1000","1031",1031,1031,7489,2753,35739,30.2,37450.0544860153,37450.0544860153,5283328,0,2.0399043451161,1349.57308492978,"Suburban",FALSE,"Phoenix","Maricopa County",33.4528292,-112.0685027,1693,179,0.0273199023199023,0.226064895179597,0.272588522588523
"85006","Greater Than 1000","3419",3419,3419,27610,9251,35597,30.8,36958.1666846827,36958.1666846827,10110417,2,3.9036538275185,2369.83103747207,"Urban",TRUE,"Phoenix","Maricopa County",33.4636012,-112.0535987,504,393,0.0139480408858603,0.0182542557044549,0.654706132879046
"85007","Greater Than 1000","2526",2526,2526,15159,5157,32964,32.7,48981.9662594532,48981.9662594532,11827228,0,4.56651826043713,1129.30677288179,"Suburban",FALSE,"Phoenix","Maricopa County",33.4462721,-112.0893682,500,430,0.0291505660633177,0.0329837060492117,0.527625245746051
"85008","Greater Than 1000","9505",9505,9505,60066,21902,39996,28.8,43397.8632088394,43397.8632088394,27130303,2,10.4750685503562,2090.86937185296,"Suburban",TRUE,"Phoenix","Maricopa County",33.4660406,-112.0118669,578,911,0.0144621539243078,0.00962274831019212,0.576485902971806
"85009","Greater Than 1000","9008",9008,9008,56696,12338,30760,28.5,73010.212352083,73010.212352083,40459039,0,15.6213222906701,789.817902122722,"Suburban",FALSE,"Phoenix","Maricopa County",33.4438042,-112.1310986,4341,855,0.0172601744186047,0.0765662480598279,0.814155361757106
"85012","Greater Than 1000","1190",1190,1190,8110,3560,67230,42.5,33426.9662921348,33426.9662921348,5682782,0,2.19413439675666,1622.50772115981,"Suburban",FALSE,"Phoenix","Maricopa County",33.5114334,-112.0685027,243,257,0.0366514546491728,0.0299630086313194,0.147889332572732
"85013","Greater Than 1000","2989",2989,2989,22967,9903,55585,39.3,30182.7728971019,30182.7728971019,9628431,1,3.71755799252867,2663.84546519582,"Urban",TRUE,"Phoenix","Maricopa County",33.5080943,-112.0863874,294,595,0.0284661754855995,0.0128009753124048,0.217012726054923
"85014","Greater Than 1000","3497",3497,3497,28206,12867,50107,36.4,27178.0523820626,27178.0523820626,10825080,1,4.17958675445275,3078.53401685993,"Urban",TRUE,"Phoenix","Maricopa County",33.5083316,-112.0565795,160,885,0.032305165176127,0.00567255193930369,0.311005657966782
"85015","Greater Than 1000","5578",5578,5578,42583,14885,34636,32,37473.967080954,37473.967080954,12646727,2,4.8829285932649,3048.37552212644,"Urban",TRUE,"Phoenix","Maricopa County",33.5079722,-112.1012912,235,1053,0.0264134851753374,0.00551863419674518,0.449806852957407
